filename,Gletscher,1850F,L1850,1973F,L1973,1985,1999F,L2000,L2001,L2002,L2003,L2004,L2005,L2006,L2007,L2008,L2009,L2010,L2011,L2012,L2013
,Fläche,Länge,Fläche,Länge,Länge,Fläche,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge
,km2,km,km2,km,km,km2,km,km,km,km,km,km,km,km,km,km,km,km,km,km
aletsch.csv, Grosser Aletsch,105.6 ,26.5 ,96.1 ,24.0 ,23.6 ,81.7 ,23.2 ,23.2 ,23.1 ,23.1 ,23.0 ,23.0 ,22.9 ,22.8 ,22.8 ,22.7 ,22.7 ,22.7 ,22.6 ,22.6
fiescher.csv,Fiescher,37.4 ,17.1 ,34.2 ,15.4 ,15.2 ,31.2 ,15.0 ,15.0 ,15.0 ,15.0 ,15.0 ,15.0 ,15.0 ,14.9 ,14.9 ,14.9 ,14.9 ,14.9 ,14.7 ,
gorner.csv,Gorner,66.0 ,15.9 ,59.7 ,13.5 ,13.2 ,55.5 ,12.9 ,12.8 ,12.8 ,12.8 ,12.8 ,12.8 ,12.8 ,12.8 ,12.5 ,12.5 ,12.5 ,12.5 ,12.4 ,12.4
unteraar.csv,Unteraar,33.4 ,14.5 ,29.5 ,12.9 ,12.7 ,24.4 ,12.2 ,12.2 ,12.2 ,12.2 ,12.0 ,12.0 ,  ,  ,11.9 ,11.9 ,  ,  ,11.9 ,11.8
corbassiere.csv,Corbassière,20.7 ,12.9 ,18.3 ,10.1 ,10.2 ,16.3 ,10.1 ,10.1 ,10.1 ,10.0 ,10.0 ,10.0 ,10.0 ,9.9 ,9.9 ,9.8 ,9.8 ,9.7 ,9.6 ,9.6
oberaletsch.csv,Oberaletsch,26.6 ,10.4 ,22.8 ,9.1 ,9.0 ,19.1 ,8.9 ,8.9 ,8.9 ,8.8 ,8.8 ,8.8 ,8.8 ,8.8 ,8.8 ,8.8 ,8.8 ,8.8 ,,
montmine.csv,Mont Miné,12.5 ,10.1 ,11.0 ,8.4 ,8.4 ,10.4 ,8.2 ,8.1 ,8.1 ,8.0 ,8.0 ,8.0 ,8.0 ,7.9 ,7.9 ,7.9 ,7.9 ,7.8 ,7.8 ,7.8
untgrindelwald.csv,Unterer Grindelwald,23.2 ,9.9 ,20.8 ,8.3 ,  ,18.7 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,7.4 ,7.4
otemma.csv,Otemma,20.5 ,10.6 ,17.5 ,8.7 ,8.3 ,11.6 ,7.9 ,7.9 ,7.8 ,7.7 ,7.7 ,7.7 ,7.6 ,7.5 ,7.5 ,7.4 ,7.4 ,7.4 ,7.4 ,7.4
rhone.csv,Rhone,20.2 ,9.2 ,17.6 ,8.0 ,8.0 ,16.1 ,7.9 ,7.9 ,7.9 ,7.9 ,7.9 ,7.9 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.8 ,7.7 ,7.7
findelen.csv,Findelen,20.0 ,10.4 ,17.4 ,7.8 ,8.0 ,14.8 ,7.4 ,7.4 ,7.3 ,7.3 ,7.3 ,7.3 ,7.3 ,7.3 ,7.3 ,7.3 ,7.3 ,7.3 ,6.7 ,
zinal.csv,Zinal,17.9 ,9.1 ,15.4 ,7.5 ,7.4 ,14.2 ,7.1 ,7.1 ,7.1 ,7.1 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,7.0 ,6.9 ,6.9
huefi.csv,Hüfi,15.1 ,9.2 ,13.6 ,7.1 ,7.2 ,13.3 ,7.0 ,6.9 ,6.9 ,6.9 ,6.8 ,6.8 ,6.8 ,6.8 ,6.7 ,6.7 ,6.7 ,6.7 ,,
