col1,col2,col3,col4
Glacier, Vadrec d' Albigna, ,
Community, Vicosoprano, ,
Canton, GR, ,
Number, , ,
Length (1973), 3.70, ,
Area (1973), 3.53, ,
Coordinates, 770.0, 130.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1906 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1906, 1926, -343, -343, 
1926, 1927, -4, -347, 
1927, 1928, -8, -355, 
1928, 1929, -4, -359, 
1929, 1931, -25, -384, 
1931, 1932, -8, -392, 
1932, 1933, -12, -404, 
1933, 1934, 0, -404, 
1934, 1935, -2, -406, 
1935, 1955, -344, -750, 
1955, 1973, -425, -1175, 
1973, 1979, -100, -1275, 
2009, 2010, -28.4, -1303, 
2010, 2011, -17.3, -1321, 
2011, 2012, -17.1, -1338, 
2012, 2013, -15.6, -1353, 
2013, 2014, -15.3, -1369, 
2014, 2015, -17, -1386, 
