col1,col2,col3,col4
Glacier, Grosser Aletschgletscher, ,
Community, Naters / Ried-M�rel, ,
Canton, VS, ,
Number, , ,
Length (1973), 23.95, ,
Area (1973), 86.63, ,
Coordinates, 645.5, 150.0,
Exposition, SE, ,
  , , ,
Length variation measurements between 1870 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1870, 1881, -75, -75, 
1886, 1887, -100, -175, 
1892, 1893, -5, -180, 
1893, 1894, -7, -187, 
1894, 1895, -6, -193, 
1895, 1896, -5, -198, 
1896, 1897, -6, -204, 
1897, 1898, -10, -214, 
1898, 1899, -16, -230, 
1899, 1900, -30, -260, 
1900, 1901, -12, -272, 
1901, 1902, -6, -278, 
1902, 1903, -12, -290, 
1903, 1904, -20, -310, 
1904, 1905, -25, -335, 
1905, 1906, -12, -347, 
1906, 1907, -7, -354, 
1907, 1908, -1, -355, 
1908, 1909, -25, -380, 
1909, 1910, -20, -400, 
1910, 1911, -18, -418, 
1911, 1912, -3, -421, 
1912, 1913, -11, -432, 
1913, 1914, -7, -439, 
1914, 1915, -6, -445, 
1915, 1916, -36, -481, 
1916, 1917, -5, -486, 
1917, 1918, -9, -495, 
1918, 1919, -9, -504, 
1919, 1920, -21, -525, 
1920, 1921, -30, -555, 
1921, 1922, -20, -575, 
1922, 1923, -78, -653, 
1923, 1924, -33, -686, 
1924, 1925, -10, -696, 
1925, 1926, -14, -710, 
1926, 1927, -25, -735, 
1927, 1928, -18, -753, 
1928, 1929, -14, -767, 
1929, 1930, -18, -785, 
1930, 1931, -4, -789, 
1931, 1932, -2, -791, 
1932, 1933, -3, -794, 
1933, 1934, -13, -807, 
1934, 1935, -1, -808, 
1935, 1936, -7, -815, 
1936, 1937, -18, -833, 
1937, 1938, -19, -852, 
1938, 1939, -18, -870, 
1939, 1940, -21, -891, 
1940, 1941, -20, -911, 
1941, 1942, -2, -913, 
1942, 1943, -26, -939, 
1943, 1944, -24, -963, 
1944, 1945, -12, -975, 
1945, 1946, -14, -989, 
1946, 1947, -24, -1013, 
1947, 1948, -7, -1020, 
1948, 1949, -9, -1029, 
1949, 1950, -10, -1039, 
1950, 1951, -15, -1054, 
1951, 1952, -24, -1078, 
1952, 1953, -29, -1107, 
1953, 1954, -9, -1116, 
1954, 1955, -44, -1160, 
1955, 1956, -6, -1166, 
1956, 1957, -24, -1190, 
1957, 1958, -20, -1210, 
1958, 1959, -10, -1220, 
1959, 1960, -23, -1243, 
1960, 1961, -19, -1262, 
1961, 1962, -25, -1287, 
1962, 1963, -15, -1302, 
1963, 1964, -26, -1328, 
1964, 1965, -62.7, -1391, 
1965, 1966, -74.0, -1465, 
1966, 1967, -36.2, -1501, 
1967, 1968, -8, -1509, 
1968, 1969, -16, -1525, 
1969, 1970, -25, -1550, 
1970, 1971, -34, -1584, 
1971, 1972, -28, -1612, 
1972, 1973, -42, -1654, 
1973, 1974, -40, -1694, 
1974, 1975, -2, -1696, 
1975, 1976, -10, -1706, 
1976, 1977, -27, -1733, 
1977, 1978, -28, -1761, 
1978, 1979, -22, -1783, 
1979, 1980, -9, -1792, 
1980, 1981, -28, -1820, 
1981, 1982, -12, -1832, 
1982, 1983, -95, -1927, 
1983, 1984, -46, -1973, 
1984, 1985, -46, -2019, 
1985, 1986, -25, -2044, 
1986, 1987, -22, -2066, 
1987, 1988, -12, -2078, 
1988, 1989, -14, -2092, 
1989, 1990, -19, -2111, 
1990, 1991, -9, -2120, 
1991, 1992, -18, -2138, 
1992, 1993, -26, -2164, 
1993, 1994, -37, -2201, 
1994, 1995, -60, -2261, 
1995, 1996, -30, -2291, 
1996, 1997, -43, -2334, 
1997, 1999, -46, -2380, 
1999, 2000, -18.5, -2398, 
2000, 2001, -47.8, -2446, 
2001, 2002, -57.0, -2503, 
2002, 2003, -28.4, -2532, 
2003, 2004, -41.0, -2573, 
2004, 2005, -65.6, -2638, 
2005, 2006, -114.6, -2753, 
2006, 2007, -32.4, -2785, 
2007, 2008, -67.5, -2853, 
2008, 2009, -32.6, -2885, 
2009, 2010, -20.9, -2906, 
2010, 2011, -34.4, -2941, 
2011, 2012, -32.8, -2973, 
2012, 2013, -14.0, -2987, 
2013, 2014, -31.9, -3019, 
2014, 2015, -53.5, -3073, 
2015, 2016, -59.4, -3132, 
