col1,col2,col3,col4
Glacier, Alpetli (Kanderfirn), ,
Community, Kandersteg, ,
Canton, BE, ,
Number, , ,
Length (1973), 6.75, ,
Area (1973), 13.92, ,
Coordinates, 627.5, 147.5,
Exposition, W, ,
  , , ,
Length variation measurements between 1893 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -8, -8, 
1894, 1895, -11, -19, 
1895, 1899, -8, -27, 
1899, 1900, -16, -43, 
1900, 1901, -13, -56, 
1901, 1904, -1, -57, 
1904, 1905, -1, -58, 
1905, 1906, +28, -30, 
1906, 1907, 0, -30, 
1920, 1921, 0, -30, 
1921, 1922, 0, -30, 
1969, 1970, -4, -34, 
1970, 1971, -5, -39, 
1971, 1972, +6, -33, 
1972, 1973, 0, -33, 
1973, 1974, 0, -33, 
1974, 1975, +2, -31, 
1975, 1976, 0, -31, 
1976, 1977, +3, -28, 
1977, 1978, +2, -26, 
1978, 1979, 0, -26, 
1979, 1980, +4, -22, 
1980, 1981, +11, -11, 
1981, 1982, +2, -9, 
1982, 1983, +2, -7, 
1983, 1984, +5, -2, 
1984, 1985, +9, 7, 
1985, 1986, 0, 7, 
1986, 1987, -1, 6, 
1987, 1988, +4, 10, 
1988, 1989, -2, 8, 
1989, 1990, -7, 1, 
1990, 1991, -2, -1, 
1991, 1992, -9, -10, 
1992, 1993, -6, -16, 
1993, 1994, -3, -19, 
1994, 1995, -3, -22, 
1995, 1996, -7, -29, 
1996, 1997, -7, -36, 
1997, 1998, -15, -51, 
1998, 1999, -14, -65, 
1999, 2000, -10.3, -75, 
2000, 2001, -3.8, -79, 
2001, 2002, -41.0, -120, 
2002, 2003, -33, -153, 
2003, 2004, -10.8, -164, 
2004, 2005, -16.3, -180, 
2005, 2006, -23., -203, 
2006, 2007, -25, -228, 
2007, 2008, -44.5, -273, 
2008, 2009, -28.4, -301, 
2009, 2010, -24.8, -326, 
2010, 2011, -33.1, -359, 
2011, 2012, -36.8, -396, 
2012, 2013, -52.5, -448, 
2013, 2014, -24.3, -473, 
2014, 2015, -24.3, -497, 
