col1,col2,col3,col4
Glacier, Ammertengletscher, ,
Community, Lenk, ,
Canton, BE, ,
Number, , ,
Length (1973), 2.45, ,
Area (1973), 1.17, ,
Coordinates, 608.3, 140.5,
Exposition, NW, ,
  , , ,
Length variation measurements between 1970 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1970, 1971, -5, -5, 
1971, 1972, 0, -5, 
1972, 1973, -2, -7, 
1974, 1975, +8, 1, 
1975, 1976, -10, -9, 
1976, 1977, 0, -9, 
1977, 1978, 1, -8, 
1978, 1979, +3, -5, 
1979, 1980, 0, -5, 
1980, 1981, -2, -7, 
1981, 1982, -4, -11, 
1982, 1983, -3, -14, 
1983, 1984, 0, -14, 
1984, 1985, -1, -15, 
1985, 1986, -3, -18, 
1986, 1987, -4, -22, 
1987, 1988, -2, -24, 
1988, 1989, -21, -45, 
1989, 1990, -3, -48, 
1990, 1991, -6, -54, 
1991, 1992, -4, -58, 
1992, 1993, -1, -59, 
1993, 1994, -4, -63, 
1994, 1995, -2, -65, 
1995, 1996, -1, -66, 
1996, 1997, -2, -68, 
1997, 1998, -3, -71, 
1998, 1999, -3, -74, 
1999, 2000, -1.5, -76, 
2000, 2001, 0, -76, 
2000, 2002, -0.6, -76, 
2002, 2003, -4.2, -80, 
2003, 2004, -0.6, -81, 
2004, 2005, -0.3, -81, 
2005, 2006, -2.6, -84, 
2006, 2007, -0.8, -85, 
2007, 2008, -1.7, -86, 
2008, 2009, -0.1, -86, 
2009, 2010, -1.3, -88, 
2010, 2011, -3.5, -91, 
2011, 2012, 0.2, -91, 
2012, 2013, -1, -92, 
2013, 2014, -0.1, -92, 
2014, 2015, -3.3, -95, 
2015, 2016, -1.2, -97, 
