col1,col2,col3,col4
Glacier, Bas Glacier d' Arolla, ,
Community, Evol�ne, ,
Canton, VS, ,
Number, , ,
Length (1973), 4.80, ,
Area (1973), 13.17, ,
Coordinates, 604.0, 92.2,
Exposition, N, ,
  , , ,
Length variation measurements between 1856 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1856, 1886, -600, -600, 
1886, 1887, -26, -626, 
1887, 1889, -25, -651, 
1891, 1892, -1, -652, 
1892, 1893, +5, -647, 
1893, 1894, +9, -638, 
1894, 1895, -2, -640, 
1895, 1896, 0, -640, 
1896, 1897, -16, -656, 
1897, 1898, -8, -664, 
1898, 1899, -38, -702, 
1899, 1900, -9, -711, 
1900, 1901, -9, -720, 
1901, 1902, -2, -722, 
1902, 1903, -5, -727, 
1906, 1907, -3, -730, 
1907, 1908, -14, -744, 
1908, 1909, -45, -789, 
1909, 1910, -26, -815, 
1910, 1911, -26, -841, 
1911, 1912, -22, -863, 
1912, 1913, -17, -880, 
1913, 1914, -11, -891, 
1914, 1915, -3, -894, 
1915, 1916, -5, -899, 
1916, 1917, -6, -905, 
1917, 1918, -5, -910, 
1918, 1919, -12, -922, 
1919, 1920, -11, -933, 
1920, 1921, 0, -933, 
1921, 1922, -4, -937, 
1922, 1923, 0, -937, 
1923, 1924, -6, -943, 
1924, 1925, -4, -947, 
1925, 1926, +24, -923, 
1926, 1927, 0, -923, 
1927, 1928, 0, -923, 
1928, 1929, -11, -934, 
1929, 1930, -2, -936, 
1930, 1931, -4, -940, 
1931, 1932, -11, -951, 
1932, 1933, -10, -961, 
1933, 1934, -6, -967, 
1934, 1935, -4, -971, 
1935, 1936, -4, -975, 
1936, 1937, -10, -985, 
1937, 1939, -26, -1011, 
1939, 1940, -19, -1030, 
1940, 1941, -3, -1033, 
1941, 1942, -22, -1055, 
1942, 1943, -21, -1076, 
1943, 1945, -37, -1113, 
1945, 1946, -16, -1129, 
1946, 1947, -23, -1152, 
1947, 1948, -17, -1169, 
1948, 1949, -3, -1172, 
1949, 1950, -24, -1196, 
1950, 1951, -18, -1214, 
1951, 1952, -25, -1239, 
1952, 1953, -6, -1245, 
1953, 1954, -5, -1250, 
1954, 1955, -34, -1284, 
1955, 1956, -13, -1297, 
1956, 1957, -24, -1321, 
1957, 1958, -10, -1331, 
1958, 1959, -21, -1352, 
1959, 1960, -13, -1365, 
1960, 1961, -9, -1374, 
1961, 1962, -6, -1380, 
1962, 1963, -7, -1387, 
1963, 1964, -10, -1397, 
1964, 1965, -29, -1426, 
1965, 1966, -8, -1434, 
1966, 1967, -2, -1436, 
1967, 1968, -2, -1438, 
1968, 1969, -2, -1440, 
1969, 1970, -3, -1443, 
1970, 1971, -1, -1444, 
1971, 1972, +4, -1440, 
1972, 1973, +7, -1433, 
1973, 1974, +7, -1426, 
1974, 1975, +16, -1410, 
1975, 1976, +6, -1404, 
1976, 1977, +8, -1396, 
1977, 1978, +8, -1388, 
1978, 1979, +8, -1380, 
1979, 1980, +9, -1371, 
1980, 1981, +12, -1359, 
1981, 1982, +8, -1351, 
1982, 1983, +11, -1340, 
1983, 1984, +8, -1332, 
1984, 1985, +14, -1318, 
1985, 1986, +10, -1308, 
1986, 1987, +4, -1304, 
1987, 1988, -3, -1307, 
1988, 1989, -6, -1313, 
1989, 1990, -11, -1324, 
1990, 1991, -26, -1350, 
1991, 1992, -10, -1360, 
1992, 1993, -15, -1375, 
1993, 1994, -6, -1381, 
1994, 1995, -11, -1392, 
1995, 1996, -98, -1490, 
1996, 1997, -7, -1497, 
1997, 1998, -5, -1502, 
1998, 1999, -15, -1517, 
1999, 2000, -14, -1531, 
2000, 2001, -20, -1551, 
2001, 2002, -24, -1575, 
2002, 2003, -10, -1585, 
2003, 2004, -26, -1611, 
2004, 2005, -28, -1639, 
2005, 2006, -35, -1674, 
2006, 2007, -25, -1699, 
2007, 2009, -68, -1767, 
2009, 2010, -24.7, -1792, 
2010, 2011, -38, -1830, 
2011, 2012, -14.3, -1844, 
2012, 2013, -4.3, -1848, 
2013, 2014, -15.1, -1863, 
2014, 2015, -16.2, -1880, 
2015, 2016, -13.2, -1893, 
