col1,col2,col3,col4
Glacier, Ghiacciaio del Bas�dino, ,
Community, Bignasco, ,
Canton, TI, ,
Number, , ,
Length (1973), 1.50, ,
Area (1973), 2.31, ,
Coordinates, 680.0, 141.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1899 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1899, 1900, -78, -78, 
1900, 1901, -2, -80, 
1901, 1902, -8, -88, 
1902, 1903, -2, -90, 
1903, 1904, -11, -101, 
1904, 1905, -14, -115, 
1905, 1907, -40, -155, 
1907, 1909, +2, -153, 
1909, 1911, -38, -191, 
1911, 1913, +8, -183, 
1913, 1916, +2, -181, 
1916, 1919, +51, -130, 
1919, 1921, +9, -121, 
1921, 1923, -4, -125, 
1923, 1924, -3, -128, 
1924, 1925, +10, -118, 
1925, 1926, -7, -125, 
1926, 1928, -9, -134, 
1928, 1929, -12, -146, 
1929, 1930, +10, -136, 
1930, 1931, -12, -148, 
1931, 1932, +18, -130, 
1932, 1933, -43, -173, 
1933, 1934, -26, -199, 
1934, 1937, +17, -182, 
1937, 1938, 0, -182, 
1938, 1939, +15, -167, 
1939, 1940, +19, -148, 
1940, 1942, -53, -201, 
1942, 1944, -12, -213, 
1944, 1945, -1, -214, 
1945, 1946, -19, -233, 
1946, 1947, -116, -349, 
1947, 1948, +2, -347, 
1948, 1949, -78, -425, 
1949, 1950, +24, -401, 
1950, 1956, -45, -446, 
1956, 1957, -18, -464, 
1957, 1958, -8, -472, 
1958, 1959, -33, -505, 
1959, 1960, -12, -517, 
1960, 1961, -9, -526, 
1961, 1962, -7, -533, 
1962, 1963, -10, -543, 
1963, 1964, 0, -543, 
1964, 1966, -3, -546, 
1966, 1967, +16, -530, 
1967, 1968, +5, -525, 
1968, 1969, +2, -523, 
1969, 1970, -4, -527, 
1970, 1971, +3, -524, 
1971, 1973, +9, -515, 
1973, 1975, +5, -510, 
1975, 1976, -3, -513, 
1976, 1979, +26, -487, 
1979, 1980, +10, -477, 
1980, 1981, -6, -483, 
1981, 1982, 1, -482, 
1982, 1983, +14, -468, 
1983, 1984, +3, -465, 
1984, 1985, +3, -462, 
1985, 1986, +4, -458, 
1986, 1987, -7, -465, 
1987, 1988, +3, -462, 
1988, 1989, -5, -467, 
1989, 1990, -3, -470, 
1990, 1991, -2, -472, 
1991, 1992, -3, -475, 
1992, 1994, +6, -469, 
1994, 1995, -25, -494, 
1995, 1996, -3, -497, 
1996, 1997, -7, -504, 
1997, 1998, -9, -513, 
1998, 1999, -7, -520, 
1999, 2000, -19.6, -540, 
2000, 2001, -3.0, -543, 
2001, 2002, -16.1, -559, 
2002, 2003, -18.3, -577, 
2003, 2004, -4.7, -582, 
2004, 2005, -14.9, -597, 
2005, 2006, -10.9, -608, 
2006, 2007, -29.8, -637, 
2007, 2008, -11.9, -649, 
2008, 2009, -2.7, -652, 
2009, 2010, -6.8, -659, 
2010, 2011, -19.2, -678, 
2011, 2012, -10.6, -689, 
2012, 2014, -8.8, -697, 
2014, 2015, -25.4, -723, 
2015, 2016, -10, -733, 
