col1,col2,col3,col4
Glacier, Bella Tola Gletscher, ,
Community, Ayer, ,
Canton, VS, ,
Number, , ,
Length (1973), 0.60, ,
Area (1973), 0.28, ,
Coordinates, 616.5, 121.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1945 and 2005, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1945, 1946, +10, 10, 
1946, 1947, -10, 0, 
1947, 1948, -7, -7, 
1948, 1949, +6, -1, 
1949, 1950, -15, -16, 
1950, 1951, -4, -20, 
1951, 1953, -7, -27, 
1953, 1954, -6, -33, 
1954, 1955, +7, -26, 
1955, 1957, +22, -4, 
1957, 1958, +4, 0, 
1958, 1959, -32, -32, 
1959, 1961, +12, -20, 
1961, 1962, -3, -23, 
1962, 1963, -26, -49, 
1963, 1964, -7, -56, 
1964, 1965, -1, -57, 
1965, 1966, +18, -39, 
1966, 1967, +21, -18, 
1967, 1968, +21, 3, 
1968, 1969, -2, 1, 
1969, 1970, +4, 5, 
1970, 1971, -36, -31, 
1971, 1972, -14, -45, 
1972, 1973, -2, -47, 
1973, 1974, 0, -47, 
1974, 1975, +18, -29, 
1975, 1976, -24, -53, 
1976, 1977, -10, -63, 
1977, 1978, +8, -55, 
1978, 1979, +51, -4, 
1979, 1980, +8, 4, 
1980, 1981, -4, 0, 
1981, 1982, -1, -1, 
1982, 1983, -3, -4, 
1983, 1985, 1, -3, 
1985, 1986, -4, -7, 
1986, 1987, -2, -9, 
1987, 1988, -8, -17, 
1988, 1989, -38, -55, 
1989, 1990, -1, -56, 
1990, 1991, -13, -69, 
1991, 1992, -1, -70, 
1992, 1993, -5, -75, 
1993, 1994, -9, -84, 
1994, 1995, -39, -123, 
1995, 1996, -9, -132, 
1996, 1997, +26, -106, 
1997, 1998, -8, -114, 
1998, 1999, -3, -117, 
1999, 2000, -2.3, -119, 
2000, 2001, -4.5, -124, 
2001, 2002, -4.9, -129, 
2002, 2003, -10.0, -139, 
2003, 2004, -7.8, -146, 
2004, 2005, -2.4, -149, 
