col1,col2,col3,col4
Glacier, Bifertenfirn, ,
Community, Linthal, ,
Canton, GL, ,
Number, , ,
Length (1973), 4.40, ,
Area (1973), 2.81, ,
Coordinates, 714.2, 184.7,
Exposition, NE, ,
  , , ,
Length variation measurements between 1883 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1883, 1884, 0, 0, 
1893, 1895, -6, -6, 
1895, 1898, -12, -18, 
1898, 1901, -13, -31, 
1901, 1906, -8, -39, 
1906, 1908, -6, -45, 
1908, 1911, -38, -83, 
1911, 1917, +88, 5, 
1917, 1918, +14, 19, 
1918, 1919, +18, 37, 
1919, 1920, +105, 142, 
1920, 1921, -32, 110, 
1921, 1923, +40, 150, 
1923, 1926, +19, 169, 
1926, 1929, -28, 141, 
1929, 1930, 0, 141, 
1930, 1931, 0, 141, 
1931, 1932, -6, 135, 
1932, 1933, -6, 129, 
1933, 1934, -24, 105, 
1934, 1935, -8, 97, 
1935, 1936, -4, 93, 
1936, 1938, -12, 81, 
1949, 1957, -90, -9, 
1957, 1958, -2, -11, 
1958, 1959, -4, -15, 
1959, 1960, -2, -17, 
1960, 1962, 0, -17, 
1962, 1963, 0, -17, 
1963, 1964, -7, -24, 
1964, 1965, +3, -21, 
1965, 1966, -1, -22, 
1966, 1967, -3, -25, 
1967, 1968, +4, -21, 
1968, 1969, 0, -21, 
1969, 1970, +4, -17, 
1970, 1971, +21, 4, 
1971, 1972, +10, 14, 
1972, 1973, +4, 18, 
1973, 1975, +9, 27, 
1975, 1976, -5, 22, 
1976, 1977, +4, 26, 
1977, 1978, +5, 31, 
1978, 1979, +3, 34, 
1979, 1980, +11, 45, 
1980, 1981, +4, 49, 
1981, 1982, +7, 56, 
1982, 1983, +9, 65, 
1983, 1984, -3, 62, 
1984, 1985, +4, 66, 
1985, 1986, -3, 63, 
1986, 1987, 0, 63, 
1987, 1988, -1, 62, 
1988, 1989, -10, 52, 
1989, 1990, -5, 47, 
1990, 1991, -4, 43, 
1991, 1994, -39, 4, 
1994, 1995, -7, -3, 
1995, 1996, -7, -10, 
1996, 1997, -8, -18, 
1997, 1998, -10, -28, 
1998, 1999, -6, -34, 
1999, 2000, -9.8, -44, 
2000, 2001, -9.0, -53, 
2001, 2002, -5.5, -58, 
2002, 2003, -15.9, -74, 
2003, 2004, -1.8, -76, 
2004, 2005, -10.5, -87, 
2005, 2006, -6.0, -93, 
2006, 2007, -10.7, -103, 
2007, 2008, -8.7, -112, 
2008, 2009, -3.5, -115, 
2009, 2010, -10.6, -126, 
2010, 2011, -10.9, -137, 
2011, 2013, -13.2, -150, 
2013, 2014, -49.4, -200, 
2014, 2015, +17.6, -182, 
2015, 2016, -9.3, -191, 
