col1,col2,col3,col4
Glacier, Bl�emlisalpgletscher, ,
Community, Kandersteg, ,
Canton, BE, ,
Number, , ,
Length (1973), 2.70, ,
Area (1973), 3.00, ,
Coordinates, 625.0, 150.3,
Exposition, NW, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -6, -6, 
1894, 1895, -8, -14, 
1895, 1896, -5, -19, 
1896, 1897, -5, -24, 
1897, 1898, -2, -26, 
1898, 1899, -2, -28, 
1899, 1900, -4, -32, 
1900, 1901, -4, -36, 
1901, 1902, 0, -36, 
1902, 1903, 1, -35, 
1903, 1904, +2, -33, 
1904, 1905, -12, -45, 
1905, 1906, +5, -40, 
1906, 1907, +4, -36, 
1907, 1908, -18, -54, 
1908, 1909, -8, -62, 
1909, 1910, -3, -65, 
1910, 1911, -8, -73, 
1911, 1912, -1, -74, 
1912, 1913, -1, -75, 
1913, 1914, -2, -77, 
1914, 1915, +10, -67, 
1915, 1916, 0, -67, 
1916, 1917, +6, -61, 
1917, 1918, -3, -64, 
1918, 1919, +15, -49, 
1919, 1920, +7, -42, 
1920, 1921, 0, -42, 
1921, 1922, 0, -42, 
1922, 1923, 0, -42, 
1923, 1924, +2, -40, 
1924, 1925, 1, -39, 
1925, 1926, +7, -32, 
1926, 1927, -5, -37, 
1927, 1928, -10, -47, 
1928, 1929, -5, -52, 
1929, 1930, 0, -52, 
1930, 1931, -7, -59, 
1931, 1932, -6, -65, 
1932, 1933, -6, -71, 
1933, 1934, -12, -83, 
1934, 1935, -8, -91, 
1935, 1936, -7, -98, 
1936, 1937, -10, -108, 
1937, 1938, -7, -115, 
1938, 1940, -10, -125, 
1940, 1941, 0, -125, 
1941, 1942, -7, -132, 
1942, 1943, -12, -144, 
1943, 1945, -6, -150, 
1945, 1946, -14, -164, 
1946, 1947, -7, -171, 
1947, 1948, -12, -183, 
1948, 1949, -15, -198, 
1949, 1950, -23, -221, 
1950, 1951, -18, -239, 
1951, 1952, -18, -257, 
1952, 1953, -1, -258, 
1953, 1954, -5, -263, 
1954, 1955, 0, -263, 
1955, 1957, -12, -275, 
1957, 1959, -37, -312, 
1959, 1968, -228, -540, 
1968, 1969, +2, -538, 
1969, 1970, 0, -538, 
1970, 1971, -2, -540, 
1971, 1972, 1, -539, 
1972, 1973, +5, -534, 
1973, 1974, +3, -531, 
1974, 1976, +4, -527, 
1976, 1977, +6, -521, 
1977, 1978, +7, -514, 
1978, 1979, 1, -513, 
1980, 1981, +7, -506, 
1981, 1982, +6, -500, 
1982, 1983, +7, -493, 
1983, 1984, +5, -488, 
1985, 1986, +3, -485, 
1986, 1987, +2, -483, 
1987, 1988, -2, -485, 
1988, 1989, -13, -498, 
1989, 1990, -6, -504, 
1990, 1991, -11, -515, 
1991, 1992, -6, -521, 
1992, 1993, -17, -538, 
1993, 1994, -7, -545, 
1994, 1995, -3, -548, 
1995, 1996, -18, -566, 
1996, 1997, -11, -577, 
1997, 1998, -16, -593, 
1998, 1999, -9, -602, 
1999, 2000, -32, -634, 
2000, 2001, -9.5, -644, 
2001, 2002, -10.8, -654, 
2002, 2003, -46.7, -701, 
2003, 2004, -18.9, -720, 
2004, 2005, -40.4, -760, 
2005, 2006, -35.0, -795, 
2006, 2007, -31.3, -827, 
2007, 2008, -34.0, -861, 
2008, 2009, -19, -880, 
2009, 2010, -15.3, -895, 
2010, 2011, -24.5, -919, 
2011, 2012, -30.2, -950, 
2012, 2013, -38.3, -988, 
2013, 2014, -100.7, -1089, 
2014, 2015, -39, -1128, 
2015, 2016, -18, -1146, 
