col1,col2,col3,col4
Glacier, Glacier de Boveire, ,
Community, Liddes, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.65, ,
Area (1973), 2.08, ,
Coordinates, 586.0, 91.1,
Exposition, W, ,
  , , ,
Length variation measurements between 1889 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1889, 1890, +19, 19, 
1891, 1892, +20, 39, 
1892, 1893, +20, 59, 
1893, 1894, -9, 50, 
1894, 1895, +18, 68, 
1895, 1896, +17, 85, 
1896, 1897, +12, 97, 
1897, 1898, +14, 111, 
1898, 1899, +13, 124, 
1899, 1900, +9, 133, 
1900, 1901, +22, 155, 
1901, 1902, -8, 147, 
1963, 1964, -12, 135, 
1964, 1965, +9, 144, 
1965, 1966, -3, 141, 
1966, 1967, +6, 147, 
1967, 1968, +2, 149, 
1968, 1969, +2, 151, 
1969, 1970, +14, 165, 
1970, 1971, +3, 168, 
1971, 1972, +2, 170, 
1972, 1975, +11, 181, 
1975, 1976, +8, 189, 
1976, 1977, +3, 192, 
1977, 1978, +4, 196, 
1978, 1979, +3, 199, 
1979, 1980, +2, 201, 
1980, 1981, +18, 219, 
1981, 1982, +3, 222, 
1982, 1983, +10, 232, 
1983, 1984, +2, 234, 
1984, 1985, +4, 238, 
1985, 1986, +14, 252, 
1986, 1987, +7, 259, 
1987, 1988, +4, 263, 
1988, 1989, +1, 264, 
1989, 1990, -2, 262, 
1990, 1991, -25, 237, 
1991, 1992, -37, 200, 
1992, 1994, -13, 187, 
1994, 1996, -7, 180, 
1996, 1998, -37, 143, 
1998, 1999, -10, 133, 
1999, 2001, -18, 115, 
2001, 2003, -30, 85, 
2003, 2005, -24, 61, 
2005, 2006, -23, 38, 
2006, 2007, -20, 18, 
2007, 2008, -15, 3, 
2008, 2009, -22, -19, 
2009, 2010, -18.8, -38, 
2010, 2011, -38.2, -76, 
2011, 2012, -34.7, -111, 
2013, 2014, -27, -138, 
2014, 2015, -27.1, -165, 
2015, 2016, -10.3, -175, 
