col1,col2,col3,col4
Glacier, Vadrecc di Bresciana, ,
Community, Aquila, ,
Canton, TI, ,
Number, , ,
Length (1973), 1.15, ,
Area (1973), 0.84, ,
Coordinates, 722.3, 150.7,
Exposition, W, ,
  , , ,
Length variation measurements between 1896 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1896, 1898, -2, -2, 
1898, 1900, +10, 8, 
1900, 1903, -12, -4, 
1903, 1904, -16, -20, 
1904, 1905, -9, -29, 
1905, 1907, -8, -37, 
1907, 1911, -14, -51, 
1911, 1913, +4, -47, 
1913, 1917, -4, -51, 
1917, 1919, -3, -54, 
1919, 1921, -13, -67, 
1921, 1923, -34, -101, 
1923, 1924, +4, -97, 
1924, 1925, -6, -103, 
1925, 1926, +50, -53, 
1926, 1928, -34, -87, 
1928, 1930, -9, -96, 
1930, 1931, -16, -112, 
1931, 1932, +14, -98, 
1932, 1933, -13, -111, 
1937, 1938, -6, -117, 
1938, 1939, +2, -115, 
1939, 1940, 0, -115, 
1940, 1941, +11, -104, 
1941, 1942, -3, -107, 
1942, 1943, -7, -114, 
1943, 1944, -2, -116, 
1944, 1945, -6, -122, 
1945, 1947, -105, -227, 
1947, 1949, -18, -245, 
1949, 1950, -22, -267, 
1951, 1952, -6, -273, 
1952, 1953, -8, -281, 
1953, 1954, -6, -287, 
1954, 1955, -4, -291, 
1955, 1956, -14, -305, 
1956, 1957, -18, -323, 
1957, 1958, -22, -345, 
1958, 1959, -22, -367, 
1959, 1960, -21, -388, 
1960, 1961, +7, -381, 
1961, 1962, -23, -404, 
1962, 1963, -8, -412, 
1963, 1964, -7, -419, 
1964, 1965, -14, -433, 
1965, 1966, -15, -448, 
1966, 1967, +6, -442, 
1967, 1968, 1, -441, 
1968, 1969, -1, -442, 
1969, 1970, -33, -475, 
1970, 1971, -16, -491, 
1976, 1977, 0, -491, 
1977, 1978, 0, -491, 
1978, 1979, -15, -506, 
1979, 1980, 0, -506, 
1980, 1981, +4, -502, 
1981, 1982, -9, -511, 
1982, 1983, +21, -490, 
1983, 1985, +18, -472, 
1985, 1986, -5, -477, 
1986, 1988, -19, -496, 
1988, 1989, -3, -499, 
1989, 1990, -6, -505, 
1990, 1991, -12, -517, 
1992, 1993, -17, -534, 
1993, 1994, -8, -542, 
1994, 1995, -14, -556, 
1995, 1996, -11, -567, 
1996, 1997, -17, -584, 
1997, 1998, -29, -613, 
1998, 1999, -71, -684, 
1999, 2000, -23.4, -707, 
2000, 2001, -14.0, -721, 
2001, 2002, -18.8, -740, 
2002, 2003, -77.1, -817, 
2003, 2004, -76.8, -894, 
2004, 2005, -1.8, -896, 
2005, 2006, -13.8, -910, 
2006, 2007, -26.1, -936, 
2007, 2008, -6.8, -943, 
2008, 2009, -2.7, -945, 
2009, 2010, -6.0, -951, 
2010, 2011, -13.0, -964, 
2011, 2014, -29, -993, 
2014, 2016, -8.8, -1002, 
