col1,col2,col3,col4
Glacier, Brunegggletscher, ,
Community, Oberems, ,
Canton, VS, ,
Number, , ,
Length (1973), 4.60, ,
Area (1973), 6.68, ,
Coordinates, 622.0, 109.0,
Exposition, NW, ,
  , , ,
Length variation measurements between 1934 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1934, 1941, -100, -100, 
1942, 1943, -15, -115, 
1943, 1944, -28, -143, 
1944, 1945, -30, -173, 
1945, 1946, -12, -185, 
1946, 1947, -16, -201, 
1947, 1948, -19, -220, 
1948, 1949, -28, -248, 
1949, 1950, -79, -327, 
1950, 1951, -16, -343, 
1951, 1952, -39, -382, 
1952, 1953, -29, -411, 
1953, 1954, -53, -464, 
1954, 1955, -2, -466, 
1955, 1956, -93, -559, 
1956, 1957, -8, -567, 
1957, 1958, -5, -572, 
1958, 1959, -7, -579, 
1959, 1960, -19, -598, 
1960, 1961, -17, -615, 
1961, 1962, -54, -669, 
1962, 1963, -93, -762, 
1963, 1964, -105, -867, 
1964, 1965, +21, -846, 
1965, 1966, -29, -875, 
1966, 1967, -45, -920, 
1967, 1968, -4, -924, 
1968, 1969, +11, -913, 
1969, 1970, -21, -934, 
1970, 1971, -5, -939, 
1971, 1972, -8, -947, 
1972, 1973, -8, -955, 
1973, 1974, -2, -957, 
1974, 1975, 0, -957, 
1975, 1976, -3, -960, 
1976, 1977, +5, -955, 
1977, 1978, -3, -958, 
1978, 1979, +23, -935, 
1979, 1980, 1, -934, 
1980, 1981, +9, -925, 
1981, 1982, 0, -925, 
1982, 1983, +12, -913, 
1983, 1984, +49, -864, 
1984, 1985, -7, -871, 
1985, 1986, +4, -867, 
1986, 1987, +4, -863, 
1987, 1988, 0, -863, 
1988, 1989, +3, -860, 
1989, 1990, +3, -857, 
1990, 1991, -5, -862, 
1991, 1992, -3, -865, 
1992, 1993, -4, -869, 
1993, 1994, -8, -877, 
1994, 1995, -5, -882, 
1995, 1996, -14, -896, 
1996, 1997, -6, -902, 
1997, 1998, -13, -915, 
1998, 1999, +27, -888, 
1999, 2000, -11.5, -900, 
2000, 2001, -8.5, -908, 
2001, 2002, -30.5, -939, 
2002, 2003, -156.9, -1095, 
2003, 2004, -9.6, -1105, 
2004, 2005, -24, -1129, 
2005, 2010, -99, -1228, 
2010, 2011, -77.4, -1305, 
2011, 2013, -2, -1307, 
2014, 2015, -21.8, -1329, 
2015, 2016, -18.7, -1348, 
