col1,col2,col3,col4
Glacier, Brunnifirn, ,
Community, Silenen, ,
Canton, UR, ,
Number, , ,
Length (1973), 3.05, ,
Area (1973), 2.94, ,
Coordinates, 703.0, 177.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1882 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1882, 1883, -10, -10, 
1883, 1884, -23, -33, 
1884, 1885, -10, -43, 
1885, 1886, -110, -153, 
1886, 1887, -12, -165, 
1887, 1888, -5, -170, 
1888, 1889, -17, -187, 
1889, 1890, -14, -201, 
1890, 1891, -15, -216, 
1891, 1892, -30, -246, 
1892, 1893, -32, -278, 
1893, 1894, -31, -309, 
1894, 1895, -55, -364, 
1895, 1896, -3, -367, 
1898, 1899, -31, -398, 
1899, 1900, -6, -404, 
1900, 1901, -23, -427, 
1901, 1902, -6, -433, 
1902, 1903, -5, -438, 
1903, 1904, -3, -441, 
1904, 1905, -21, -462, 
1905, 1906, -20, -482, 
1906, 1907, -9, -491, 
1907, 1908, -16, -507, 
1908, 1909, -2, -509, 
1909, 1910, -24, -533, 
1910, 1911, -18, -551, 
1911, 1912, -15, -566, 
1912, 1913, -6, -572, 
1913, 1915, -32, -604, 
1915, 1916, -6, -610, 
1916, 1917, -17, -627, 
1917, 1919, 0, -627, 
1919, 1920, -4, -631, 
1920, 1921, -22, -653, 
1921, 1922, +4, -649, 
1922, 1923, -6, -655, 
1923, 1924, -4, -659, 
1924, 1925, -14, -673, 
1925, 1926, -1, -674, 
1926, 1927, -19, -693, 
1927, 1928, -4, -697, 
1928, 1929, -4, -701, 
1929, 1930, -8, -709, 
1930, 1931, 0, -709, 
1931, 1932, -12, -721, 
1932, 1933, -4, -725, 
1933, 1935, -25, -750, 
1935, 1936, +4, -746, 
1936, 1937, -10, -756, 
1937, 1938, -8, -764, 
1938, 1939, 0, -764, 
1939, 1940, 0, -764, 
1940, 1941, -10, -774, 
1941, 1942, -10, -784, 
1942, 1943, -2, -786, 
1943, 1944, -5.5, -792, 
1944, 1945, -38, -830, 
1945, 1946, -11, -841, 
1946, 1947, -18, -859, 
1947, 1948, -4, -863, 
1948, 1949, -21, -884, 
1949, 1951, -10, -894, 
1951, 1952, -8, -902, 
1952, 1953, -25, -927, 
1953, 1954, -14, -941, 
1954, 1955, -3, -944, 
1955, 1956, -4, -948, 
1956, 1958, -8, -956, 
1958, 1961, -24, -980, 
1961, 1962, -10, -990, 
1962, 1963, -5, -995, 
1963, 1964, -6, -1001, 
1964, 1965, -2, -1003, 
1965, 1966, -2, -1005, 
1966, 1967, -2, -1007, 
1967, 1968, +4, -1003, 
1968, 1969, -7, -1010, 
1969, 1971, -23, -1033, 
1971, 1972, -12, -1045, 
1972, 1973, +50, -995, 
1973, 1974, -15, -1010, 
1974, 1975, -38, -1048, 
1975, 1976, -26, -1074, 
1976, 1977, 0, -1074, 
1977, 1978, +49, -1025, 
1978, 1979, -40, -1065, 
1979, 1980, -7, -1072, 
1981, 1983, -50, -1122, 
1983, 1997, -9, -1131, 
1997, 2003, -7.2, -1138, 
2003, 2009, -5.4, -1143, 
2009, 2014, -3.9, -1147, 
2014, 2015, -3.5, -1151, 
2015, 2016, -1, -1152, 
