col1,col2,col3,col4
Glacier, Vadret Calderas, ,
Community, Bever, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.80, ,
Area (1973), 1.18, ,
Coordinates, 774.0, 155.5,
Exposition, NE, ,
  , , ,
Length variation measurements between 1920 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1920, 1921, -13, -13, 
1921, 1923, -14, -27, 
1923, 1924, -2, -29, 
1924, 1925, -6, -35, 
1925, 1926, +4, -31, 
1926, 1927, -14, -45, 
1927, 1928, -8, -53, 
1928, 1929, -8, -61, 
1951, 1953, -38, -99, 
1953, 1954, -8, -107, 
1954, 1955, -5, -112, 
1955, 1957, -18, -130, 
1957, 1958, -8, -138, 
1958, 1959, -17, -155, 
1959, 1960, -6, -161, 
1960, 1961, -6, -167, 
1961, 1962, -10, -177, 
1962, 1963, -10, -187, 
1963, 1964, -13, -200, 
1964, 1965, -2, -202, 
1965, 1966, -8, -210, 
1966, 1967, -4, -214, 
1967, 1968, -4, -218, 
1968, 1969, -12, -230, 
1969, 1970, -16, -246, 
1970, 1971, -10, -256, 
1971, 1972, -12, -268, 
1972, 1973, -14, -282, 
1973, 1974, -24, -306, 
1974, 1977, -33, -339, 
1977, 1978, -22, -361, 
1978, 1980, -10, -371, 
1980, 1981, -6, -377, 
1981, 1982, -9, -386, 
1982, 1983, -10, -396, 
1983, 1984, -4, -400, 
1984, 1985, -7, -407, 
1985, 1986, -6, -413, 
1986, 1987, -11, -424, 
1987, 1988, -10, -434, 
1988, 1989, -8, -442, 
1989, 1990, -12, -454, 
1990, 1991, -17, -471, 
1991, 1992, -9, -480, 
1992, 1993, -8, -488, 
1993, 1994, -4, -492, 
1994, 1995, -7, -499, 
1995, 1996, -12, -511, 
1996, 1997, -2, -513, 
1997, 1998, -26, -539, 
1998, 1999, -13, -552, 
1999, 2000, -8.1, -560, 
2000, 2001, -1.7, -562, 
2001, 2002, -8.6, -570, 
2002, 2003, -44.8, -615, 
2003, 2004, -12.4, -628, 
2004, 2005, -11.2, -639, 
2005, 2006, -12.2, -651, 
2006, 2007, -19.6, -671, 
2007, 2008, -6.8, -677, 
2008, 2009, -120.8, -798, 
2009, 2010, -12.6, -811, 
2010, 2011, -18.0, -829, 
2011, 2012, -16.7, -846, 
2012, 2013, -3.4, -849, 
2013, 2014, -3.1, -852, 
2014, 2015, -6.3, -858, 
2015, 2016, -7.2, -866, 
