col1,col2,col3,col4
Glacier, Vadret dal Cambrena, ,
Community, Poschiavo, ,
Canton, GR, ,
Number, , ,
Length (1973), 1.90, ,
Area (1973), 1.82, ,
Coordinates, 796.5, 141.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1888 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1888, 1889, -12, -12, 
1889, 1890, +2, -10, 
1890, 1891, -4, -14, 
1891, 1892, -4, -18, 
1892, 1893, -3, -21, 
1955, 1956, -2, -23, 
1956, 1957, -5, -28, 
1957, 1958, -2, -30, 
1958, 1959, -3, -33, 
1959, 1960, +8, -25, 
1960, 1961, -16, -41, 
1961, 1962, -9, -50, 
1962, 1963, +31.9, -18, 
1963, 1964, +2.3, -16, 
1963, 1965, +1.6, -17, 
1965, 1966, +3, -14, 
1966, 1967, +4, -10, 
1967, 1968, +5, -5, 
1968, 1969, 1, -4, 
1969, 1970, +6, 3, 
1970, 1971, -2, 1, 
1971, 1972, +6, 7, 
1972, 1975, +2, 9, 
1975, 1976, +2, 11, 
1976, 1977, +8, 19, 
1977, 1978, +8, 27, 
1978, 1979, +5, 32, 
1979, 1980, +6, 38, 
1980, 1982, +2, 40, 
1982, 1983, +4, 44, 
1983, 1985, +11, 55, 
1985, 1986, +4, 59, 
1986, 1987, 0, 59, 
1987, 1988, -14, 45, 
1988, 1989, -12, 33, 
1989, 1990, -2, 31, 
1990, 1991, -5, 26, 
1991, 1992, -12, 14, 
1992, 1994, -17, -4, 
1994, 1995, -9, -13, 
1995, 1997, -5, -18, 
1997, 1998, -6, -24, 
1998, 1999, -6, -30, 
1999, 2001, -8, -38, 
2001, 2002, -14, -52, 
2002, 2003, -17, -69, 
2003, 2004, -6, -75, 
2004, 2005, -9.7, -84, 
2005, 2006, -20, -104, 
2006, 2007, -33.3, -138, 
2007, 2008, -20, -158, 
2008, 2011, -42, -200, 
2011, 2012, -18.1, -218, 
2012, 2013, -5.5, -223, 
2013, 2014, -6, -229, 
2014, 2015, -6.6, -236, 
2015, 2016, -14.2, -250, 
