col1,col2,col3,col4
Glacier, Ghiacciaio del Cavagnoli, ,
Community, Bignasco, ,
Canton, TI, ,
Number, , ,
Length (1973), 2.05, ,
Area (1973), 1.36, ,
Coordinates, 679.2, 144.8,
Exposition, NE, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -12, -12, 
1894, 1895, -11, -23, 
1895, 1896, -7, -30, 
1896, 1898, -5, -35, 
1898, 1899, -4, -39, 
1899, 1900, -13, -52, 
1900, 1901, -7, -59, 
1901, 1902, -4, -63, 
1902, 1903, 1, -62, 
1903, 1904, -1, -63, 
1904, 1905, -4, -67, 
1905, 1907, -35, -102, 
1907, 1910, -464, -566, 
1979, 1980, -1, -567, 
1980, 1981, -1, -568, 
1981, 1982, -17, -585, 
1982, 1983, -4, -589, 
1983, 1984, -10, -599, 
1984, 1985, -1, -600, 
1985, 1986, -7, -607, 
1986, 1987, -10, -617, 
1987, 1988, -15, -632, 
1988, 1989, -10, -642, 
1989, 1990, -16, -658, 
1990, 1991, -16, -674, 
1991, 1992, -21, -695, 
1992, 1994, -12, -707, 
1994, 1995, 0, -707, 
1995, 1996, -13, -720, 
1996, 1997, -13, -733, 
1997, 1998, -23, -756, 
1998, 1999, -13, -769, 
1999, 2000, -11.2, -780, 
2000, 2001, -10.5, -791, 
2001, 2002, -11.7, -802, 
2002, 2003, -20.3, -823, 
2003, 2004, -4.2, -827, 
2004, 2005, -14.9, -842, 
2005, 2006, -17.3, -859, 
2006, 2007, -16.5, -876, 
2007, 2008, -20.9, -897, 
2008, 2009, -4.5, -901, 
2009, 2010, -9.3, -910, 
2010, 2011, -24.4, -935, 
2011, 2012, -10.7, -945, 
2012, 2014, 0, 0,
2014, 2015, -13.0, 0, 
2015, 2016, -9.7, 0, 
