col1,col2,col3,col4
Glacier, Glacier de Cheillon, ,
Community, H�r�mence, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.70, ,
Area (1973), 4.56, ,
Coordinates, 598.8, 95.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1924 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1924, 1925, -5, -5, 
1925, 1926, 0, -5, 
1926, 1927, -5, -10, 
1927, 1928, -1, -11, 
1928, 1929, -7, -18, 
1929, 1930, -4, -22, 
1930, 1931, -2, -24, 
1931, 1932, -2, -26, 
1932, 1933, -4, -30, 
1933, 1934, -4, -34, 
1934, 1935, -2, -36, 
1935, 1936, -5, -41, 
1936, 1937, -19, -60, 
1937, 1938, -14, -74, 
1938, 1940, -7, -81, 
1940, 1941, -3, -84, 
1941, 1942, -8, -92, 
1942, 1943, -2, -94, 
1943, 1944, -12, -106, 
1944, 1945, -2, -108, 
1945, 1946, -2, -110, 
1946, 1947, -9, -119, 
1947, 1948, -3, -122, 
1948, 1949, -9, -131, 
1949, 1950, -2, -133, 
1950, 1951, -5, -138, 
1951, 1952, -4, -142, 
1952, 1953, -11, -153, 
1953, 1954, -6, -159, 
1954, 1955, -1, -160, 
1955, 1956, -2, -162, 
1956, 1957, -18, -180, 
1957, 1958, -2, -182, 
1958, 1959, -6, -188, 
1959, 1960, -2, -190, 
1960, 1961, -4, -194, 
1961, 1962, -4, -198, 
1962, 1963, -3, -201, 
1963, 1964, -6, -207, 
1964, 1965, -2, -209, 
1965, 1966, -4, -213, 
1966, 1967, -7, -220, 
1967, 1968, -3, -223, 
1968, 1969, -9, -232, 
1969, 1970, -8, -240, 
1970, 1971, -15, -255, 
1971, 1972, -23, -278, 
1972, 1973, -314, -592, 
1973, 1975, -58, -650, 
1975, 1976, -19, -669, 
1976, 1977, -7, -676, 
1977, 1978, -6, -682, 
1978, 1979, -5, -687, 
1979, 1980, -5, -692, 
1980, 1981, -4, -696, 
1981, 1982, -8, -704, 
1982, 1983, -1, -705, 
1983, 1985, -3, -708, 
1985, 1986, -7, -715, 
1986, 1987, -24, -739, 
1987, 1989, -6, -745, 
1989, 1990, -71, -816, 
1990, 1991, -79, -895, 
1991, 1992, -60, -955, 
1992, 1994, +11, -944, 
1994, 1995, -7, -951, 
1995, 1996, -4, -955, 
1996, 1997, -17, -972, 
1997, 1998, -12, -984, 
1998, 1999, -4, -988, 
1999, 2000, -6.5, -995, 
2000, 2001, -1.7, -996, 
2001, 2002, -5.7, -1002, 
2002, 2004, -21.6, -1024, 
2004, 2005, -14.5, -1038, 
2005, 2006, +2.4, -1036, 
2006, 2007, -6.7, -1042, 
2007, 2008, -3.3, -1046, 
2009, 2010, -2.3, -1048, 
2010, 2011, -3.6, -1052, 
2011, 2012, -15.2, -1067, 
2012, 2013, -12.4, -1079, 
2013, 2014, -11.4, -1091, 
2014, 2015, -15.2, -1106, 
2015, 2016, -7.4, -1113, 
