col1,col2,col3,col4
Glacier, Glacier de Corbassi�re, ,
Community, Bagnes, ,
Canton, VS, ,
Number, , ,
Length (1973), 10.15, ,
Area (1973), 18.31, ,
Coordinates, 589.5, 91.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1889 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1889, 1890, -30, -30, 
1890, 1891, -10, -40, 
1891, 1892, -10, -50, 
1892, 1893, -9, -59, 
1893, 1894, 0, -59, 
1894, 1895, -4, -63, 
1895, 1896, -1, -64, 
1896, 1897, +7, -57, 
1897, 1898, +3, -54, 
1898, 1899, -8, -62, 
1899, 1900, -4, -66, 
1900, 1901, -2, -68, 
1901, 1902, 0, -68, 
1902, 1904, -18, -86, 
1926, 1927, -2, -88, 
1927, 1928, -4, -92, 
1928, 1930, -18, -110, 
1930, 1933, -48, -158, 
1950, 1953, -114, -272, 
1953, 1955, -14, -286, 
1955, 1956, -18, -304, 
1956, 1957, -14, -318, 
1957, 1958, -46, -364, 
1958, 1959, -12, -376, 
1959, 1961, -22, -398, 
1961, 1962, -3, -401, 
1962, 1963, -3, -404, 
1963, 1964, -19, -423, 
1964, 1965, -27, -450, 
1965, 1966, 1, -449, 
1966, 1967, -13, -462, 
1967, 1968, -17, -479, 
1968, 1969, -3, -482, 
1969, 1970, -9, -491, 
1970, 1971, -8, -499, 
1971, 1972, +4, -495, 
1972, 1973, +7, -488, 
1973, 1974, -12, -500, 
1974, 1975, +9, -491, 
1975, 1976, 0, -491, 
1976, 1977, 0, -491, 
1977, 1978, +7, -484, 
1978, 1979, -1, -485, 
1979, 1980, +14, -471, 
1980, 1981, +10, -461, 
1981, 1982, +4, -457, 
1982, 1983, +14, -443, 
1983, 1984, +7, -436, 
1984, 1985, 0, -436, 
1985, 1986, +12, -424, 
1986, 1987, +18, -406, 
1987, 1988, -1, -407, 
1988, 1989, +7, -400, 
1989, 1990, +8, -392, 
1990, 1991, -15, -407, 
1991, 1992, -14, -421, 
1992, 1993, +9, -412, 
1993, 1996, -38, -450, 
1996, 1997, -12, -462, 
1997, 1998, -12, -474, 
1998, 1999, -15, -489, 
1999, 2000, -9.5, -499, 
2000, 2001, -13.6, -512, 
2001, 2002, -11.0, -523, 
2002, 2003, -34.3, -557, 
2003, 2004, -54.0, -611, 
2004, 2005, -27.0, -638, 
2005, 2006, -36.2, -675, 
2006, 2007, -17.7, -692, 
2007, 2008, -21.0, -713, 
2008, 2009, -100.7, -814, 
2009, 2010, -40.2, -854, 
2010, 2011, -64.2, -918, 
2011, 2012, -145.8, -1064, 
2012, 2013, -6.2, -1070, 
2013, 2014, -36.8, -1107, 
2014, 2015, -24.2, -1131, 
2015, 2016, -36.9, -1168, 
