col1,col2,col3,col4
Glacier, Ghiacciaio del Corno, ,
Community, Bedretto, ,
Canton, TI, ,
Number, , ,
Length (1973), 0.65, ,
Area (1973), 0.28, ,
Coordinates, 673.0, 145.3,
Exposition, N, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1895, -19, -19, 
1897, 1904, -50, -69, 
1904, 1905, -3, -72, 
1905, 1907, -10, -82, 
1907, 1909, -33, -115, 
1974, 1975, +10, -105, 
1975, 1976, -13, -118, 
1976, 1977, +40, -78, 
1977, 1979, +171, 93, 
1982, 1983, +0.6, 94, 
1983, 1985, +2, 96, 
1985, 1986, +6, 102, 
1986, 1987, +2, 104, 
1987, 1988, -2, 102, 
1988, 1989, -5, 97, 
1989, 1990, -4, 93, 
1990, 1991, -7, 86, 
1991, 1992, -13, 73, 
1992, 1994, -16, 57, 
1994, 1995, 1, 58, 
1995, 1996, +3, 61, 
1996, 1997, -1, 60, 
1997, 1998, -7, 53, 
1998, 1999, +0.7, 53, 
1999, 2000, -3.3, 50, 
2000, 2001, -8.3, 42, 
2001, 2002, -1.5, 40, 
2002, 2003, -56.3, -16, 
2003, 2004, +0.1, -16, 
2004, 2005, -3.8, -20, 
2005, 2006, -4.8, -25, 
2006, 2007, -8.4, -33, 
2007, 2008, -3.3, -36, 
2008, 2009, -1.3, -38, 
2009, 2010, -6.5, -44, 
2010, 2011, -3.0, -47, 
2011, 2012, -3.8, -51, 
2012, 2013, -35, -86, 
2013, 2014, -16.4, -102, 
2014, 2015, -15.8, -118, 
2015, 2016, -4, -122, 
