col1,col2,col3,col4
Glacier, Ghiacciaio Grande di Croslina, ,
Community, Chironico, ,
Canton, TI, ,
Number, , ,
Length (1973), 0.85, ,
Area (1973), 0.32, ,
Coordinates, 699.3, 143.2,
Exposition, N, ,
  , , ,
Length variation measurements between 1989 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1989, 1990, -3.3, -3, 
1990, 1991, -6.0, -9, 
1991, 1993, -7.7, -17, 
1993, 1994, -0.1, -17, 
1994, 1995, -7.6, -25, 
1995, 1997, 0.9, -24, 
1997, 1998, -3.7, -28, 
1998, 1999, -1.8, -29, 
1999, 2000, -3.6, -33, 
2000, 2001, -0.5, -33, 
2001, 2002, -2.4, -36, 
2002, 2003, -8.4, -44, 
2003, 2004, -1.4, -46, 
2004, 2005, -3.2, -49, 
2005, 2006, -9.5, -58, 
2006, 2007, -3.2, -62, 
2007, 2008, -2.5, -64, 
2008, 2009, -0.5, -65, 
2009, 2010, -1.1, -66, 
2010, 2011, -4.1, -70, 
2011, 2012, -4.9, -75, 
2012, 2014, -1.6, -76, 
2014, 2015, -3.8, -80, 
2015, 2016, -2, -82, 
