col1,col2,col3,col4
Glacier, Dammagletscher, ,
Community, G�schenen, ,
Canton, UR, ,
Number, , ,
Length (1973), 2.35, ,
Area (1973), 5.09, ,
Coordinates, 676.5, 165.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1921 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1921, 1922, +10, 10, 
1922, 1923, 0, 10, 
1923, 1925, -5, 5, 
1925, 1926, +13, 18, 
1926, 1927, -10, 8, 
1927, 1928, -4, 4, 
1928, 1929, +25, 29, 
1929, 1930, -18, 11, 
1930, 1931, -11, 0, 
1931, 1932, -6, -6, 
1932, 1933, -9, -15, 
1933, 1934, -46, -61, 
1934, 1935, -19, -80, 
1935, 1936, +12, -68, 
1936, 1937, -4, -72, 
1937, 1938, -5, -77, 
1938, 1939, -3, -80, 
1939, 1940, -13, -93, 
1940, 1941, -8, -101, 
1941, 1942, -20, -121, 
1942, 1943, -17, -138, 
1943, 1944, -9, -147, 
1944, 1945, -24, -171, 
1945, 1946, -13, -184, 
1946, 1947, -12, -196, 
1947, 1948, -11, -207, 
1948, 1949, -18, -225, 
1949, 1950, -18, -243, 
1950, 1951, -5, -248, 
1951, 1952, -20, -268, 
1952, 1953, -38, -306, 
1953, 1954, -3, -309, 
1954, 1955, +14, -295, 
1955, 1956, -10, -305, 
1956, 1957, -22, -327, 
1957, 1958, +12, -315, 
1958, 1960, -43, -358, 
1960, 1961, -13, -371, 
1961, 1962, -11, -382, 
1962, 1963, -21, -403, 
1963, 1964, -21, -424, 
1964, 1965, -10, -434, 
1965, 1966, 0, -434, 
1966, 1967, -22, -456, 
1967, 1968, +4, -452, 
1968, 1969, 0, -452, 
1969, 1970, -10, -462, 
1970, 1971, -13, -475, 
1971, 1972, 0, -475, 
1972, 1973, +6, -469, 
1973, 1974, +2, -467, 
1974, 1975, +14, -453, 
1975, 1976, +9, -444, 
1976, 1977, +5, -439, 
1977, 1978, +13, -426, 
1978, 1979, +10, -416, 
1979, 1980, +12, -404, 
1980, 1981, +16, -388, 
1981, 1982, +13, -375, 
1982, 1983, +32, -343, 
1983, 1984, +14, -329, 
1984, 1985, +20, -309, 
1985, 1986, +28, -281, 
1986, 1987, +2, -279, 
1987, 1988, +6, -273, 
1988, 1989, +8, -265, 
1989, 1990, +2, -263, 
1990, 1991, +2, -261, 
1991, 1992, -9, -270, 
1992, 1994, -9, -279, 
1994, 1995, -16, -295, 
1995, 1996, -6, -301, 
1996, 1997, -9, -310, 
1997, 1998, -8, -318, 
1998, 1999, -6, -324, 
1999, 2000, -20.8, -345, 
2000, 2001, -6.7, -352, 
2001, 2002, -16.8, -368, 
2002, 2003, -10.7, -379, 
2006, 2011, -41, -1393, 
2011, 2012, -22.4, -1415, 
2012, 2013, -8.2, -1424, 
2013, 2014, -9.4, -1433, 
2014, 2015, -25.6, -1459, 
2015, 2016, -36.9, -1496, 
