col1,col2,col3,col4
Glacier, Tungelgletscher, ,
Community, Lenk / Lauenen, ,
Canton, BE, ,
Number, , ,
Length (1973), 1.90, ,
Area (1973), 1.42, ,
Coordinates, 595.0, 134.7,
Exposition, NE, ,
  , , ,
Length variation measurements between 1893 and 2012, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -21, -21, 
1894, 1895, -10, -31, 
1895, 1897, -27, -58, 
1897, 1898, -27, -85, 
1898, 1899, -6, -91, 
1899, 1900, -13, -104, 
1900, 1901, -4, -108, 
1901, 1902, +4, -104, 
1902, 1903, -8, -112, 
1903, 1904, -3, -115, 
1904, 1906, -24, -139, 
1906, 1907, -12, -151, 
1907, 1908, -7, -158, 
1908, 1909, -7, -165, 
1909, 1911, -50, -215, 
1911, 1913, 0, -215, 
1913, 1915, +118, -97, 
1915, 1916, -55, -152, 
1916, 1917, -57, -209, 
1917, 1918, -4, -213, 
1918, 1919, +5, -208, 
1919, 1920, +54, -154, 
1920, 1921, -81, -235, 
1921, 1922, -12, -247, 
1927, 1928, -15, -262, 
1930, 1931, -4, -266, 
1931, 1932, 0, -266, 
1932, 1933, -4, -270, 
1933, 1934, -9, -279, 
1934, 1935, 0, -279, 
1935, 1937, 0, -279, 
1937, 1939, -6, -285, 
1939, 1941, +11, -274, 
1941, 1943, -16, -290, 
1943, 1946, +10, -280, 
1946, 1949, -11, -291, 
1952, 1953, 0, -291, 
1953, 1956, +12, -279, 
1956, 1957, +2, -277, 
1957, 1958, -1, -278, 
1958, 1961, +18, -260, 
1960, 1973, -75, -335, 
1973, 1974, 0, -335, 
2003, 2004, -1, -336, 
2004, 2005, -6, -342, 
2005, 2006, -2, -344, 
2006, 2007, -5, -349, 
2007, 2008, -3, -352, 
2008, 2009, -3.4, -355, 
2009, 2010, -2.4, -358, 
2011, 2012, -4, -362, 
