col1,col2,col3,col4
Glacier, Eigergletscher, ,
Community, Lauterbrunnen, ,
Canton, BE, ,
Number, , ,
Length (1973), 2.60, ,
Area (1973), 2.13, ,
Coordinates, 642.4, 157.4,
Exposition, NW, ,
  , , ,
Length variation measurements between 1876 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1876, 1883, +70, 70, 
1883, 1893, -70, 0, 
1893, 1894, 0, 0, 
1894, 1895, 0, 0, 
1895, 1896, 0, 0, 
1896, 1897, 0, 0, 
1897, 1898, 0, 0, 
1898, 1899, -27, -27, 
1899, 1900, 0, -27, 
1900, 1901, 0, -27, 
1901, 1902, 0, -27, 
1902, 1903, 0, -27, 
1903, 1904, 0, -27, 
1904, 1906, +34, 7, 
1906, 1907, -67, -60, 
1907, 1908, +35, -25, 
1908, 1909, -25, -50, 
1909, 1910, -10, -60, 
1910, 1911, +27, -33, 
1911, 1912, 0, -33, 
1912, 1913, +14, -19, 
1913, 1914, +15, -4, 
1914, 1915, 0, -4, 
1915, 1916, +14, 10, 
1916, 1917, +6, 16, 
1917, 1918, +13, 29, 
1918, 1919, +10, 39, 
1920, 1921, +3, 42, 
1921, 1922, 0, 42, 
1922, 1923, 0, 42, 
1924, 1925, -20, 22, 
1925, 1926, -16, 6, 
1926, 1928, -7, -1, 
1928, 1929, -11, -12, 
1929, 1930, -4, -16, 
1930, 1931, 0, -16, 
1931, 1932, -6, -22, 
1932, 1933, -3, -25, 
1933, 1935, -13, -38, 
1936, 1937, -18, -56, 
1937, 1938, -8, -64, 
1962, 1963, +10, -54, 
1963, 1964, -11, -65, 
1964, 1965, -10, -75, 
1965, 1966, -12, -87, 
1966, 1967, +43, -44, 
1967, 1968, +11, -33, 
1968, 1969, +10, -23, 
1969, 1970, +10, -13, 
1970, 1971, +10, -3, 
1971, 1972, +9, 6, 
1972, 1975, +25, 31, 
1975, 1976, +10, 41, 
1976, 1977, +8, 49, 
1977, 1978, +9, 58, 
1978, 1979, +3, 61, 
1979, 1980, +13, 74, 
1980, 1981, +26, 100, 
1981, 1982, +14, 114, 
1982, 1983, +9, 123, 
1983, 1984, +6, 129, 
1984, 1985, +2, 131, 
1985, 1986, -9, 122, 
1986, 1987, -6, 116, 
1987, 1988, -11, 105, 
1988, 1989, -15, 90, 
1989, 1990, -16, 74, 
1990, 1991, -28, 46, 
1991, 1992, -16, 30, 
1992, 1993, -17, 13, 
1993, 1994, -13, 0, 
1994, 1995, -8, -8, 
1995, 1996, -20, -28, 
1996, 1997, -13, -41, 
1997, 1998, -23, -64, 
1998, 1999, -7, -71, 
1999, 2000, -29.4, -100, 
2000, 2001, -4.1, -105, 
2001, 2002, -20.8, -125, 
2002, 2003, -11.6, -137, 
2003, 2004, -11.9, -149, 
2004, 2005, -12.0, -161, 
2005, 2006, -20.5, -181, 
2006, 2008, -225, -406, 
2008, 2010, -8.0, -414, 
2010, 2011, -19, -433, 
2011, 2012, -8, -441, 
2012, 2013, -7.7, -449, 
2013, 2014, -7, -456, 
2014, 2015, -12, -468, 
2015, 2016, -1, -469, 
