col1,col2,col3,col4
Glacier, Glacier de l' En Darrey, ,
Community, H�r�mence, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.15, ,
Area (1973), 1.91, ,
Coordinates, 596.0, 96.2,
Exposition, NE, ,
  , , ,
Length variation measurements between 1880 and 2010, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1880, 1929, -440, -440, 
1930, 1931, 0, -440, 
1931, 1932, -4, -444, 
1932, 1933, -8, -452, 
1933, 1934, -4, -456, 
1934, 1935, -1, -457, 
1935, 1936, -6, -463, 
1936, 1937, -3, -466, 
1937, 1938, -10, -476, 
1938, 1940, -3, -479, 
1940, 1941, -6, -485, 
1941, 1942, -4, -489, 
1942, 1943, -10, -499, 
1943, 1944, -13, -512, 
1944, 1945, -8, -520, 
1945, 1946, -6, -526, 
1946, 1947, -5, -531, 
1947, 1948, -9, -540, 
1948, 1949, -8, -548, 
1949, 1950, -11, -559, 
1950, 1951, -7, -566, 
1951, 1952, -6, -572, 
1952, 1953, -4, -576, 
1953, 1954, -7, -583, 
1954, 1955, +32, -551, 
1955, 1956, -26, -577, 
1956, 1957, +27, -550, 
1957, 1958, -41, -591, 
1958, 1959, -70, -661, 
1959, 1960, +97, -564, 
1960, 1961, -100, -664, 
1961, 1962, 0, -664, 
1962, 1963, -22, -686, 
1963, 1964, -6, -692, 
1964, 1967, -10, -702, 
1967, 1968, -2, -704, 
1968, 1969, -2, -706, 
1969, 1970, +16, -690, 
1970, 1971, -10, -700, 
1971, 1972, -16, -716, 
1972, 1973, -50, -766, 
1973, 1975, -53, -819, 
1975, 1976, -36, -855, 
1976, 1977, 0, -855, 
1977, 1979, -2, -857, 
1979, 1983, +7, -850, 
1983, 1985, -22, -872, 
1986, 1989, +7, -865, 
1989, 1990, 1, -864, 
1990, 1992, -8, -872, 
1992, 1994, -65, -937, 
1994, 1995, -2, -939, 
1995, 1996, -1, -940, 
1996, 1997, +15, -925, 
1997, 1998, -8, -933, 
1998, 1999, 0, -933, 
1999, 2000, 0, -933, 
2000, 2001, 0, -933, 
2001, 2002, 0, -933, 
2002, 2003, -8, -941, 
2003, 2004, -7.3, -948, 
2004, 2005, -28.5, -977, 
2005, 2006, -5.7, -983, 
2006, 2007, -1.3, -984, 
2007, 2008, -8, -992, 
2009, 2010, -32.5, -1024, 
