col1,col2,col3,col4
Glacier, Feegletscher, ,
Community, Saas Fee, ,
Canton, VS, ,
Number, , ,
Length (1973), 5.00, ,
Area (1973), 7.46, ,
Coordinates, 634.0, 103.5,
Exposition, NE, ,
  , , ,
Length variation measurements between 1883 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1883, 1884, +50, 50, 
1884, 1885, +46, 96, 
1885, 1886, +20, 116, 
1889, 1890, +43, 159, 
1891, 1892, +35, 194, 
1892, 1893, +6, 200, 
1893, 1894, -26, 174, 
1894, 1895, -5, 169, 
1895, 1896, -1, 168, 
1896, 1897, 0, 168, 
1897, 1898, -1, 167, 
1898, 1899, -3, 164, 
1899, 1900, -2, 162, 
1900, 1914, -100, 62, 
1916, 1918, 0, 62, 
1918, 1919, +10, 72, 
1919, 1920, +12, 84, 
1920, 1921, +10, 94, 
1921, 1922, +4, 98, 
1922, 1923, 0, 98, 
1923, 1924, -2, 96, 
1924, 1925, -2, 94, 
1925, 1926, -5, 89, 
1926, 1927, -3, 86, 
1927, 1928, -7, 79, 
1928, 1929, -19, 60, 
1929, 1930, -15, 45, 
1930, 1931, -12, 33, 
1931, 1932, -16, 17, 
1932, 1933, -7, 10, 
1933, 1934, -12, -2, 
1934, 1935, -24, -26, 
1935, 1936, -21, -47, 
1936, 1937, -20, -67, 
1937, 1938, -60, -127, 
1938, 1939, -38, -165, 
1939, 1940, -18, -183, 
1940, 1941, -26, -209, 
1941, 1942, -20, -229, 
1942, 1943, -6, -235, 
1943, 1944, +8, -227, 
1944, 1945, -20, -247, 
1945, 1946, -10, -257, 
1946, 1947, -30, -287, 
1947, 1948, -12, -299, 
1948, 1949, -20, -319, 
1949, 1950, -18, -337, 
1950, 1951, -28, -365, 
1951, 1952, -6, -371, 
1952, 1953, -30, -401, 
1953, 1956, -520, -921, 
1956, 1958, +35, -886, 
1958, 1959, +9, -877, 
1959, 1961, +33, -844, 
1961, 1962, +15, -829, 
1962, 1963, +6, -823, 
1963, 1964, +9, -814, 
1964, 1965, +9, -805, 
1965, 1966, +6, -799, 
1966, 1967, +7, -792, 
1967, 1968, +12, -780, 
1968, 1969, +10, -770, 
1969, 1970, +16, -754, 
1970, 1971, +18, -736, 
1971, 1972, +30, -706, 
1972, 1973, +21, -685, 
1973, 1974, +12, -673, 
1974, 1975, +14, -659, 
1975, 1976, +6, -653, 
1976, 1977, +9, -644, 
1977, 1978, +6, -638, 
1978, 1979, +17, -621, 
1979, 1980, +20, -601, 
1980, 1981, +40, -561, 
1981, 1982, +65, -496, 
1982, 1983, +50, -446, 
1983, 1984, +40, -406, 
1984, 1985, +39, -367, 
1985, 1987, +81, -286, 
1987, 1988, +87, -199, 
1988, 1989, -51, -250, 
1989, 1990, -5, -255, 
1990, 1991, -10, -265, 
1991, 1992, -5, -270, 
1992, 1994, -55.2, -325, 
1994, 1995, -31.9, -357, 
1995, 1996, -17.7, -375, 
1996, 1997, -25.3, -400, 
1997, 1998, -111.1, -511, 
1998, 1999, -86.6, -598, 
1999, 2000, -36.8, -635, 
2000, 2001, -209.4, -844, 
2001, 2002, -65.1, -909, 
2002, 2003, -23.7, -933, 
2003, 2004, -5.1, -938, 
2004, 2005, -7.4, -945, 
2005, 2006, -4.4, -950, 
2006, 2007, -5.1, -955, 
2007, 2008, -19.6, -974, 
2008, 2009, -13.5, -988, 
2009, 2010, -6.4, -994, 
2010, 2011, -23.5, -1018, 
2011, 2012, -20, -1038, 
2012, 2013, +5.1, -1033, 
2013, 2014, -21.1, -1054, 
2014, 2015, -44.5, -1098, 
2015, 2016, -19.9, -1118, 
