col1,col2,col3,col4
Glacier, Glacier de Ferp�cle, ,
Community, Evol�ne, ,
Canton, VS, ,
Number, , ,
Length (1973), 6.60, ,
Area (1973), 9.77, ,
Coordinates, 611.0, 95.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1891 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1891, 1892, -5, -5, 
1892, 1893, +4, -1, 
1893, 1894, +7, 6, 
1894, 1895, 0, 6, 
1895, 1896, -3, 3, 
1896, 1897, -11, -8, 
1897, 1898, -10, -18, 
1898, 1899, -3, -21, 
1899, 1900, -11, -32, 
1900, 1901, -5, -37, 
1901, 1902, 0, -37, 
1902, 1903, 0, -37, 
1903, 1904, -3, -40, 
1904, 1905, -3, -43, 
1905, 1906, 0, -43, 
1906, 1907, 0, -43, 
1907, 1908, -22, -65, 
1908, 1909, -15, -80, 
1909, 1910, -22, -102, 
1910, 1911, -28, -130, 
1911, 1912, -11, -141, 
1912, 1913, -30, -171, 
1913, 1914, -35, -206, 
1914, 1915, -8, -214, 
1915, 1916, +6, -208, 
1916, 1917, -12, -220, 
1917, 1918, -6, -226, 
1918, 1919, -12, -238, 
1919, 1920, -8, -246, 
1920, 1921, -10, -256, 
1921, 1922, -6, -262, 
1922, 1923, -8, -270, 
1923, 1924, -4, -274, 
1924, 1925, -2, -276, 
1925, 1926, -6, -282, 
1926, 1927, -24, -306, 
1927, 1928, -4, -310, 
1928, 1929, -2, -312, 
1929, 1930, -8, -320, 
1930, 1931, -14, -334, 
1931, 1932, -4, -338, 
1932, 1933, +4, -334, 
1933, 1934, -23, -357, 
1934, 1935, -8, -365, 
1935, 1936, -2, -367, 
1936, 1937, -4, -371, 
1937, 1939, -16, -387, 
1939, 1940, -8, -395, 
1940, 1941, -6, -401, 
1941, 1942, -14, -415, 
1942, 1943, -9, -424, 
1943, 1945, -18, -442, 
1945, 1946, -32, -474, 
1946, 1947, -22, -496, 
1947, 1948, -14, -510, 
1948, 1949, -10, -520, 
1949, 1950, -6, -526, 
1950, 1951, -9, -535, 
1951, 1952, -8, -543, 
1952, 1953, -61, -604, 
1953, 1954, -18, -622, 
1954, 1955, -11, -633, 
1955, 1956, -47, -680, 
1956, 1957, -34, -714, 
1957, 1958, -42, -756, 
1958, 1960, -62, -818, 
1960, 1961, -29, -847, 
1961, 1962, -15, -862, 
1962, 1963, -205, -1067, 
1963, 1966, -23, -1090, 
1966, 1967, -4, -1094, 
1967, 1968, -3, -1097, 
1968, 1969, -2, -1099, 
1969, 1970, 0, -1099, 
1970, 1971, 0, -1099, 
1971, 1972, 1, -1098, 
1972, 1973, +8, -1090, 
1973, 1975, +2, -1088, 
1975, 1976, +4, -1084, 
1976, 1977, +5, -1079, 
1977, 1978, +5, -1074, 
1978, 1979, +2, -1072, 
1979, 1980, +17, -1055, 
1980, 1981, +10, -1045, 
1981, 1982, +10, -1035, 
1982, 1983, +21, -1014, 
1983, 1984, +15, -999, 
1984, 1985, +16, -983, 
1985, 1986, +5, -978, 
1986, 1987, +4, -974, 
1987, 1988, +6, -968, 
1988, 1989, +3, -965, 
1989, 1990, -8, -973, 
1990, 1991, -19, -992, 
1991, 1992, -8, -1000, 
1992, 1993, -7, -1007, 
1993, 1994, -23, -1030, 
1994, 1995, -12, -1042, 
1995, 1996, -2, -1044, 
1996, 1997, -10, -1054, 
1997, 1998, -34, -1088, 
1998, 1999, -1, -1089, 
1999, 2000, -15, -1104, 
2000, 2001, -5, -1109, 
2001, 2002, -15, -1124, 
2002, 2003, -20, -1144, 
2003, 2004, -38, -1182, 
2004, 2005, -2, -1184, 
2005, 2006, -33, -1217, 
2006, 2007, -16, -1233, 
2007, 2009, -13, -1246, 
2009, 2010, -23, -1269, 
2010, 2011, -12, -1281, 
2011, 2012, -39.3, -1320, 
2012, 2013, -25.9, -1346, 
2013, 2014, -12.9, -1359, 
2014, 2015, -24.8, -1384, 
2015, 2016, -79.2, -1463, 
