col1,col2,col3,col4
Glacier, Fieschergletscher, ,
Community, Fieschertal, ,
Canton, VS, ,
Number, , ,
Length (1973), 15.35, ,
Area (1973), 34.21, ,
Coordinates, 653.5, 151.0,
Exposition, SE, ,
  , , ,
Length variation measurements between 1891 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1891, 1892, -6, -6, 
1892, 1893, -4, -10, 
1893, 1894, -5, -15, 
1894, 1895, -22, -37, 
1895, 1896, -34, -71, 
1896, 1897, -6, -77, 
1897, 1898, -2, -79, 
1898, 1899, -3, -82, 
1899, 1900, -1, -83, 
1900, 1901, -2, -85, 
1901, 1902, -3, -88, 
1902, 1903, -2, -90, 
1903, 1904, -3, -93, 
1904, 1905, 0, -93, 
1905, 1906, -3, -96, 
1906, 1907, -2, -98, 
1907, 1908, -4, -102, 
1908, 1909, -6, -108, 
1909, 1910, -3, -111, 
1910, 1911, -2, -113, 
1911, 1912, 0, -113, 
1912, 1913, -6, -119, 
1913, 1915, -11, -130, 
1915, 1916, +7, -123, 
1916, 1917, +3, -120, 
1917, 1918, 0, -120, 
1918, 1919, +8, -112, 
1919, 1920, +6, -106, 
1920, 1921, -7, -113, 
1921, 1922, -4, -117, 
1922, 1923, -2, -119, 
1923, 1924, +3, -116, 
1924, 1925, +4, -112, 
1925, 1926, +8, -104, 
1926, 1927, +2, -102, 
1927, 1928, 1, -101, 
1928, 1929, -11, -112, 
1929, 1930, -8, -120, 
1930, 1931, +2, -118, 
1931, 1932, -2, -120, 
1932, 1933, -11, -131, 
1933, 1934, -30, -161, 
1934, 1935, -2, -163, 
1935, 1936, -4, -167, 
1936, 1937, -4, -171, 
1937, 1938, -3, -174, 
1938, 1939, -16, -190, 
1939, 1940, +8, -182, 
1940, 1941, +2, -180, 
1941, 1942, -10, -190, 
1942, 1943, -4, -194, 
1943, 1944, -6, -200, 
1944, 1945, -3, -203, 
1945, 1946, -4, -207, 
1946, 1947, -10, -217, 
1947, 1948, -4, -221, 
1948, 1949, -4, -225, 
1949, 1950, -6, -231, 
1950, 1951, -2, -233, 
1951, 1952, -2, -235, 
1952, 1953, -4, -239, 
1953, 1954, -2, -241, 
1954, 1955, -4, -245, 
1955, 1956, -3, -248, 
1956, 1957, -2, -250, 
1957, 1958, -5, -255, 
1958, 1959, -2, -257, 
1959, 1960, -7, -264, 
1960, 1961, -38, -302, 
1961, 1962, -57, -359, 
1962, 1963, -3, -362, 
1963, 1964, -36, -398, 
1964, 1965, -23, -421, 
1965, 1966, -15, -436, 
1966, 1967, -28, -464, 
1967, 1968, -10, -474, 
1968, 1969, -23, -497, 
1969, 1970, -11, -508, 
1970, 1971, -19, -527, 
1971, 1972, -19, -546, 
1972, 1973, -22, -568, 
1973, 1974, -24, -592, 
1974, 1975, -30, -622, 
1975, 1976, -21, -643, 
1976, 1977, -13, -656, 
1977, 1978, +19, -637, 
1978, 1979, -8, -645, 
1979, 1980, -13, -658, 
1980, 1981, -39, -697, 
1981, 1982, -8, -705, 
1982, 1983, -10, -715, 
1983, 1984, +4, -711, 
1984, 1985, -5, -716, 
1985, 1986, 0, -716, 
1986, 1987, -11, -727, 
1987, 1988, +17, -710, 
1988, 1989, -17, -727, 
1989, 1990, -1, -728, 
1990, 1991, -6, -734, 
1991, 1992, +7, -727, 
1992, 1993, -16, -743, 
1993, 1994, -21, -764, 
1994, 1995, -17, -781, 
1995, 1996, -7, -788, 
1996, 1997, -13, -801, 
1997, 1998, -66, -867, 
1998, 1999, -26, -893, 
1999, 2000, -8.4, -901, 
2000, 2001, -11.6, -913, 
2001, 2004, -40, -953, 
2004, 2005, -12.4, -965, 
2005, 2006, -13.4, -979, 
2006, 2007, -49.1, -1028, 
2007, 2008, -32.6, -1061, 
2008, 2009, -10.7, -1071, 
2009, 2010, -24.7, -1096, 
2010, 2011, -41.9, -1138, 
2011, 2012, -57.3, -1195, 
2012, 2015, -210, -1405, 
