col1,col2,col3,col4
Glacier, Findelengletscher, ,
Community, Zermatt, ,
Canton, VS, ,
Number, , ,
Length (1973), 7.80, ,
Area (1973), 17.36, ,
Coordinates, 633.0, 94.0,
Exposition, NW, ,
  , , ,
Length variation measurements between 1885 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1885, 1886, 0, 0, 
1892, 1893, +30, 30, 
1893, 1894, +60, 90, 
1894, 1896, -6, 84, 
1896, 1897, -4, 80, 
1897, 1898, -9, 71, 
1898, 1899, -9, 62, 
1899, 1900, -5, 57, 
1900, 1901, -15, 42, 
1901, 1902, -16, 26, 
1902, 1903, -12, 14, 
1916, 1919, +17, 31, 
1919, 1920, +35, 66, 
1924, 1926, -45, 21, 
1926, 1927, -11, 10, 
1927, 1928, -18, -8, 
1928, 1929, -24, -32, 
1929, 1930, -24, -56, 
1930, 1931, -26, -82, 
1931, 1932, +3, -79, 
1932, 1934, -44, -123, 
1934, 1936, -40, -163, 
1936, 1938, -50, -213, 
1938, 1943, -53, -266, 
1943, 1947, -178, -444, 
1947, 1948, -24, -468, 
1948, 1949, -29, -497, 
1949, 1950, -21, -518, 
1950, 1951, -17, -535, 
1951, 1952, -19, -554, 
1952, 1953, -26, -580, 
1953, 1954, -15, -595, 
1954, 1955, -10, -605, 
1955, 1957, -24, -629, 
1957, 1958, -478, -1107, 
1958, 1959, -41, -1148, 
1959, 1960, -19, -1167, 
1960, 1961, -20, -1187, 
1961, 1962, -32, -1219, 
1962, 1963, -15, -1234, 
1963, 1964, -30, -1264, 
1964, 1965, -21, -1285, 
1965, 1966, -27, -1312, 
1966, 1967, -11, -1323, 
1967, 1968, -12, -1335, 
1968, 1969, +3, -1332, 
1969, 1970, -4, -1336, 
1970, 1971, -2, -1338, 
1971, 1972, +2, -1336, 
1972, 1973, -17, -1353, 
1973, 1975, -35, -1388, 
1975, 1976, -6, -1394, 
1976, 1977, -22, -1416, 
1977, 1978, -3, -1419, 
1978, 1979, 0, -1419, 
1979, 1980, +84, -1335, 
1980, 1981, +52, -1283, 
1981, 1982, +48, -1235, 
1982, 1983, +18, -1217, 
1983, 1984, +16, -1201, 
1984, 1985, +28, -1173, 
1985, 1986, -20, -1193, 
1986, 1987, -13, -1206, 
1987, 1988, -2, -1208, 
1988, 1989, -45, -1253, 
1989, 1990, -58.4, -1311, 
1990, 1991, -61.2, -1373, 
1991, 1992, -22.3, -1395, 
1992, 1994, -32, -1427, 
1994, 1995, -35, -1462, 
1995, 1996, -72, -1534, 
1996, 1999, -114, -1648, 
1999, 2000, -58.5, -1706, 
2000, 2002, -118.1, -1825, 
2002, 2003, -96.0, -1921, 
2003, 2004, -43.4, -1964, 
2004, 2005, -125.6, -2090, 
2005, 2006, -56.1, -2146, 
2006, 2007, -25.6, -2171, 
2007, 2008, -34.1, -2205, 
2008, 2009, -28.8, -2234, 
2009, 2010, -49.9, -2284, 
2010, 2011, -48.4, -2332, 
2011, 2012, -71.8, -2404, 
2012, 2013, +3.6, -2401, 
2013, 2014, -33.3, -2434, 
2014, 2015, -62.4, -2496, 
2015, 2016, -31.2, -2528, 
