col1,col2,col3,col4
Glacier, Firnalpeligletscher (Ost), ,
Community, Engelberg, ,
Canton, OW, ,
Number, , ,
Length (1973), 0.95, ,
Area (1973), 0.86, ,
Coordinates, 677.2, 180.3,
Exposition, N, ,
  , , ,
Length variation measurements between 1894 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1894, 1895, -6, -6, 
1895, 1897, -11, -17, 
1897, 1898, -7, -24, 
1898, 1899, 1, -23, 
1899, 1900, -28, -51, 
1900, 1904, -2, -53, 
1904, 1905, -17, -70, 
1905, 1906, +5, -65, 
1906, 1907, -5, -70, 
1907, 1908, -4, -74, 
1909, 1910, +11, -63, 
1910, 1911, +12, -51, 
1912, 1913, 0, -51, 
1916, 1917, -1, -52, 
1920, 1921, -15, -67, 
1921, 1922, +2, -65, 
1922, 1923, +3, -62, 
1923, 1924, -1, -63, 
1924, 1925, -14, -77, 
1925, 1926, +12, -65, 
1926, 1927, -8, -73, 
1927, 1928, -12, -85, 
1928, 1929, -24, -109, 
1930, 1932, -2, -111, 
1932, 1933, -3, -114, 
1933, 1934, -2, -116, 
1934, 1935, -4, -120, 
1935, 1938, 0, -120, 
1938, 1941, +2, -118, 
1946, 1947, -14, -132, 
1947, 1948, +7, -125, 
1948, 1950, -16, -141, 
1950, 1953, -2, -143, 
1953, 1956, +22, -121, 
1956, 1957, +12, -109, 
1957, 1958, -31, -140, 
1958, 1960, -8, -148, 
1960, 1962, -6, -154, 
1962, 1964, -5, -159, 
1964, 1965, +48, -111, 
1965, 1967, +3, -108, 
1967, 1968, +3, -105, 
1968, 1969, -13, -118, 
1969, 1971, -12, -130, 
1971, 1972, -2, -132, 
1972, 1975, +50, -82, 
1975, 1976, -39, -121, 
1976, 1977, +22, -99, 
1977, 1978, +26, -73, 
1978, 1979, -14, -87, 
1979, 1980, +18, -69, 
1980, 1981, -9, -78, 
1981, 1982, 1, -77, 
1982, 1985, +4, -73, 
1985, 1986, -5, -78, 
1986, 1988, -10, -88, 
1988, 1990, -5, -93, 
1990, 1992, -15, -108, 
1992, 1994, -8, -116, 
1994, 1995, -5, -121, 
1995, 1997, -17, -138, 
1997, 1999, -4, -142, 
1999, 2000, -2.5, -145, 
2000, 2002, +0.7, -144, 
2002, 2003, -14, -158, 
2003, 2004, -36.2, -194, 
2004, 2005, -13.0, -207, 
2005, 2006, -32.8, -240, 
2006, 2007, -18.8, -259, 
2007, 2008, +3.5, -255, 
2008, 2009, -7.4, -263, 
2009, 2010, -22.9, -285, 
2010, 2011, -11.8, -297, 
2011, 2012, -6.7, -304, 
2012, 2014, +8.4, -296, 
2014, 2015, +0.2, -295, 
2014, 2016, +25.2, -270, 
