col1,col2,col3,col4
Glacier, Vadrec del Forno, ,
Community, Stampa, ,
Canton, GR, ,
Number, , ,
Length (1973), 6.15, ,
Area (1973), 8.72, ,
Coordinates, 774.3, 132.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1857 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1857, 1882, -140, -140, 
1894, 1895, -15, -155, 
1895, 1897, -9, -164, 
1897, 1898, -12, -176, 
1898, 1899, -20, -196, 
1899, 1900, -13, -209, 
1900, 1901, -6, -215, 
1901, 1902, -10, -225, 
1902, 1903, -11, -236, 
1903, 1904, -11, -247, 
1904, 1905, -13, -260, 
1905, 1906, -12, -272, 
1906, 1907, -6, -278, 
1907, 1908, -25, -303, 
1908, 1909, -6, -309, 
1909, 1910, -19, -328, 
1910, 1911, -12, -340, 
1911, 1912, -14, -354, 
1912, 1913, -13, -367, 
1913, 1914, -14, -381, 
1914, 1917, -14, -395, 
1917, 1918, -18, -413, 
1918, 1919, -2, -415, 
1919, 1920, -4, -419, 
1920, 1921, -22, -441, 
1921, 1922, -11, -452, 
1922, 1924, -9, -461, 
1924, 1925, -5, -466, 
1927, 1928, -5, -471, 
1928, 1929, -14, -485, 
1929, 1930, -7, -492, 
1930, 1932, -22, -514, 
1932, 1933, -40, -554, 
1933, 1934, -15, -569, 
1934, 1935, +12, -557, 
1935, 1937, -17, -574, 
1937, 1939, -34, -608, 
1939, 1940, -42, -650, 
1940, 1942, -36, -686, 
1942, 1943, -18, -704, 
1943, 1945, -23, -727, 
1945, 1946, -19, -746, 
1946, 1947, -30, -776, 
1947, 1948, -28, -804, 
1948, 1949, -40, -844, 
1949, 1950, -26, -870, 
1950, 1951, -22, -892, 
1951, 1953, -38, -930, 
1953, 1954, -28, -958, 
1954, 1955, -14, -972, 
1955, 1956, -24, -996, 
1956, 1957, -31, -1027, 
1957, 1958, -28, -1055, 
1958, 1960, -71, -1126, 
1960, 1961, -28, -1154, 
1961, 1962, -20, -1174, 
1962, 1963, -52, -1226, 
1963, 1965, -41, -1267, 
1965, 1966, -28, -1295, 
1966, 1967, -21, -1316, 
1967, 1968, -29, -1345, 
1968, 1969, -35, -1380, 
1969, 1970, -27, -1407, 
1970, 1971, -23, -1430, 
1971, 1972, -9, -1439, 
1972, 1973, -10, -1449, 
1973, 1975, -14, -1463, 
1975, 1977, -52, -1515, 
1977, 1978, -12, -1527, 
1978, 1979, -12, -1539, 
1979, 1980, -30, -1569, 
1980, 1981, -15, -1584, 
1981, 1982, -28, -1612, 
1982, 1983, -14, -1626, 
1983, 1984, -13, -1639, 
1984, 1985, -16, -1655, 
1985, 1986, -8, -1663, 
1986, 1988, -56, -1719, 
1988, 1989, -13, -1732, 
1989, 1990, -19, -1751, 
1990, 1991, -19, -1770, 
1991, 1992, -22, -1792, 
1992, 1993, -16, -1808, 
1993, 1994, -24, -1832, 
1994, 1995, -21, -1853, 
1995, 1996, -23, -1876, 
1996, 1997, -24, -1900, 
1997, 1998, -20, -1920, 
1998, 1999, -16, -1936, 
1999, 2000, -22.4, -1958, 
2000, 2001, -21.0, -1979, 
2001, 2002, -23.4, -2003, 
2002, 2003, -25.6, -2028, 
2003, 2004, -23.6, -2052, 
2004, 2005, -43.8, -2096, 
2005, 2006, -23.7, -2120, 
2006, 2007, -30.8, -2150, 
2007, 2008, -28.3, -2179, 
2008, 2009, -23.8, -2202, 
2009, 2010, -27.6, -2230, 
2010, 2011, -26.2, -2256, 
2011, 2012, -25.4, -2282, 
2012, 2013, -21.0, -2303, 
2013, 2014, -14.6, -2317, 
2014, 2015, -34.9, -2352, 
2015, 2016, +27.7, -2324, 
