col1,col2,col3,col4
Glacier, Gamchigletscher, ,
Community, Reichenbach, ,
Canton, BE, ,
Number, , ,
Length (1973), 2.80, ,
Area (1973), 1.76, ,
Coordinates, 627.5, 151.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1883 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1883, 1884, +15, 15, 
1893, 1894, -13, 2, 
1894, 1895, -4, -2, 
1895, 1896, -4, -6, 
1896, 1897, -3, -9, 
1897, 1898, -5, -14, 
1898, 1899, -3, -17, 
1899, 1900, -2, -19, 
1900, 1901, -12, -31, 
1901, 1902, 0, -31, 
1902, 1903, 0, -31, 
1903, 1904, -2, -33, 
1904, 1905, -12, -45, 
1905, 1906, -7, -52, 
1906, 1907, +14, -38, 
1907, 1908, -4, -42, 
1908, 1909, +3, -39, 
1909, 1910, -2, -41, 
1910, 1911, -6, -47, 
1911, 1912, -1, -48, 
1912, 1913, +15, -33, 
1913, 1914, -1, -34, 
1914, 1915, +12, -22, 
1915, 1916, -3, -25, 
1916, 1917, +29, 4, 
1917, 1918, -2, 2, 
1918, 1919, +16, 18, 
1919, 1920, +11, 29, 
1920, 1921, 0, 29, 
1921, 1922, -3, 26, 
1922, 1923, +15, 41, 
1923, 1924, 0, 41, 
1926, 1928, -17, 24, 
1928, 1929, -3, 21, 
1929, 1931, -15, 6, 
1931, 1932, -18, -12, 
1932, 1933, -5, -17, 
1933, 1935, -33, -50, 
1935, 1938, -10, -60, 
1938, 1941, -20, -80, 
1941, 1944, -1, -81, 
1944, 1945, -1, -82, 
1945, 1946, -4, -86, 
1946, 1948, -9, -95, 
1948, 1949, -8, -103, 
1949, 1950, -9, -112, 
1950, 1951, -4, -116, 
1951, 1953, -9, -125, 
1953, 1954, 0, -125, 
1954, 1955, -3, -128, 
1955, 1956, -4, -132, 
1956, 1957, -3, -135, 
1957, 1958, -13, -148, 
1958, 1960, -14, -162, 
1960, 1961, -5, -167, 
1961, 1962, -10, -177, 
1962, 1963, -11, -188, 
1963, 1964, -11, -199, 
1964, 1965, -4, -203, 
1965, 1966, +8, -195, 
1966, 1967, +3, -192, 
1967, 1968, +5, -187, 
1968, 1969, +4, -183, 
1969, 1970, +10, -173, 
1970, 1971, +10, -163, 
1971, 1972, +10, -153, 
1972, 1973, 0, -153, 
1973, 1974, +4, -149, 
1974, 1975, +9, -140, 
1975, 1976, -3, -143, 
1976, 1977, -3, -146, 
1977, 1978, +7, -139, 
1978, 1979, +3, -136, 
1979, 1980, +9, -127, 
1980, 1981, +9, -118, 
1981, 1982, +7, -111, 
1982, 1983, +2, -109, 
1983, 1984, +6, -103, 
1984, 1985, +2, -101, 
1985, 1986, +5, -96, 
1986, 1987, +2, -94, 
1987, 1988, -4, -98, 
1988, 1989, +4, -94, 
1989, 1990, -2, -96, 
1990, 1991, -3, -99, 
1991, 1992, -6, -105, 
1992, 1993, -12, -117, 
1993, 1994, -9, -126, 
1994, 1995, -1, -127, 
1995, 1996, -3, -130, 
1996, 1997, -5, -135, 
1997, 1998, -14, -149, 
1998, 1999, -11, -160, 
1999, 2000, -7.6, -168, 
2000, 2001, -5.4, -173, 
2001, 2002, -14.4, -187, 
2002, 2003, -21.4, -209, 
2003, 2004, -15, -224, 
2004, 2005, -16.6, -240, 
2005, 2006, -11.8, -252, 
2006, 2007, -18.3, -270, 
2007, 2008, -7, -277, 
2008, 2009, -7.5, -285, 
2009, 2010, -15.5, -300, 
2010, 2011, -18.8, -319, 
2011, 2012, -10.7, -330, 
2012, 2013, -96, -426, 
2013, 2014, -50, -476, 
2014, 2015, -387, -863, 
2015, 2016, -6, -869, 
