col1,col2,col3,col4
Glacier, Gauligletscher, ,
Community, Innertkirchen, ,
Canton, BE, ,
Number, , ,
Length (1973), 6.55, ,
Area (1973), 17.70, ,
Coordinates, 657.0, 163.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1958 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1958, 1960, -39, -39, 
1960, 1961, -22, -61, 
1961, 1962, -6, -67, 
1962, 1963, -3, -70, 
1963, 1964, -8, -78, 
1964, 1965, -4, -82, 
1965, 1966, -8, -90, 
1966, 1967, -7, -97, 
1967, 1968, -11, -108, 
1968, 1969, -7, -115, 
1969, 1971, -10, -125, 
1971, 1972, -3, -128, 
1972, 1973, -10, -138, 
1973, 1974, -22, -160, 
1974, 1975, -9, -169, 
1975, 1976, -12, -181, 
1976, 1977, -5, -186, 
1977, 1978, -1, -187, 
1978, 1979, -4, -191, 
1979, 1980, -1, -192, 
1980, 1981, -2, -194, 
1981, 1982, 0, -194, 
1982, 1983, -12, -206, 
1983, 1984, 0, -206, 
1984, 1985, 0, -206, 
1985, 1986, -4, -210, 
1986, 1987, +8, -202, 
1987, 1988, -6, -208, 
1988, 1990, -38, -246, 
1990, 1991, -11, -257, 
1991, 1992, -21, -278, 
1992, 1993, -9, -287, 
1993, 1994, -30, -317, 
1994, 1995, -12, -329, 
1995, 1996, -14, -343, 
1996, 1997, -6, -349, 
1997, 1998, -13, -362, 
1998, 1999, -5, -367, 
1999, 2000, -11, -378, 
2000, 2002, -55, -433, 
2002, 2003, -27, -460, 
2003, 2004, -5, -465, 
2004, 2005, -1, -466, 
2005, 2006, -78, -544, 
2006, 2007, -100, -644, 
2007, 2008, -75, -719, 
2008, 2009, -100, -819, 
2009, 2010, -196, -1015, 
2010, 2011, -135, -1150, 
2011, 2012, -91, -1241, 
2012, 2013, -1, -1242, 
2013, 2014, -51, -1293, 
2014, 2015, -13, -1306, 
