col1,col2,col3,col4
Glacier, Geltengletscher, ,
Community, Lauenen, ,
Canton, BE, ,
Number, , ,
Length (1973), 0.70, ,
Area (1973), 1.17, ,
Coordinates, 592.5, 133.3,
Exposition, N, ,
  , , ,
Length variation measurements between 1893 and 2009, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -25, -25, 
1894, 1895, +10, -15, 
1895, 1898, -21, -36, 
1898, 1899, +17, -19, 
1899, 1900, -42, -61, 
1900, 1901, -6, -67, 
1901, 1902, 0, -67, 
1903, 1904, -3, -70, 
1904, 1906, -16, -86, 
1906, 1907, -9, -95, 
1907, 1908, -7, -102, 
1908, 1909, -6, -108, 
1909, 1911, -7, -115, 
1959, 1973, -150, -310, 
1999, 2003, -26, -407, 
2003, 2006, -5.1, -412, 
2006, 2007, -14, -426, 
2007, 2008, -8, -434, 
2008, 2009, -16.1, -450, 
