col1,col2,col3,col4
Glacier, Glacier du Gi�tro, ,
Community, Bagnes, ,
Canton, VS, ,
Number, , ,
Length (1973), 4.55, ,
Area (1973), 5.85, ,
Coordinates, 596.0, 93.8,
Exposition, NW, ,
  , , ,
Length variation measurements between 1889 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1889, 1890, +21, 21, 
1890, 1891, +17, 38, 
1892, 1893, -6, 32, 
1893, 1894, -1, 31, 
1917, 1918, 0, 31, 
1918, 1919, 0, 31, 
1919, 1920, 0, 31, 
1922, 1923, 0, 31, 
1926, 1927, 0, 31, 
1931, 1932, 0, 31, 
1953, 1955, -6, 25, 
1955, 1956, -3, 22, 
1956, 1957, 0, 22, 
1957, 1959, 0, 22, 
1959, 1961, 0, 22, 
1961, 1962, -6, 16, 
1962, 1963, +2, 18, 
1963, 1964, -2, 16, 
1964, 1965, +3, 19, 
1965, 1966, +4, 23, 
1966, 1967, 1, 24, 
1967, 1968, +8, 32, 
1968, 1969, +4, 36, 
1969, 1970, +9, 45, 
1970, 1971, +17, 62, 
1971, 1972, +19, 81, 
1972, 1973, +2, 83, 
1973, 1974, 0, 83, 
1974, 1975, +5, 88, 
1975, 1976, 0, 88, 
1976, 1977, +6, 94, 
1977, 1978, +4, 98, 
1978, 1979, +6, 104, 
1979, 1980, +11, 115, 
1980, 1981, +11, 126, 
1981, 1982, +4, 130, 
1982, 1983, +9, 139, 
1983, 1984, 1, 140, 
1984, 1985, +18, 158, 
1985, 1986, -4, 154, 
1986, 1987, -4, 150, 
1987, 1988, -2, 148, 
1988, 1989, -18, 130, 
1989, 1990, -4, 126, 
1990, 1996, -50, 76, 
1996, 1997, -7, 69, 
1997, 1998, -12, 57, 
1998, 1999, -8, 49, 
1999, 2000, -2.9, 46, 
2000, 2001, -7.0, 39, 
2001, 2002, -7.0, 32, 
2002, 2003, -4.8, 27, 
2003, 2004, -34.8, -7, 
2004, 2005, -58.1, -66, 
2005, 2006, -31.3, -97, 
2006, 2007, -21.4, -118, 
2007, 2008, -22.0, -140, 
2008, 2009, -48.4, -189, 
2009, 2010, -32.9, -222, 
2010, 2011, -24.8, -246, 
2011, 2012, -94.2, -341, 
2012, 2013, -10.7, -351, 
2013, 2014, -7.9, -359, 
2014, 2015, -17.4, -377, 
2015, 2016, -7.5, -384, 
