col1,col2,col3,col4
Glacier, Gl�rnischfirn, ,
Community, Glarus, ,
Canton, GL, ,
Number, , ,
Length (1973), 2.50, ,
Area (1973), 1.66, ,
Coordinates, 718.0, 207.0,
Exposition, W, ,
  , , ,
Length variation measurements between 1923 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1923, 1926, -17, -17, 
1926, 1929, -9, -26, 
1929, 1933, -23, -49, 
1933, 1934, -10, -59, 
1934, 1936, -18, -77, 
1936, 1938, -5, -82, 
1938, 1941, -5, -87, 
1941, 1943, -14, -101, 
1943, 1945, -3, -104, 
1945, 1947, -40, -144, 
1947, 1948, -9, -153, 
1948, 1957, -14, -167, 
1957, 1959, -5, -172, 
1959, 1960, -4, -176, 
1960, 1961, -1, -177, 
1961, 1962, 0, -177, 
1962, 1963, -8, -185, 
1963, 1964, -3, -188, 
1964, 1965, +18, -170, 
1965, 1966, -6, -176, 
1966, 1967, -5, -181, 
1967, 1968, -2, -183, 
1968, 1969, -6, -189, 
1969, 1970, 1, -188, 
1970, 1971, -10, -198, 
1971, 1972, -3, -201, 
1972, 1973, -6, -207, 
1973, 1975, -3, -210, 
1975, 1976, +4, -206, 
1976, 1977, +6, -200, 
1977, 1978, 1, -199, 
1978, 1979, -4, -203, 
1979, 1980, -4, -207, 
1980, 1981, -6, -213, 
1981, 1982, -10, -223, 
1982, 1983, +7, -216, 
1983, 1985, -2, -218, 
1985, 1986, -5, -223, 
1986, 1987, 0, -223, 
1987, 1988, -4, -227, 
1988, 1989, -3, -230, 
1989, 1990, -3, -233, 
1990, 1991, -5, -238, 
1991, 1993, -22, -260, 
1993, 1994, -9, -269, 
1994, 1995, -35, -304, 
1995, 1996, 1, -303, 
1996, 1997, -2, -305, 
1997, 1998, -19, -324, 
1998, 1999, +5, -319, 
1999, 2000, -8.6, -328, 
2000, 2001, -2.5, -330, 
2001, 2002, -2.6, -333, 
2002, 2003, -14.9, -348, 
2003, 2004, -16.2, -364, 
2004, 2005, -3.1, -367, 
2005, 2006, -7.9, -375, 
2006, 2007, -13.7, -389, 
2007, 2008, -2.5, -391, 
2008, 2009, -12.6, -404, 
2009, 2010, -8.6, -412, 
2010, 2011, -7.7, -420, 
2011, 2012, -18.0, -438, 
2012, 2013, 3.9, -434, 
2013, 2014, -7.4, -441, 
2014, 2015, -34.0, -475, 
2015, 2016, -11.3, -487, 
