col1,col2,col3,col4
Glacier, Gornergletscher, ,
Community, Zermatt, ,
Canton, VS, ,
Number, , ,
Length (1973), 13.50, ,
Area (1973), 59.73, ,
Coordinates, 628.0, 91.0,
Exposition, NW, ,
  , , ,
Length variation measurements between 1882 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1882, 1883, 0, 0, 
1883, 1885, +4, 4, 
1885, 1886, 0, 4, 
1890, 1891, 0, 4, 
1892, 1893, -26, -22, 
1893, 1894, -26, -48, 
1894, 1896, -4, -52, 
1896, 1897, -9, -61, 
1897, 1898, -8, -69, 
1898, 1899, -3, -72, 
1899, 1900, -5, -77, 
1900, 1901, -10, -87, 
1901, 1902, -6, -93, 
1902, 1903, -5, -98, 
1903, 1904, -5, -103, 
1904, 1905, -5, -108, 
1905, 1906, -7, -115, 
1906, 1907, -2, -117, 
1907, 1908, -3, -120, 
1908, 1910, -17, -137, 
1910, 1911, -5, -142, 
1911, 1912, -7, -149, 
1912, 1913, -6, -155, 
1913, 1914, -8, -163, 
1914, 1915, -6, -169, 
1915, 1916, -10, -179, 
1916, 1917, -8, -187, 
1917, 1918, -7, -194, 
1918, 1919, -16, -210, 
1919, 1920, -14, -224, 
1920, 1921, -17, -241, 
1921, 1922, -12, -253, 
1922, 1923, -10, -263, 
1923, 1924, -12, -275, 
1924, 1925, -7, -282, 
1925, 1926, -6, -288, 
1926, 1927, -10, -298, 
1927, 1928, -6, -304, 
1928, 1929, -2, -306, 
1929, 1930, -16, -322, 
1930, 1931, -8, -330, 
1931, 1932, -10, -340, 
1932, 1933, -11, -351, 
1933, 1934, -14, -365, 
1934, 1935, -17, -382, 
1935, 1936, -16, -398, 
1936, 1937, -10, -408, 
1937, 1938, -10, -418, 
1938, 1939, -17, -435, 
1939, 1940, -8, -443, 
1940, 1941, -8, -451, 
1941, 1942, -40, -491, 
1942, 1943, -5, -496, 
1943, 1944, -20, -516, 
1944, 1945, -23, -539, 
1945, 1946, -34, -573, 
1946, 1947, -19, -592, 
1947, 1948, -16, -608, 
1948, 1949, -23, -631, 
1949, 1950, -95, -726, 
1950, 1951, -186, -912, 
1951, 1952, -24, -936, 
1952, 1953, -27, -963, 
1953, 1954, -30, -993, 
1954, 1955, -20, -1013, 
1955, 1956, -24.6, -1038, 
1956, 1957, -35.9, -1074, 
1957, 1958, -23.3, -1097, 
1958, 1959, -55.9, -1153, 
1959, 1961, -26.6, -1179, 
1961, 1962, -10.8, -1190, 
1962, 1963, -28.5, -1219, 
1963, 1964, -40.8, -1259, 
1964, 1965, -22.8, -1282, 
1965, 1967, -54.1, -1336, 
1967, 1968, -40.0, -1376, 
1968, 1969, -33.2, -1410, 
1969, 1970, -18.3, -1428, 
1970, 1971, -19.1, -1447, 
1971, 1972, -16.8, -1464, 
1972, 1973, -26.8, -1491, 
1973, 1975, -62.6, -1553, 
1975, 1976, -47.8, -1601, 
1976, 1977, -3.0, -1604, 
1977, 1978, -12.9, -1617, 
1977, 1981, -55, -1659, 
1978, 1983, -93.3, -1710, 
1983, 1984, -19.0, -1729, 
1983, 1985, -42.7, -1753, 
1985, 1986, -13.9, -1767, 
1985, 1987, -33.8, -1787, 
1987, 1988, -12.1, -1799, 
1987, 1989, -24.8, -1811, 
1989, 1990, -8.5, -1820, 
1990, 1991, -4, -1824, 
1991, 1992, -51.5, -1875, 
1992, 1993, -12, -1887, 
1993, 1994, -34, -1921, 
1994, 1995, -10, -1931, 
1995, 1996, -10, -1941, 
1996, 1997, -30.5, -1972, 
1997, 1998, -43.4, -2015, 
1998, 1999, -11.6, -2027, 
1999, 2001, -29.3, -2056, 
2001, 2002, -6.2, -2062, 
2002, 2003, -16, -2078, 
2003, 2004, -5, -2083, 
2004, 2005, -17, -2100, 
2005, 2006, -4, -2104, 
2006, 2007, -17.4, -2122, 
2007, 2008, -290, -2412, 
2008, 2009, -6, -2418, 
2009, 2010, -11, -2429, 
2010, 2011, -20, -2449, 
2011, 2012, -30, -2479, 
2012, 2013, -30, -2509, 
2013, 2014, -30, -2539, 
2014, 2015, -72, -2611, 
2015, 2016, -61, -2672, 
