col1,col2,col3,col4
Glacier, Glacier du Grand Desert, ,
Community, Nendaz, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.25, ,
Area (1973), 1.89, ,
Coordinates, 592.6, 101.9,
Exposition, N, ,
  , , ,
Length variation measurements between 1892 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1892, 1893, -15, -15, 
1893, 1894, -20, -35, 
1894, 1895, -5, -40, 
1895, 1896, -4, -44, 
1896, 1897, -5, -49, 
1897, 1898, -10, -59, 
1898, 1899, -20, -79, 
1899, 1900, -7, -86, 
1900, 1901, -19, -105, 
1901, 1902, -10, -115, 
1902, 1903, -4, -119, 
1903, 1904, -15, -134, 
1904, 1905, -40, -174, 
1905, 1906, -15, -189, 
1906, 1907, -15, -204, 
1907, 1908, -10, -214, 
1908, 1909, -12, -226, 
1909, 1910, -5, -231, 
1910, 1911, -20, -251, 
1911, 1912, -10, -261, 
1912, 1913, -8, -269, 
1913, 1914, 0, -269, 
1914, 1915, -20, -289, 
1915, 1916, +13, -276, 
1916, 1917, -15, -291, 
1917, 1918, -17, -308, 
1918, 1919, -6, -314, 
1919, 1920, -20, -334, 
1920, 1921, -24, -358, 
1921, 1922, -19, -377, 
1922, 1923, -2, -379, 
1923, 1924, -14, -393, 
1924, 1925, -12, -405, 
1925, 1926, +2, -403, 
1926, 1927, -10, -413, 
1927, 1928, -14, -427, 
1928, 1929, -28, -455, 
1929, 1930, -12, -467, 
1930, 1931, -10, -477, 
1931, 1932, -10, -487, 
1932, 1933, -20, -507, 
1933, 1934, -20, -527, 
1934, 1935, -9, -536, 
1935, 1936, -10, -546, 
1937, 1938, -15, -561, 
1939, 1940, -6, -567, 
1940, 1941, -14, -581, 
1941, 1942, -32, -613, 
1942, 1943, -24, -637, 
1943, 1944, -21, -658, 
1944, 1945, -18, -676, 
1945, 1946, -4, -680, 
1946, 1947, -28, -708, 
1947, 1948, -6, -714, 
1948, 1949, -23, -737, 
1949, 1950, -15, -752, 
1950, 1951, -5, -757, 
1951, 1952, -7, -764, 
1952, 1953, -13, -777, 
1953, 1954, -9, -786, 
1954, 1955, +20, -766, 
1955, 1956, -18, -784, 
1956, 1957, -7, -791, 
1957, 1958, -7, -798, 
1958, 1959, -24, -822, 
1959, 1960, 0, -822, 
1960, 1961, -4, -826, 
1961, 1962, +22, -804, 
1962, 1963, -138, -942, 
1963, 1964, -59, -1001, 
1966, 1967, -9, -1010, 
1968, 1969, -18, -1028, 
1969, 1970, -20, -1048, 
1970, 1971, -19, -1067, 
1971, 1972, -30, -1097, 
1972, 1973, -19, -1116, 
1974, 1975, -35, -1151, 
1975, 1976, -4, -1155, 
1976, 1977, -13, -1168, 
1978, 1979, +4, -1164, 
1979, 1980, +11, -1153, 
1980, 1981, -11, -1164, 
1981, 1982, -24, -1188, 
1982, 1983, -19, -1207, 
1983, 1984, -2, -1209, 
1984, 1985, -21, -1230, 
1985, 1986, -21, -1251, 
1986, 1987, -20, -1271, 
1987, 1988, -10, -1281, 
1988, 1989, -13, -1294, 
1989, 1991, -73, -1367, 
1991, 1992, -7, -1374, 
1992, 1994, -11, -1385, 
1994, 1995, -4, -1389, 
1995, 1996, 0, -1389, 
1996, 1997, -1, -1390, 
1997, 1998, -30, -1420, 
1998, 1999, +3, -1417, 
1999, 2000, -13.4, -1430, 
2000, 2001, -29.2, -1460, 
2001, 2002, -30.6, -1490, 
2002, 2003, -72, -1562, 
2003, 2004, -6.4, -1569, 
2004, 2005, -5.2, -1574, 
2005, 2006, -6.2, -1580, 
2006, 2007, -40.6, -1621, 
2007, 2008, -47.2, -1668, 
2008, 2009, -15.5, -1683, 
2008, 2010, -16.3, -1684, 
2010, 2011, -23, -1707, 
2011, 2012, -12.8, -1720, 
2012, 2013, -6.0, -1726, 
2013, 2014, -5.6, -1732, 
2014, 2015, -13.4, -1745, 
2015, 2016, -4.4, -1749, 
