col1,col2,col3,col4
Glacier, Glacier de Grand Plan Neve, ,
Community, Bex, ,
Canton, VD, ,
Number, , ,
Length (1973), 0.35, ,
Area (1973), 0.20, ,
Coordinates, 577.4, 121.5,
Exposition, N, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -22, -22, 
1894, 1895, -8, -30, 
1895, 1896, 0, -30, 
1896, 1897, -3, -33, 
1897, 1898, -2, -35, 
1898, 1899, -3, -38, 
1899, 1900, -2, -40, 
1900, 1901, -2, -42, 
1901, 1902, +2, -40, 
1902, 1903, -2, -42, 
1903, 1904, -4, -46, 
1904, 1905, 0, -46, 
1905, 1906, -8, -54, 
1906, 1907, -3, -57, 
1907, 1908, 1, -56, 
1908, 1909, -8, -64, 
1910, 1911, -3, -67, 
1911, 1912, +15, -52, 
1912, 1913, -3, -55, 
1913, 1915, -5, -60, 
1917, 1918, +8, -52, 
1918, 1919, +7, -45, 
1919, 1920, -20, -65, 
1920, 1921, -16, -81, 
1921, 1923, +9, -72, 
1923, 1924, +7, -65, 
1925, 1926, +3, -62, 
1926, 1927, +4, -58, 
1927, 1928, -2, -60, 
1928, 1929, 0, -60, 
1929, 1930, +2, -58, 
1930, 1932, +2, -56, 
1932, 1933, +8, -48, 
1933, 1934, -4, -52, 
1934, 1937, +20, -32, 
1937, 1938, -13, -45, 
1938, 1939, -16, -61, 
1939, 1941, -11, -72, 
1941, 1943, +41, -31, 
1943, 1946, -60, -91, 
1946, 1947, -36, -127, 
1947, 1948, -2, -129, 
1948, 1949, -11, -140, 
1949, 1950, +19, -121, 
1950, 1951, +2, -119, 
1951, 1953, -8, -127, 
1953, 1954, -20, -147, 
1954, 1955, +6, -141, 
1955, 1957, -11, -152, 
1957, 1959, -3, -155, 
1959, 1960, -4, -159, 
1960, 1961, -2, -161, 
1961, 1962, +2, -159, 
1962, 1963, 0, -159, 
1963, 1967, -1, -160, 
1967, 1968, +2, -158, 
1968, 1969, -1, -159, 
1969, 1970, +27, -132, 
1970, 1971, -31, -163, 
1971, 1973, -12, -175, 
1973, 1976, +11, -164, 
1976, 1977, -8, -172, 
1977, 1978, +40, -132, 
1978, 1979, -18, -150, 
1979, 1980, +23, -127, 
1980, 1981, -15, -142, 
1981, 1982, +2, -140, 
1982, 1983, -21, -161, 
1983, 1984, +17, -144, 
1984, 1985, -28, -172, 
1985, 1986, -4, -176, 
1986, 1987, -2, -178, 
1987, 1988, +16, -162, 
1988, 1989, -17, -179, 
1989, 1990, +5, -174, 
1990, 1991, -10, -184, 
1991, 1992, 0, -184, 
1992, 1994, +4, -180, 
1994, 1995, +6, -174, 
1995, 1996, -3, -177, 
1996, 1997, -6, -183, 
1997, 1998, -4, -187, 
1998, 1999, +9, -178, 
1999, 2000, -2.6, -181, 
2000, 2001, -5.3, -186, 
2001, 2003, -12.5, -198, 
2003, 2004, -1.6, -200, 
2004, 2005, +0.1, -200, 
2005, 2006, -8.3, -208, 
2006, 2007, -3.1, -211, 
2007, 2008, -1.2, -213, 
2008, 2009, -3.4, -216, 
2009, 2010, -7.9, -224, 
2010, 2011, -8.4, -232, 
2011, 2012, -4.6, -237, 
2012, 2013, 1.92, -235, 
2013, 2014, -3.5, -238, 
2014, 2015, -11.9, -250, 
2015, 2016, 0.6, -250, 
