col1,col2,col3,col4
Glacier, Griesgletscher, ,
Community, Ulrichen, ,
Canton, VS, ,
Number, , ,
Length (1973), 5.70, ,
Area (1973), 6.23, ,
Coordinates, 668.0, 143.0,
Exposition, NE, ,
  , , ,
Length variation measurements between 1847 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1847, 1880, -660, -660, 
1880, 1923, -370, -1030, 
1923, 1957, -540, -1570, 
1957, 1961, -160, -1730, 
1961, 1962, -21, -1751, 
1962, 1963, -17, -1768, 
1963, 1964, -24, -1792, 
1964, 1965, -11, -1803, 
1965, 1966, -159, -1962, 
1966, 1967, -36, -1998, 
1967, 1968, -34, -2032, 
1968, 1969, -18, -2050, 
1969, 1970, -26, -2076, 
1970, 1971, -19, -2095, 
1971, 1972, -8, -2103, 
1972, 1973, -36, -2139, 
1973, 1974, -7, -2146, 
1974, 1975, -6, -2152, 
1975, 1976, -36, -2188, 
1976, 1977, -5, -2193, 
1977, 1978, -5, -2198, 
1978, 1979, -22, -2220, 
1979, 1980, -3, -2223, 
1980, 1981, -18, -2241, 
1981, 1982, -14, -2255, 
1982, 1983, -2, -2257, 
1983, 1984, +6, -2251, 
1984, 1985, 0, -2251, 
1985, 1986, -13, -2264, 
1986, 1987, 1, -2263, 
1987, 1988, -5, -2268, 
1988, 1989, -11, -2279, 
1989, 1990, -6, -2285, 
1990, 1991, -9, -2294, 
1991, 1992, -18, -2312, 
1992, 1994, -17, -2329, 
1994, 1995, -11, -2340, 
1995, 1996, -12, -2352, 
1996, 1997, -10, -2362, 
1997, 1998, -22, -2384, 
1998, 1999, -16, -2400, 
1999, 2000, -22.7, -2423, 
2000, 2001, -13.0, -2436, 
2001, 2002, -26.4, -2462, 
2002, 2003, -29.9, -2492, 
2003, 2004, -27.0, -2519, 
2004, 2005, -58.0, -2577, 
2005, 2006, -50.1, -2627, 
2006, 2007, -39.3, -2666, 
2007, 2008, -25.7, -2692, 
2008, 2009, -16.3, -2708, 
2009, 2010, -23.9, -2732, 
2010, 2011, -53.6, -2786, 
2011, 2012, -35.8, -2822, 
2012, 2013, -24.4, -2846, 
2013, 2014, -44.7, -2891, 
2014, 2015, -45.2, -2936, 
2015, 2016, -22.9, -2959, 
