col1,col2,col3,col4
Glacier, Griessfirn, ,
Community, Untersch�chen, ,
Canton, UR, ,
Number, , ,
Length (1973), 1.60, ,
Area (1973), 0.90, ,
Coordinates, 705.2, 187.9,
Exposition, NE, ,
  , , ,
Length variation measurements between 1929 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1929, 1930, -8, -8, 
1930, 1931, 1, -7, 
1931, 1932, 1, -6, 
1932, 1933, -9, -15, 
1933, 1934, -5, -20, 
1934, 1935, -4, -24, 
1935, 1936, -4, -28, 
1936, 1937, +14, -14, 
1937, 1938, -20, -34, 
1938, 1939, +2, -32, 
1939, 1940, +6, -26, 
1940, 1941, -7, -33, 
1941, 1942, -4, -37, 
1942, 1943, 1, -36, 
1943, 1944, -5, -41, 
1944, 1946, -4, -45, 
1946, 1947, -4, -49, 
1947, 1948, +10, -39, 
1948, 1949, -11, -50, 
1949, 1950, -4, -54, 
1950, 1951, 1, -53, 
1951, 1954, -3, -56, 
1954, 1955, 0, -56, 
1955, 1958, -5, -61, 
1958, 1959, +2, -59, 
1959, 1960, -19, -78, 
1960, 1961, +30, -48, 
1961, 1962, -6, -54, 
1962, 1963, -2, -56, 
1963, 1964, -2, -58, 
1964, 1965, -1, -59, 
1965, 1966, 0, -59, 
1966, 1967, -1, -60, 
1967, 1968, 1, -59, 
1968, 1969, -16, -75, 
1969, 1970, -2, -77, 
1970, 1971, -10, -87, 
1971, 1972, -5, -92, 
1972, 1973, -13, -105, 
1973, 1974, -6, -111, 
1974, 1975, 0, -111, 
1975, 1976, -5, -116, 
1976, 1977, 1, -115, 
1977, 1979, -4, -119, 
1979, 1980, 0, -119, 
1980, 1981, -15, -134, 
1981, 1982, -15, -149, 
1982, 1983, -11, -160, 
1983, 1985, -22, -182, 
1985, 1986, +6, -176, 
1986, 1987, +11, -165, 
1987, 1989, -14, -179, 
1989, 1990, -16, -195, 
1990, 1991, -34, -229, 
1991, 1992, -2, -231, 
1992, 1994, -18, -249, 
1994, 1995, 0, -249, 
1995, 1996, -8, -257, 
1996, 1997, -6, -263, 
1997, 1998, -12, -275, 
1998, 1999, 0, -275, 
1999, 2000, -4.2, -279, 
2000, 2001, -.2, -279, 
2001, 2002, -5.2, -285, 
2002, 2003, -14.6, -299, 
2003, 2004, +2.2, -297, 
2004, 2005, -9.2, -306, 
2005, 2006, -10.7, -317, 
2006, 2007, -5.7, -323, 
2007, 2008, -3.5, -326, 
2008, 2009, -2.5, -329, 
2009, 2010, -2.0, -331, 
2010, 2011, -9.4, -340, 
2011, 2012, -8.9, -349, 
2013, 2014, -8.1, -357, 
2014, 2015, -13.0, -370, 
2015, 2016, -5.9, -376, 
