col1,col2,col3,col4
Glacier, Griessenfirn, ,
Community, Engelberg, ,
Canton, OW, ,
Number, , ,
Length (1973), 1.20, ,
Area (1973), 1.28, ,
Coordinates, 680.5, 188.4,
Exposition, W, ,
  , , ,
Length variation measurements between 1894 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1894, 1895, 0, 0, 
1895, 1897, -10, -10, 
1897, 1898, -10, -20, 
1898, 1899, -4, -24, 
1899, 1901, -27, -51, 
1901, 1902, -2, -53, 
1902, 1903, -2, -55, 
1903, 1904, -9, -64, 
1904, 1905, -4, -68, 
1905, 1906, -32, -100, 
1906, 1907, -33, -133, 
1907, 1908, +6, -127, 
1908, 1909, -22, -149, 
1909, 1911, -3, -152, 
1911, 1913, +2, -150, 
1913, 1914, +10, -140, 
1915, 1916, 0, -140, 
1916, 1917, -31, -171, 
1917, 1919, -7, -178, 
1919, 1920, -8, -186, 
1920, 1921, -30, -216, 
1921, 1923, +5, -211, 
1923, 1924, -10, -221, 
1924, 1925, -5, -226, 
1925, 1926, -6, -232, 
1926, 1927, -2, -234, 
1927, 1928, -24, -258, 
1928, 1929, -12, -270, 
1929, 1930, -2, -272, 
1930, 1933, -42, -314, 
1933, 1934, -12, -326, 
1934, 1935, -21, -347, 
1941, 1943, -20, -367, 
1943, 1947, -53, -420, 
1947, 1948, +4, -416, 
1948, 1950, -25, -441, 
1950, 1953, -24, -465, 
1953, 1956, -23, -488, 
1956, 1957, +9, -479, 
1957, 1958, -30, -509, 
1958, 1961, -8, -517, 
1961, 1962, -8, -525, 
1962, 1965, +78, -447, 
1965, 1966, +24, -423, 
1966, 1967, 0, -423, 
1967, 1968, +45, -378, 
1968, 1969, -6, -384, 
1969, 1970, -12, -396, 
1970, 1971, -121, -517, 
1971, 1972, -11, -528, 
1972, 1975, +7, -521, 
1975, 1977, -2, -523, 
1978, 1979, 0, -523, 
1979, 1980, +6, -517, 
1981, 1983, -14, -531, 
1983, 1985, -4, -535, 
1985, 1986, -7, -542, 
1986, 1987, +11, -531, 
1987, 1988, -2, -533, 
1988, 1990, -6, -539, 
1990, 1991, -34, -573, 
1991, 1992, -9, -582, 
1992, 1993, -2, -584, 
1993, 1994, -5, -589, 
1994, 1995, 0, -589, 
1995, 1997, -1, -590, 
1997, 2000, -8, -598, 
2000, 2001, -6.3, -604, 
2001, 2002, +1.2, -603, 
2002, 2003, -11.3, -614, 
2003, 2004, -6.3, -621, 
2004, 2005, -5.5, -626, 
2005, 2006, -1.2, -627, 
2006, 2007, -8.0, -635, 
2007, 2009, -11.2, -647, 
2009, 2010, -4.3, -651, 
2010, 2011, -11.4, -662, 
2011, 2012, -13.7, -676, 
2012, 2014, -7.8, -684, 
2014, 2015, -14.5, -698, 
2015, 2016, -3.8, -702, 
