col1,col2,col3,col4
Glacier, Hohlaubgletscher, ,
Community, Saas Almagell, ,
Canton, VS, ,
Number, , ,
Length (1973), 3.75, ,
Area (1973), 2.36, ,
Coordinates, 636.5, 100.5,
Exposition, E, ,
  , , ,
Length variation measurements between 1997 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1997, 1999, 0, 0, 
1999, 2000, -6, -6, 
2000, 2001, +7, 1, 
2001, 2002, -8, -7, 
2002, 2003, 0, -7, 
2003, 2004, -19, -26, 
2004, 2005, -12, -38, 
2005, 2006, -194, -232, 
2006, 2007, -11.5, -244, 
2007, 2008, -5, -249, 
2008, 2009, -4.0, -253, 
2009, 2010, -4.2, -257, 
2010, 2011, -4.9, -262, 
2011, 2012, -12.0, -274, 
2012, 2013, -2.3, -276, 
2013, 2014, -1.6, -278, 
2014, 2015, -3.7, -281, 
2015, 2016, -13.2, -294, 
