col1,col2,col3,col4
Glacier, H�fifirn, ,
Community, Silenen, ,
Canton, UR, ,
Number, , ,
Length (1973), 7.10, ,
Area (1973), 13.64, ,
Coordinates, 708.5, 187.0,
Exposition, SW, ,
  , , ,
Length variation measurements between 1882 and 2010, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1882, 1883, -27, -27, 
1883, 1884, -49, -76, 
1884, 1885, -43, -119, 
1885, 1886, -103, -222, 
1886, 1887, -18, -240, 
1887, 1888, 0, -240, 
1888, 1889, -5, -245, 
1889, 1890, -28, -273, 
1890, 1891, -10, -283, 
1891, 1892, -11, -294, 
1892, 1893, -15, -309, 
1893, 1894, -8, -317, 
1894, 1895, -10, -327, 
1895, 1896, -9, -336, 
1898, 1899, -4, -340, 
1899, 1900, -13, -353, 
1900, 1901, -59, -412, 
1901, 1902, -9, -421, 
1902, 1903, -5, -426, 
1903, 1905, -14, -440, 
1905, 1906, -13, -453, 
1906, 1907, -3, -456, 
1907, 1908, -10, -466, 
1908, 1909, -2, -468, 
1909, 1910, 0, -468, 
1910, 1911, -4, -472, 
1911, 1912, -3, -475, 
1912, 1913, -3, -478, 
1913, 1914, -10, -488, 
1914, 1915, -23, -511, 
1915, 1916, -2, -513, 
1916, 1917, +24, -489, 
1917, 1918, +10, -479, 
1918, 1919, +6, -473, 
1919, 1920, +51, -422, 
1920, 1921, -30, -452, 
1921, 1922, +14, -438, 
1922, 1923, -8, -446, 
1923, 1924, -4, -450, 
1924, 1925, +3, -447, 
1925, 1926, +5, -442, 
1926, 1927, +8, -434, 
1927, 1928, -4, -438, 
1929, 1930, -2, -440, 
1930, 1931, -4, -444, 
1931, 1932, -2, -446, 
1932, 1933, +23, -423, 
1933, 1934, -19, -442, 
1934, 1935, -7, -449, 
1935, 1936, -20, -469, 
1936, 1937, -22, -491, 
1937, 1938, -33, -524, 
1938, 1939, -4, -528, 
1939, 1940, 0, -528, 
1940, 1941, +6, -522, 
1941, 1942, -6, -528, 
1942, 1943, -35.5, -564, 
1943, 1944, +13, -551, 
1944, 1945, +7, -544, 
1945, 1946, -19, -563, 
1946, 1947, -14, -577, 
1947, 1948, -24, -601, 
1948, 1949, -33, -634, 
1949, 1951, -13, -647, 
1951, 1952, -12, -659, 
1952, 1953, -10, -669, 
1953, 1954, -8, -677, 
1954, 1955, -6, -683, 
1955, 1956, -4, -687, 
1956, 1957, -25, -712, 
1957, 1958, -37, -749, 
1958, 1961, -145, -894, 
1961, 1962, -28, -922, 
1962, 1963, -16, -938, 
1963, 1964, -6, -944, 
1964, 1965, -8, -952, 
1965, 1966, +11, -941, 
1966, 1967, +14, -927, 
1967, 1968, -44, -971, 
1968, 1969, -1, -972, 
1969, 1971, +7, -965, 
1971, 1972, +16, -949, 
1972, 1973, +6, -943, 
1973, 1975, +6, -937, 
1975, 1976, -38, -975, 
1976, 1977, 0, -975, 
1977, 1978, +18, -957, 
1978, 1979, +29, -928, 
1979, 1980, +15, -913, 
1980, 1981, +2, -911, 
1981, 1982, +10, -901, 
1982, 1983, +14, -887, 
1983, 1984, +6, -881, 
1984, 1985, -6, -887, 
1985, 1986, +6, -881, 
1986, 1987, -23, -904, 
1987, 1988, +24, -880, 
1988, 1989, -21, -901, 
1989, 1990, -4, -905, 
1990, 1992, -26, -931, 
1992, 1994, -33, -964, 
1994, 1995, -33, -997, 
1995, 1996, -11, -1008, 
1996, 1997, -24, -1032, 
1997, 1998, -26, -1058, 
1998, 1999, -7, -1065, 
1998, 2000, -8.9, -1066, 
2000, 2001, -25.6, -1092, 
2001, 2002, -19.0, -1111, 
2002, 2003, -61.5, -1173, 
2003, 2004, -34, -1207, 
2004, 2005, -4, -1211, 
2005, 2006, -64, -1275, 
2006, 2007, -4, -1279, 
2007, 2008, -12, -1291, 
2008, 2009, -9, -1300, 
2009, 2010, 0, -1300, 
