col1,col2,col3,col4
Glacier, Chaltwassergletscher, ,
Community, Ried-Brig, ,
Canton, VS, ,
Number, , ,
Length (1973), 1.60, ,
Area (1973), 1.95, ,
Coordinates, 650.5, 122.5,
Exposition, W, ,
  , , ,
Length variation measurements between 1891 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1891, 1892, -2, -2, 
1892, 1893, -7, -9, 
1893, 1894, -2, -11, 
1894, 1895, -15, -26, 
1895, 1896, -1, -27, 
1896, 1897, -1, -28, 
1897, 1898, +12, -16, 
1898, 1899, -2, -18, 
1899, 1900, -2, -20, 
1900, 1901, +7, -13, 
1901, 1902, +6, -7, 
1902, 1903, +6, -1, 
1903, 1904, -2, -3, 
1904, 1905, -11, -14, 
1905, 1906, -8, -22, 
1906, 1907, -3, -25, 
1907, 1908, 1, -24, 
1908, 1909, -8, -32, 
1909, 1910, -6, -38, 
1910, 1911, -10, -48, 
1911, 1912, +7, -41, 
1912, 1913, -6, -47, 
1913, 1914, 0, -47, 
1915, 1916, +4, -43, 
1917, 1918, 0, -43, 
1918, 1919, +8, -35, 
1919, 1920, -2, -37, 
1920, 1921, -6, -43, 
1921, 1922, 0, -43, 
1922, 1923, -9, -52, 
1923, 1924, -6, -58, 
1924, 1925, -9, -67, 
1926, 1927, -3, -70, 
1927, 1928, -10, -80, 
1928, 1929, -15, -95, 
1929, 1930, -6, -101, 
1930, 1931, -14, -115, 
1931, 1932, -12, -127, 
1932, 1933, -10, -137, 
1933, 1934, -7, -144, 
1934, 1936, +20, -124, 
1936, 1937, -44, -168, 
1937, 1938, -10, -178, 
1938, 1941, -126, -304, 
1941, 1942, -86, -390, 
1942, 1943, -74, -464, 
1943, 1945, -100, -564, 
1945, 1946, -4, -568, 
1946, 1948, -110, -678, 
1948, 1949, -41, -719, 
1949, 1950, -16, -735, 
1950, 1951, +8, -727, 
1951, 1953, -71, -798, 
1953, 1954, +8, -790, 
1954, 1955, 0, -790, 
1955, 1956, -44, -834, 
1956, 1957, -18, -852, 
1957, 1958, -36, -888, 
1958, 1959, -17, -905, 
1959, 1961, -24, -929, 
1961, 1962, -6, -935, 
1962, 1963, -3, -938, 
1963, 1964, -4, -942, 
1964, 1965, -6, -948, 
1965, 1967, -37, -985, 
1967, 1968, 0, -985, 
1968, 1969, -6, -991, 
1969, 1970, -10, -1001, 
1970, 1971, -16, -1017, 
1971, 1976, -11, -1028, 
1976, 1977, +62, -966, 
1977, 1978, +36, -930, 
1978, 1979, -12, -942, 
1979, 1980, +7, -935, 
1980, 1981, -9, -944, 
1981, 1982, 0, -944, 
1982, 1983, -1, -945, 
1983, 1984, +2, -943, 
1984, 1985, -4, -947, 
1985, 1986, +6, -941, 
1986, 1987, -32, -973, 
1987, 1988, -4, -977, 
1988, 1989, +2, -975, 
1989, 1990, -41, -1016, 
1990, 1991, +4, -1012, 
1991, 1992, 1, -1011, 
1992, 1994, -8, -1019, 
1994, 1995, -4, -1023, 
1995, 1996, 1, -1022, 
1996, 1997, +14, -1008, 
1997, 1998, -27, -1035, 
1998, 1999, -11, -1046, 
1999, 2000, -9.8, -1056, 
2000, 2001, +13.1, -1043, 
2001, 2002, -19.0, -1062, 
2002, 2003, -16.9, -1079, 
2003, 2004, -2.0, -1081, 
2004, 2005, -0.6, -1081, 
2005, 2006, -30.4, -1112, 
2006, 2007, -22, -1134, 
2007, 2008, +6.7, -1127, 
2008, 2009, -5.7, -1133, 
2009, 2010, +4.7, -1128, 
2010, 2011, -37, -1165, 
2011, 2012, -2.3, -1167, 
2012, 2013, +5.7, -1162, 
2013, 2014, -14.3, -1176, 
2014, 2015, -6, -1182, 
2015, 2016, -25.7, -1208, 
