col1,col2,col3,col4
Glacier, Chelengletscher, ,
Community, G�schenen, ,
Canton, UR, ,
Number, , ,
Length (1973), 2.60, ,
Area (1973), 3.15, ,
Coordinates, 674.8, 170.1,
Exposition, SE, ,
  , , ,
Length variation measurements between 1893 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1893, 1894, -10, -10, 
1894, 1895, -14, -24, 
1895, 1897, -10, -34, 
1897, 1899, -5, -39, 
1899, 1900, -28, -67, 
1900, 1901, -15, -82, 
1901, 1902, +29, -53, 
1902, 1904, -18, -71, 
1904, 1906, -15, -86, 
1906, 1907, -6, -92, 
1907, 1909, -13, -105, 
1909, 1910, -10, -115, 
1910, 1911, -18, -133, 
1911, 1912, -5, -138, 
1912, 1913, -5, -143, 
1913, 1914, -2, -145, 
1914, 1915, +38, -107, 
1916, 1917, +31, -76, 
1917, 1918, +10, -66, 
1918, 1919, +20, -46, 
1919, 1920, +22, -24, 
1920, 1921, +2, -22, 
1921, 1922, +4, -18, 
1922, 1923, -30, -48, 
1923, 1924, -9, -57, 
1924, 1925, -10, -67, 
1925, 1926, +14, -53, 
1926, 1927, -7, -60, 
1927, 1928, -18, -78, 
1928, 1929, +17, -61, 
1929, 1930, -10, -71, 
1930, 1931, -8, -79, 
1931, 1932, -18, -97, 
1932, 1933, -12, -109, 
1933, 1934, -6, -115, 
1934, 1935, -6, -121, 
1935, 1936, -2, -123, 
1936, 1937, -3, -126, 
1937, 1938, -5, -131, 
1938, 1939, -9, -140, 
1939, 1940, +2, -138, 
1940, 1941, +12, -126, 
1941, 1942, -2, -128, 
1942, 1943, -4, -132, 
1943, 1944, -12, -144, 
1944, 1945, -14, -158, 
1945, 1946, -25, -183, 
1946, 1947, -32, -215, 
1947, 1948, -18, -233, 
1948, 1949, -23, -256, 
1949, 1950, -8, -264, 
1950, 1951, -26, -290, 
1951, 1952, -33, -323, 
1952, 1953, -21, -344, 
1953, 1954, -38, -382, 
1954, 1955, +4, -378, 
1955, 1956, -14, -392, 
1956, 1957, -22, -414, 
1957, 1958, -14, -428, 
1958, 1959, -23, -451, 
1959, 1960, -13, -464, 
1960, 1961, -22, -486, 
1961, 1963, -150, -636, 
1963, 1964, -21, -657, 
1964, 1965, -31, -688, 
1965, 1966, +21, -667, 
1966, 1967, -36, -703, 
1967, 1968, 0, -703, 
1968, 1969, +17, -686, 
1969, 1970, +9, -677, 
1970, 1971, +10, -667, 
1971, 1972, +9, -658, 
1972, 1973, +13, -645, 
1973, 1974, +10, -635, 
1974, 1975, +16, -619, 
1975, 1976, +11, -608, 
1976, 1977, +5, -603, 
1977, 1978, +9, -594, 
1978, 1979, +19, -575, 
1979, 1980, +24, -551, 
1980, 1982, +42, -509, 
1982, 1983, +12, -497, 
1983, 1984, +18, -479, 
1984, 1985, +5, -474, 
1985, 1986, +20, -454, 
1986, 1987, +10, -444, 
1987, 1988, -2, -446, 
1988, 1989, -1, -447, 
1989, 1990, -6, -453, 
1990, 1991, -14, -467, 
1991, 1992, -12, -479, 
1992, 1994, -41, -520, 
1994, 1995, -29, -549, 
1995, 1996, -24, -573, 
1996, 1997, -29, -602, 
1997, 1998, -42, -644, 
1998, 1999, -19, -663, 
1999, 2000, -33.2, -696, 
2000, 2001, -25.8, -722, 
2001, 2002, -23.4, -745, 
2002, 2003, -24.1, -770, 
2003, 2004, -20.5, -790, 
2004, 2005, -21.3, -811, 
2005, 2006, -17.8, -829, 
2006, 2007, -26.6, -856, 
2007, 2008, -36.6, -892, 
2008, 2009, -24.2, -916, 
2009, 2010, -30.7, -947, 
2010, 2011, -28.3, -976, 
2011, 2012, -57.6, -1033, 
2012, 2013, -49.9, -1083, 
2013, 2014, -302.6, -1386, 
2014, 2015, -31.1, -1417, 
2015, 2016, -9.9, -1427, 
