col1,col2,col3,col4
Glacier, Chessjengletscher, ,
Community, Saas Almagell, ,
Canton, VS, ,
Number, , ,
Length (1973), 0.90, ,
Area (1973), 0.58, ,
Coordinates, 637.7, 101.6,
Exposition, NE, ,
  , , ,
Length variation measurements between 1928 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1928, 1931, -10, -10, 
1931, 1932, -4, -14, 
1932, 1933, -4, -18, 
1945, 1946, 0, -18, 
1946, 1947, -5, -23, 
1947, 1948, -2, -25, 
1948, 1949, -8, -33, 
1949, 1950, -10, -43, 
1950, 1951, -5, -48, 
1951, 1952, -9, -57, 
1952, 1953, -30, -87, 
1953, 1954, -1, -88, 
1954, 1955, -10, -98, 
1955, 1956, 0, -98, 
1956, 1957, -2, -100, 
1957, 1958, -12, -112, 
1958, 1959, -7, -119, 
1959, 1961, -6, -125, 
1961, 1962, -9, -134, 
1962, 1963, -4, -138, 
1963, 1964, -16, -154, 
1964, 1966, +10, -144, 
1966, 1967, -4, -148, 
1967, 1968, 0, -148, 
1968, 1969, 0, -148, 
1969, 1970, -6, -154, 
1970, 1971, -2, -156, 
1971, 1973, -13, -169, 
1973, 1975, +5, -164, 
1975, 1976, -12, -176, 
1976, 1980, +72, -104, 
1980, 1981, 0, -104, 
1981, 1982, -59, -163, 
1982, 1983, -1, -164, 
1983, 1984, 0, -164, 
1984, 1985, -5, -169, 
1985, 1986, -9, -178, 
1986, 1987, -21, -199, 
1987, 1988, -7, -206, 
1988, 1989, -5, -211, 
1989, 1990, -11, -222, 
1990, 1991, -28, -250, 
1991, 1992, +12, -238, 
1992, 1999, -16, -254, 
1999, 2000, -13, -267, 
2000, 2001, +1.5, -266, 
2001, 2002, -3.5, -269, 
2002, 2003, -15.5, -285, 
2003, 2004, -15, -300, 
2004, 2005, -13, -313, 
2005, 2006, -16.5, -329, 
2006, 2007, -3, -332, 
2007, 2008, -12, -344, 
2008, 2009, -7.4, -351, 
2009, 2010, -5.1, -357, 
2010, 2011, -2.6, -359, 
2011, 2012, -3.8, -363, 
2012, 2013, +0.1, -363, 
2013, 2014, -3.5, -366, 
2014, 2015, -3.3, -370, 
2015, 2016, -3.4, -373, 
