col1,col2,col3,col4
Glacier, Wildstrubelgletscher, ,
Community, Leukerbad, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.65, ,
Area (1973), 4.81, ,
Coordinates, 607.5, 138.7,
Exposition, E, ,
  , , ,
Length variation measurements between 1917 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1917, 1919, -11, -11, 
1919, 1920, -3, -14, 
1960, 1961, -6, -20, 
1961, 1962, -2, -22, 
1962, 1963, -57, -79, 
1963, 1964, -6, -85, 
1964, 1965, -4, -89, 
1965, 1966, 0, -89, 
1966, 1967, -26, -115, 
1967, 1968, -8, -123, 
1968, 1969, -13, -136, 
1969, 1970, -13, -149, 
1970, 1971, -12, -161, 
1971, 1972, -5, -166, 
1972, 1973, -7, -173, 
1973, 1974, -2, -175, 
1974, 1975, +4, -171, 
1975, 1976, -16, -187, 
1976, 1977, +2, -185, 
1977, 1978, +4, -181, 
1978, 1979, -9, -190, 
1979, 1980, +3, -187, 
1980, 1981, +6, -181, 
1981, 1982, -5, -186, 
1982, 1983, 0, -186, 
1983, 1984, +4, -182, 
1984, 1985, -1, -183, 
1985, 1986, -10, -193, 
1986, 1987, 0, -193, 
1987, 1988, -5, -198, 
1988, 1989, -6, -204, 
1989, 1990, -6, -210, 
1990, 1991, -10, -220, 
1991, 1992, -8, -228, 
1992, 1993, -6, -234, 
1993, 1994, -6, -240, 
1994, 1995, -5, -245, 
1995, 1996, -30, -275, 
1996, 1997, -9, -284, 
1997, 1998, -16, -300, 
1998, 1999, -3, -303, 
1999, 2000, -11.7, -315, 
2000, 2001, -1.5, -316, 
2001, 2002, -9.4, -326, 
2002, 2003, -11.5, -337, 
2003, 2004, -14.6, -352, 
2004, 2005, -13.7, -365, 
2005, 2006, -9.0, -374, 
2006, 2007, -41.1, -416, 
2007, 2008, -14.8, -430, 
2008, 2009, -11.7, -442, 
2009, 2010, -12, -454, 
2010, 2011, -20, -474, 
2011, 2012, -13, -487, 
2012, 2013, -12, -499, 
2013, 2014, -12, -511, 
2014, 2015, -16, -527, 
2015, 2016, -8, -535, 
