col1,col2,col3,col4
Glacier, Langgletscher, ,
Community, Blatten, ,
Canton, VS, ,
Number, , ,
Length (1973), 6.90, ,
Area (1973), 10.09, ,
Coordinates, 638.0, 145.5,
Exposition, SW, ,
  , , ,
Length variation measurements between 1888 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1888, 1889, 0, 0, 
1889, 1890, -8, -8, 
1892, 1893, +12, 4, 
1893, 1894, +8, 12, 
1894, 1895, +7, 19, 
1895, 1896, 1, 20, 
1896, 1897, -1, 19, 
1897, 1898, -10, 9, 
1898, 1899, -1, 8, 
1899, 1900, 0, 8, 
1900, 1901, 0, 8, 
1901, 1902, 0, 8, 
1902, 1903, -7, 1, 
1903, 1904, -10, -9, 
1904, 1906, -27, -36, 
1906, 1907, -11, -47, 
1907, 1908, -1, -48, 
1908, 1909, -16, -64, 
1909, 1910, 0, -64, 
1910, 1911, -14, -78, 
1911, 1912, -5, -83, 
1912, 1913, -2, -85, 
1913, 1914, 0, -85, 
1914, 1916, +3, -82, 
1916, 1917, -2, -84, 
1917, 1918, +61, -23, 
1918, 1919, +67, 44, 
1919, 1920, +83, 127, 
1920, 1921, +51, 178, 
1921, 1922, +27, 205, 
1922, 1923, +15, 220, 
1923, 1924, +4, 224, 
1924, 1925, -8, 216, 
1925, 1926, -7, 209, 
1926, 1927, +27, 236, 
1927, 1928, +4, 240, 
1928, 1929, -2, 238, 
1929, 1930, +6, 244, 
1930, 1931, +5, 249, 
1931, 1932, 0, 249, 
1932, 1933, -7, 242, 
1933, 1934, -32, 210, 
1934, 1935, -6, 204, 
1935, 1936, -22, 182, 
1936, 1937, -4, 178, 
1937, 1938, -8, 170, 
1938, 1939, -4, 166, 
1939, 1940, -10, 156, 
1940, 1941, -14, 142, 
1941, 1942, -26, 116, 
1942, 1943, -40, 76, 
1943, 1944, -16, 60, 
1944, 1945, -26, 34, 
1945, 1946, -6, 28, 
1946, 1947, -12, 16, 
1947, 1949, -12, 4, 
1949, 1950, -22, -18, 
1950, 1951, -14, -32, 
1951, 1952, -8, -40, 
1952, 1953, -10, -50, 
1953, 1954, -6, -56, 
1954, 1955, -6, -62, 
1955, 1956, -12, -74, 
1956, 1957, -5, -79, 
1957, 1958, -12, -91, 
1958, 1959, -14, -105, 
1959, 1960, -16, -121, 
1960, 1961, -8, -129, 
1961, 1962, -35, -164, 
1962, 1968, -81, -245, 
1968, 1969, -14, -259, 
1969, 1970, -17, -276, 
1970, 1971, -22, -298, 
1971, 1973, -32, -330, 
1973, 1975, -38, -368, 
1975, 1976, -17, -385, 
1976, 1977, -33, -418, 
1977, 1978, +26, -392, 
1978, 1979, -187, -579, 
1979, 1980, +7, -572, 
1980, 1981, +19, -553, 
1981, 1982, +23, -530, 
1982, 1983, +16, -514, 
1983, 1984, +13, -501, 
1984, 1985, +23, -478, 
1985, 1986, +18, -460, 
1986, 1987, +9, -451, 
1987, 1988, +31, -420, 
1988, 1989, +13, -407, 
1989, 1990, 0, -407, 
1990, 1991, -7, -414, 
1991, 1992, -3, -417, 
1992, 1993, -7, -424, 
1993, 1994, -1, -425, 
1994, 1995, -8, -433, 
1995, 1996, -15, -448, 
1996, 1997, -35, -483, 
1997, 1998, -2, -485, 
1998, 1999, -18, -503, 
1999, 2000, -31, -534, 
2000, 2001, -5.3, -539, 
2001, 2002, -23.7, -563, 
2002, 2003, -16.3, -579, 
2003, 2004, -16, -595, 
2004, 2005, -24, -619, 
2005, 2006, -16.5, -636, 
2006, 2007, -19, -655, 
2007, 2008, -19, -674, 
2008, 2009, -12.5, -686, 
2009, 2010, -28, -714, 
2010, 2011, -22, -736, 
2011, 2012, -12, -748, 
2012, 2013, -19, -767, 
2013, 2014, -14, -781, 
2014, 2015, -16, -797, 
2015, 2016, 17, -780, 
