col1,col2,col3,col4
Glacier, Glatscher da Lavaz, ,
Community, Medel, ,
Canton, GR, ,
Number, , ,
Length (1973), 2.10, ,
Area (1973), 1.83, ,
Coordinates, 714.5, 165.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1882 and 2015, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1882, 1886, -28, -28, 
1899, 1900, -11, -39, 
1900, 1901, -15, -54, 
1901, 1902, -11, -65, 
1902, 1904, -42, -107, 
1904, 1906, -32, -139, 
1906, 1907, -16, -155, 
1907, 1908, -16, -171, 
1908, 1909, -6, -177, 
1909, 1910, -19, -196, 
1910, 1911, -20, -216, 
1911, 1912, -12, -228, 
1912, 1913, -15, -243, 
1913, 1914, +20, -223, 
1914, 1916, -2, -225, 
1916, 1917, -14, -239, 
1917, 1918, -6, -245, 
1918, 1919, -19, -264, 
1919, 1920, -12, -276, 
1920, 1921, -18, -294, 
1921, 1922, -7, -301, 
1922, 1923, -8, -309, 
1923, 1924, -6, -315, 
1924, 1925, -8, -323, 
1925, 1926, +5, -318, 
1926, 1927, -6, -324, 
1927, 1928, -10, -334, 
1928, 1929, -16, -350, 
1929, 1930, -4, -354, 
1930, 1931, -4, -358, 
1931, 1932, -8, -366, 
1932, 1933, -2, -368, 
1933, 1934, -16, -384, 
1934, 1935, -16, -400, 
1935, 1936, -7, -407, 
1936, 1937, -7, -414, 
1937, 1938, -7, -421, 
1938, 1940, -22, -443, 
1940, 1941, -18, -461, 
1941, 1942, -14, -475, 
1942, 1943, -24, -499, 
1943, 1944, -5, -504, 
1944, 1946, -12, -516, 
1946, 1947, -22, -538, 
1947, 1948, 0, -538, 
1948, 1949, -18, -556, 
1949, 1950, -12, -568, 
1950, 1951, +12, -556, 
1951, 1952, -4, -560, 
1952, 1953, -24, -584, 
1953, 1954, -22, -606, 
1954, 1955, +15, -591, 
1955, 1957, -28, -619, 
1957, 1958, -25, -644, 
1958, 1959, -3, -647, 
1959, 1960, -20, -667, 
1960, 1961, +8, -659, 
1961, 1962, -18, -677, 
1962, 1963, -5, -682, 
1963, 1964, +53, -629, 
1964, 1965, +11, -618, 
1965, 1966, +2, -616, 
1966, 1967, -21, -637, 
1967, 1968, 0, -637, 
1968, 1969, -37, -674, 
1969, 1970, -10, -684, 
1970, 1971, -6, -690, 
1971, 1975, +114, -576, 
1975, 1977, -109, -685, 
1977, 1978, +92, -593, 
1978, 1979, -54, -647, 
1979, 1980, -23, -670, 
1980, 1981, -22, -692, 
1981, 1982, -11, -703, 
1982, 1983, -30, -733, 
1983, 1985, +33.2, -700, 
1985, 1989, -41.7, -742, 
1989, 1993, -386.5, -1128, 
1993, 2004, -354, -1482, 
2004, 2005, -7.2, -1489, 
2006, 2008, -18, -1507, 
2008, 2010, -14.4, -1522, 
2010, 2011, -25, -1547, 
2011, 2012, +1.7, -1545, 
2012, 2013, -15.3, -1560, 
2013, 2014, -3.4, -1564, 
2014, 2015, -16.2, -1580, 
