col1,col2,col3,col4
Glacier, L�ntagletscher, ,
Community, Vals, ,
Canton, GR, ,
Number, , ,
Length (1973), 2.60, ,
Area (1973), 1.36, ,
Coordinates, 722.7, 151.7,
Exposition, N, ,
  , , ,
Length variation measurements between 1895 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1895, 1897, -8, -8, 
1897, 1898, -9, -17, 
1898, 1899, -12, -29, 
1899, 1900, -10, -39, 
1900, 1901, -19, -58, 
1901, 1902, -10, -68, 
1902, 1904, -26, -94, 
1904, 1906, -21, -115, 
1906, 1907, +3, -112, 
1907, 1908, -13, -125, 
1909, 1910, +7, -118, 
1910, 1911, -13, -131, 
1912, 1913, +3, -128, 
1913, 1914, +12, -116, 
1914, 1915, +11, -105, 
1915, 1916, +22, -83, 
1916, 1917, +8, -75, 
1917, 1919, +297, 222, 
1919, 1920, -180, 42, 
1920, 1921, -299, -257, 
1921, 1925, -324, -581, 
1925, 1926, -10, -591, 
1927, 1928, -15, -606, 
1928, 1929, +15, -591, 
1929, 1930, 0, -591, 
1930, 1931, -30, -621, 
1931, 1932, -6, -627, 
1932, 1933, -2, -629, 
1933, 1935, -10, -639, 
1935, 1936, -2, -641, 
1936, 1937, +6, -635, 
1937, 1940, -4, -639, 
1940, 1941, -2, -641, 
1941, 1942, -10, -651, 
1942, 1943, -8, -659, 
1943, 1944, -26, -685, 
1944, 1945, -9, -694, 
1945, 1946, -4, -698, 
1946, 1947, -19, -717, 
1947, 1948, -7, -724, 
1948, 1949, -5, -729, 
1949, 1950, -22, -751, 
1950, 1951, -4, -755, 
1951, 1953, -64, -819, 
1953, 1954, -10, -829, 
1954, 1955, -3, -832, 
1955, 1956, -8, -840, 
1956, 1957, -56, -896, 
1957, 1958, -8, -904, 
1958, 1959, -8, -912, 
1959, 1961, -52, -964, 
1961, 1962, -18, -982, 
1962, 1963, -10, -992, 
1963, 1964, -17, -1009, 
1964, 1965, 0, -1009, 
1965, 1967, -24, -1033, 
1967, 1968, -48, -1081, 
1968, 1969, -7, -1088, 
1969, 1970, -24, -1112, 
1970, 1971, -7, -1119, 
1971, 1972, -2, -1121, 
1972, 1975, -12, -1133, 
1975, 1976, -7, -1140, 
1976, 1977, -12, -1152, 
1977, 1978, -3, -1155, 
1978, 1979, -2, -1157, 
1979, 1980, -1, -1158, 
1980, 1981, -12, -1170, 
1981, 1982, -11, -1181, 
1982, 1983, -17, -1198, 
1983, 1984, -2, -1200, 
1984, 1985, -10, -1210, 
1985, 1986, -15, -1225, 
1986, 1987, -24, -1249, 
1987, 1988, -11, -1260, 
1988, 1989, -6, -1266, 
1989, 1990, -23, -1289, 
1990, 1992, -92, -1381, 
1992, 1994, -11, -1392, 
1994, 1995, -11, -1403, 
1995, 1996, -20, -1423, 
1996, 1997, -22, -1445, 
1997, 1998, -18, -1463, 
1998, 1999, -56, -1519, 
1999, 2000, -17.3, -1536, 
2000, 2001, -25, -1561, 
2001, 2002, -19.4, -1581, 
2002, 2003, -9.8, -1591, 
2003, 2004, -37.1, -1628, 
2004, 2005, -21, -1649, 
2005, 2006, -28.8, -1677, 
2006, 2007, -36.1, -1713, 
2007, 2008, -9.5, -1723, 
2008, 2009, -13.3, -1736, 
2009, 2010, -14.7, -1751, 
2010, 2011, -33.4, -1784, 
2011, 2012, -33.7, -1818, 
2012, 2013, -28.1, -1846, 
2013, 2014, -33.5, -1880, 
2014, 2016, -786.7, -2666, 
