col1,col2,col3,col4
Glacier, Limmernfirn, ,
Community, Linthal, ,
Canton, GL, ,
Number, , ,
Length (1973), 3.10, ,
Area (1973), 2.09, ,
Coordinates, 718.0, 186.0,
Exposition, E, ,
  , , ,
Length variation measurements between 1945 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1945, 1947, -11, -11, 
1947, 1959, -78, -89, 
1959, 1964, -48, -137, 
1964, 1965, -1, -138, 
1965, 1966, -2, -140, 
1966, 1967, -2, -142, 
1967, 1968, 0, -142, 
1968, 1969, -8, -150, 
1969, 1970, 0, -150, 
1970, 1971, -11, -161, 
1971, 1972, -6, -167, 
1972, 1973, -7, -174, 
1973, 1974, -2, -176, 
1974, 1975, +9, -167, 
1975, 1976, -11, -178, 
1976, 1977, 0, -178, 
1977, 1978, +4, -174, 
1978, 1979, -1, -175, 
1979, 1980, +2, -173, 
1980, 1981, +4, -169, 
1981, 1982, -4, -173, 
1982, 1983, +3, -170, 
1983, 1984, +7, -163, 
1984, 1985, 1, -162, 
1985, 1986, +3, -159, 
1986, 1987, -1, -160, 
1987, 1988, 0, -160, 
1988, 1989, +5, -155, 
1989, 1990, 0, -155, 
1990, 1991, -5, -160, 
1991, 1992, -2, -162, 
1992, 1994, -6, -168, 
1994, 1995, -2, -170, 
1995, 1996, -5, -175, 
1996, 1997, 0, -175, 
1997, 2001, -9.5, -185, 
2001, 2002, -6.2, -191, 
2002, 2003, -5.5, -196, 
2003, 2004, -1.7, -198, 
2004, 2005, -3.4, -201, 
2005, 2006, -2.1, -203, 
2006, 2007, -10.1, -214, 
2007, 2008, -5.8, -219, 
2008, 2009, -4, -223, 
2009, 2010, -2.0, -225, 
2010, 2011, -3.3, -229, 
2011, 2012, -10.7, -239, 
2012, 2013, -2.2, -242, 
2013, 2014, -20.9, -262, 
2014, 2015, -10.3, -273, 
2015, 2016, -2.9, -276, 
