col1,col2,col3,col4
Glacier, Vadret da Lischana, ,
Community, Scuol, ,
Canton, GR, ,
Number, , ,
Length (1973), 0.90, ,
Area (1973), 0.21, ,
Coordinates, 822.4, 182.1,
Exposition, NW, ,
  , , ,
Length variation measurements between 1895 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1895, 1897, -5, -5, 
1897, 1898, 1, -4, 
1899, 1900, -12, -16, 
1900, 1901, -11, -27, 
1901, 1902, -11, -38, 
1902, 1903, -6, -44, 
1903, 1904, -9, -53, 
1904, 1905, -10, -63, 
1905, 1906, -9, -72, 
1906, 1908, -3, -75, 
1908, 1909, -2, -77, 
1909, 1910, +10, -67, 
1910, 1911, -24, -91, 
1915, 1916, +2, -89, 
1916, 1917, +3, -86, 
1917, 1918, +16, -70, 
1918, 1919, +10, -60, 
1919, 1920, +3, -57, 
1920, 1921, -16, -73, 
1921, 1923, -7, -80, 
1923, 1924, -12, -92, 
1924, 1925, +2, -90, 
1925, 1926, +28, -62, 
1926, 1927, -26, -88, 
1927, 1928, -6, -94, 
1928, 1929, -12, -106, 
1929, 1930, -10, -116, 
1930, 1932, -11, -127, 
1932, 1933, -4, -131, 
1933, 1934, 1, -130, 
1934, 1935, 0, -130, 
1935, 1940, -18, -148, 
1940, 1942, -16, -164, 
1942, 1945, -6, -170, 
1945, 1946, 0, -170, 
1946, 1947, -18, -188, 
1947, 1949, -15, -203, 
1949, 1950, -10, -213, 
1950, 1951, 0, -213, 
1951, 1953, -14, -227, 
1953, 1955, 0, -227, 
1955, 1956, 0, -227, 
1956, 1957, +14, -213, 
1957, 1958, -30, -243, 
1958, 1959, -10, -253, 
1959, 1961, +17, -236, 
1961, 1962, -18, -254, 
1962, 1964, -15, -269, 
1964, 1966, +55, -214, 
1966, 1967, -7, -221, 
1967, 1968, +8, -213, 
1968, 1969, -20, -233, 
1969, 1970, -3, -236, 
1970, 1971, -3, -239, 
1971, 1972, -2, -241, 
1972, 1973, -3, -244, 
1973, 1975, -12, -256, 
1975, 1979, +27, -229, 
1979, 1980, -2, -231, 
1980, 1981, +6, -225, 
1981, 1982, -25, -250, 
1982, 1983, -1, -251, 
1983, 1984, -5, -256, 
1984, 1985, -3, -259, 
1985, 1986, +2, -257, 
1986, 1987, -8, -265, 
1987, 1988, -6, -271, 
1988, 1989, +9, -262, 
1989, 1990, -3, -265, 
1990, 1991, -5, -270, 
1991, 1992, -7, -277, 
1992, 1993, -2, -279, 
1993, 1994, -5, -284, 
1994, 1995, -6, -290, 
1995, 1997, -2, -292, 
1997, 1999, -9, -301, 
1999, 2001, -1.7, -303, 
2001, 2002, -27.7, -330, 
2002, 2003, -52.2, -383, 
2003, 2004, -4.2, -387, 
2004, 2005, -3.9, -391, 
2005, 2006, -4.8, -396, 
2006, 2008, -7.2, -403, 
2008, 2009, -2.5, -405, 
2009, 2011, -7.9, -413, 
2011, 2012, -8.5, -422, 
2012, 2013, 1.5, -420, 
2013, 2015, -128.4, -549, 
2015, 2016, 0.5, -548, 
