col1,col2,col3,col4
Glacier, Glacier des Martinets, ,
Community, Bex, ,
Canton, VD, ,
Number, , ,
Length (1973), 1.90, ,
Area (1973), 0.58, ,
Coordinates, 572.3, 116.7,
Exposition, NE, ,
  , , ,
Length variation measurements between 1894 and 1975, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1894, 1895, -4, -4, 
1895, 1896, 0, -4, 
1896, 1897, 0, -4, 
1897, 1898, 0, -4, 
1898, 1899, -1, -5, 
1899, 1900, 0, -5, 
1900, 1901, -1, -6, 
1901, 1902, 1, -5, 
1902, 1903, 0, -5, 
1903, 1904, 1, -4, 
1904, 1905, 0, -4, 
1905, 1906, -2, -6, 
1906, 1907, 1, -5, 
1907, 1908, 0, -5, 
1908, 1909, -1, -6, 
1909, 1910, 1, -5, 
1910, 1911, -10, -15, 
1911, 1912, 0, -15, 
1912, 1913, 1, -14, 
1913, 1915, +16, 2, 
1915, 1916, +8, 10, 
1916, 1917, +4, 14, 
1917, 1918, +10, 24, 
1918, 1919, +200, 224, 
1919, 1920, -15, 209, 
1920, 1921, -10, 199, 
1921, 1923, +25, 224, 
1923, 1924, +8, 232, 
1924, 1925, 0, 232, 
1925, 1926, +2, 234, 
1926, 1927, -1, 233, 
1928, 1929, -12, 221, 
1929, 1930, -3, 218, 
1930, 1931, +4, 222, 
1931, 1932, +5, 227, 
1932, 1933, +4, 231, 
1933, 1935, -8, 223, 
1935, 1937, +8, 231, 
1937, 1938, -2, 229, 
1938, 1939, +2, 231, 
1939, 1941, -6, 225, 
1941, 1943, 0, 225, 
1943, 1946, -46, 179, 
1946, 1947, -13, 166, 
1948, 1949, +6, 172, 
1949, 1950, -10, 162, 
1950, 1951, -10, 152, 
1951, 1953, -12, 140, 
1953, 1954, -2, 138, 
1954, 1955, +2, 140, 
1955, 1957, -8, 132, 
1957, 1958, 1, 133, 
1958, 1959, -4, 129, 
1959, 1960, -19, 110, 
1960, 1961, -14, 96, 
1961, 1962, 0, 96, 
1962, 1963, 0, 96, 
1973, 1974, 0, 96, 
1974, 1975, 0, 96, 
