col1,col2,col3,col4
Glacier, Mittelaletschgletscher, ,
Community, Naters, ,
Canton, VS, ,
Number, , ,
Length (1973), 5.40, ,
Area (1973), 8.31, ,
Coordinates, 644.5, 145.5,
Exposition, SE, ,
  , , ,
Length variation measurements between 1970 and 1997, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1970, 1971, -58, -58, 
1971, 1972, -41, -99, 
1972, 1973, -6, -105, 
1973, 1974, -11, -116, 
1974, 1975, -5, -121, 
1975, 1976, -68, -189, 
1976, 1977, -10, -199, 
1977, 1978, +4, -195, 
1978, 1979, -13, -208, 
1979, 1980, -5, -213, 
1980, 1981, -20, -233, 
1981, 1982, -11, -244, 
1982, 1983, -13, -257, 
1983, 1985, -14, -271, 
1985, 1986, -22, -293, 
1986, 1990, -86, -379, 
1990, 1991, -16, -395, 
1991, 1992, -8, -403, 
1992, 1997, -29, -432, 
