col1,col2,col3,col4
Glacier, Glacier de Moiry, ,
Community, Grimentz, ,
Canton, VS, ,
Number, , ,
Length (1973), 5.35, ,
Area (1973), 5.75, ,
Coordinates, 612.5, 102.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1891 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1891, 1892, -5, -5, 
1892, 1893, -6, -11, 
1893, 1894, -7, -18, 
1894, 1895, -8, -26, 
1895, 1896, -4, -30, 
1896, 1897, +3, -27, 
1897, 1898, +4, -23, 
1898, 1899, -4, -27, 
1899, 1900, -10, -37, 
1900, 1901, -10, -47, 
1924, 1925, -4, -51, 
1925, 1926, -6, -57, 
1926, 1927, -26, -83, 
1927, 1928, +12, -71, 
1928, 1929, 0, -71, 
1929, 1931, -14, -85, 
1931, 1932, -5, -90, 
1932, 1933, -22, -112, 
1933, 1934, -16, -128, 
1934, 1935, -40, -168, 
1935, 1936, -12, -180, 
1936, 1937, -6, -186, 
1937, 1938, -23, -209, 
1938, 1939, +14, -195, 
1939, 1940, -6, -201, 
1940, 1941, -6, -207, 
1941, 1942, -16, -223, 
1942, 1943, -1, -224, 
1943, 1944, -2, -226, 
1944, 1945, -16, -242, 
1945, 1946, -8, -250, 
1946, 1947, -20, -270, 
1947, 1948, -2, -272, 
1948, 1949, -20, -292, 
1949, 1950, -3, -295, 
1950, 1951, -4, -299, 
1951, 1952, 0, -299, 
1952, 1953, -6, -305, 
1953, 1954, -2, -307, 
1954, 1955, 0, -307, 
1955, 1956, -17, -324, 
1956, 1957, -6, -330, 
1957, 1958, -14, -344, 
1958, 1959, -6, -350, 
1959, 1960, -7, -357, 
1960, 1961, -8, -365, 
1961, 1962, -14, -379, 
1962, 1963, -30, -409, 
1963, 1964, -15, -424, 
1964, 1965, -38, -462, 
1965, 1966, -22, -484, 
1966, 1967, -11, -495, 
1967, 1968, -10, -505, 
1968, 1969, -17, -522, 
1969, 1970, -3, -525, 
1970, 1971, -4, -529, 
1971, 1972, -4, -533, 
1972, 1973, -4, -537, 
1973, 1975, +2, -535, 
1975, 1976, -6, -541, 
1976, 1977, 0, -541, 
1977, 1978, -2, -543, 
1978, 1979, -6, -549, 
1979, 1980, +23, -526, 
1980, 1981, +9, -517, 
1981, 1982, +17, -500, 
1982, 1983, -7, -507, 
1983, 1984, +9, -498, 
1984, 1985, +3, -495, 
1985, 1986, -1, -496, 
1986, 1987, -2, -498, 
1987, 1988, -7, -505, 
1988, 1989, -1, -506, 
1989, 1990, -3, -509, 
1990, 1991, -6, -515, 
1991, 1992, -4, -519, 
1992, 1993, -2, -521, 
1993, 1994, -1, -522, 
1994, 1995, 0, -522, 
1995, 1996, -1, -523, 
1996, 1997, -5, -528, 
1997, 1998, -14, -542, 
1998, 1999, -12, -554, 
1999, 2000, -5, -559, 
2000, 2001, -6, -565,
2001, 2002, -18.5, -584, 
2002, 2003, -21, -605, 
2003, 2004, +5, -600, 
2004, 2005, -24.5, -624, 
2005, 2006, -9, -633, 
2006, 2007, -18, -651, 
2007, 2008, -15.5, -667, 
2008, 2010, -32.5, -699, 
2010, 2011, -18, -717, 
2011, 2012, -14, -731, 
2012, 2013, -17.1, -748, 
2013, 2014, -5.5, -754, 
2014, 2015, -30, -784, 
2015, 2016, -28, -812, 
