col1,col2,col3,col4
Glacier, Glacier du Mont Durand, ,
Community, Bagnes, ,
Canton, VS, ,
Number, , ,
Length (1973), 5.90, ,
Area (1973), 7.63, ,
Coordinates, 592.0, 85.7,
Exposition, E, ,
  , , ,
Length variation measurements between 1890 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1890, 1891, -5, -5, 
1892, 1893, -18, -23, 
1893, 1894, -3, -26, 
1894, 1895, -5, -31, 
1895, 1896, -27, -58, 
1896, 1897, -7, -65, 
1897, 1898, -10, -75, 
1898, 1899, -15, -90, 
1899, 1900, -5, -95, 
1900, 1901, -13, -108, 
1927, 1932, -8, -116, 
1954, 1955, -12, -128, 
1955, 1957, -30, -158, 
1957, 1958, -53, -211, 
1958, 1960, -16, -227, 
1960, 1961, -5, -232, 
1961, 1962, -4, -236, 
1962, 1963, -12, -248, 
1963, 1964, -22, -270, 
1964, 1965, -7, -277, 
1965, 1966, -2, -279, 
1966, 1967, 0, -279, 
1967, 1968, -18, -297, 
1968, 1969, -107, -404, 
1969, 1970, -2, -406, 
1970, 1971, -8, -414, 
1971, 1972, -21, -435, 
1972, 1973, 0, -435, 
1973, 1974, 0, -435, 
1974, 1975, -10, -445, 
1975, 1976, -9, -454, 
1976, 1977, -5, -459, 
1977, 1978, -13, -472, 
1978, 1979, -9, -481, 
1979, 1980, -14, -495, 
1980, 1982, -20, -515, 
1982, 1983, -6, -521, 
1983, 1985, -15, -536, 
1985, 1986, -6, -542, 
1986, 1987, -5, -547, 
1987, 1988, -28, -575, 
1988, 1989, -24, -599, 
1989, 1990, -15, -614, 
1990, 1991, +23, -591, 
1991, 1992, +6, -585, 
1992, 1993, +20, -565, 
1993, 1994, +8, -557, 
1994, 1995, +8, -549, 
1995, 1996, 0, -549, 
1996, 1997, -3, -552, 
1997, 1998, +7, -545, 
1998, 1999, -6, -551, 
1999, 2000, +1.4, -550, 
2000, 2001, -2.2, -552, 
2001, 2002, +6.2, -546, 
2002, 2003, -26.1, -572, 
2003, 2004, +1.4, -570, 
2004, 2005, -36.4, -607, 
2005, 2006, -19.6, -626, 
2006, 2007, -17, -643, 
2007, 2009, -53, -696, 
2009, 2010, -24, -720, 
2010, 2011, +23, -697, 
2011, 2012, -37, -734, 
2012, 2013, -85, -819, 
2014, 2015, -5, -824, 
2015, 2016, -27, -851, 
