col1,col2,col3,col4
Glacier, Glacier de Tortin, ,
Community, Nendaz, ,
Canton, VS, ,
Number, , ,
Length (1973), 2.10, ,
Area (1973), 1.12, ,
Coordinates, 589.8, 103.7,
Exposition, N, ,
  , , ,
Length variation measurements between 1892 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1892, 1893, -18, -18, 
1893, 1894, -16, -34, 
1894, 1895, 0, -34, 
1895, 1896, -10, -44, 
1896, 1897, 0, -44, 
1897, 1898, -4, -48, 
1898, 1899, -12, -60, 
1899, 1900, 0, -60, 
1900, 1901, 0, -60, 
1901, 1902, -16, -76, 
1906, 1907, -26, -102, 
1907, 1908, -4, -106, 
1908, 1909, -22, -128, 
1909, 1910, -2, -130, 
1910, 1911, -8, -138, 
1911, 1912, 0, -138, 
1912, 1913, 0, -138, 
1913, 1914, 0, -138, 
1914, 1915, 0, -138, 
1915, 1916, 0, -138, 
1916, 1917, -4, -142, 
1917, 1918, 0, -142, 
1918, 1919, 0, -142, 
1919, 1920, 0, -142, 
1920, 1921, -8, -150, 
1921, 1922, 0, -150, 
1922, 1923, 0, -150, 
1923, 1924, 0, -150, 
1924, 1925, -4, -154, 
1925, 1926, +4, -150, 
1926, 1927, -3, -153, 
1927, 1928, -6, -159, 
1928, 1929, -4, -163, 
1929, 1930, 0, -163, 
1930, 1931, -2, -165, 
1931, 1932, -2, -167, 
1932, 1933, -5, -172, 
1933, 1934, -8, -180, 
1934, 1935, -4, -184, 
1935, 1936, -2, -186, 
1936, 1938, -5, -191, 
1938, 1940, -4, -195, 
1940, 1941, -1, -196, 
1941, 1942, -10, -206, 
1942, 1943, -12, -218, 
1943, 1944, -11, -229, 
1944, 1945, -12, -241, 
1945, 1946, -1, -242, 
1946, 1947, -13, -255, 
1947, 1948, 0, -255, 
1948, 1949, -14, -269, 
1949, 1950, -6, -275, 
1950, 1951, -3, -278, 
1951, 1952, -8, -286, 
1952, 1953, -4, -290, 
1953, 1954, -2, -292, 
1954, 1955, +3, -289, 
1955, 1956, -10, -299, 
1956, 1957, -2, -301, 
1957, 1958, -6, -307, 
1958, 1959, -10, -317, 
1959, 1960, +4, -313, 
1960, 1961, -8, -321, 
1961, 1962, -7, -328, 
1962, 1963, -66, -394, 
1963, 1964, 0, -394, 
1964, 1965, -11, -405, 
1965, 1966, 0, -405, 
1966, 1967, -30, -435, 
1967, 1968, 0, -435, 
1968, 1969, -1, -436, 
1969, 1970, -2, -438, 
1970, 1971, -8, -446, 
1971, 1972, -4, -450, 
1972, 1973, -6, -456, 
1973, 1974, 0, -456, 
1974, 1975, -6, -462, 
1975, 1976, -6, -468, 
1976, 1977, -3, -471, 
1977, 1978, 0, -471, 
1978, 1979, -12, -483, 
1979, 1980, +4, -479, 
1980, 1981, -5, -484, 
1981, 1982, -8, -492, 
1982, 1983, -1, -493, 
1983, 1985, -20, -513, 
1985, 1986, -8, -521, 
1986, 1987, -22, -543, 
1987, 1988, -12, -555, 
1988, 1991, -221, -776, 
1991, 1992, -8, -784, 
1992, 1994, +5, -779, 
1994, 1995, +23, -756, 
1995, 1997, -21, -777, 
1997, 1999, -43, -820, 
1999, 2000, -3.2, -823, 
2000, 2001, -10.2, -833, 
2001, 2003, -34.8, -868, 
2003, 2004, -23.4, -892, 
2004, 2005, -1.4, -893, 
2005, 2006, -30.4, -923, 
2006, 2007, -3.2, -927, 
2008, 2009, -22.0, -949, 
2009, 2010, -6.5, -955, 
2010, 2011, -23, -978, 
2011, 2012, -14.2, -992, 
2012, 2013, +3.4, -989, 
2013, 2014, -16.5, -1005, 
2014, 2015, -14.5, -1020, 
2015, 2016, -13.6, -1034, 
