col1,col2,col3,col4
Glacier, Glacier du Mont Mine, ,
Community, Evol�ne, ,
Canton, VS, ,
Number, , ,
Length (1973), 8.35, ,
Area (1973), 10.97, ,
Coordinates, 608.2, 96.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1956 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1956, 1957, -6, -6, 
1957, 1958, -54, -60, 
1958, 1960, -40, -100, 
1960, 1961, -20, -120, 
1962, 1963, 0, -120, 
1965, 1966, 0, -120, 
1966, 1967, 0, -120, 
1967, 1968, -10, -130, 
1968, 1969, -4, -134, 
1969, 1970, -7, -141, 
1970, 1971, -7, -148, 
1971, 1972, +17, -131, 
1975, 1976, -6, -137, 
1976, 1977, +19, -118, 
1977, 1978, +8, -110, 
1978, 1979, +2, -108, 
1979, 1980, +3, -105, 
1981, 1982, 0, -105, 
1982, 1983, 1, -104, 
1983, 1984, +5, -99, 
1984, 1985, +9, -90, 
1985, 1986, +6, -84, 
1986, 1987, +14, -70, 
1987, 1988, -8, -78, 
1988, 1989, +13, -65, 
1989, 1990, -5, -70, 
1990, 1991, -25, -95, 
1991, 1992, -5, -100, 
1992, 1993, -7, -107, 
1993, 1994, -58, -165, 
1994, 1995, -18, -183, 
1995, 1996, -98, -281, 
1996, 1997, -7, -288, 
1997, 1998, -15, -303, 
1998, 1999, -12, -315, 
1999, 2000, -20, -335, 
2000, 2001, -25, -360, 
2001, 2002, -61, -421, 
2002, 2003, -32, -453, 
2003, 2004, -36, -489, 
2004, 2005, -29, -518, 
2005, 2006, -23, -541, 
2006, 2007, -10, -551, 
2007, 2009, -32, -583, 
2009, 2010, -20.5, -604, 
2010, 2011, -58.4, -662, 
2011, 2012, -36.1, -698, 
2012, 2013, -28.7, -727, 
2013, 2014, -14.6, -741, 
2014, 2015, -14, -755, 
2015, 2016, -13.5, -769, 
