col1,col2,col3,col4
Glacier, Vadret da Morteratsch, ,
Community, Pontresina, ,
Canton, GR, ,
Number, , ,
Length (1973), 7.00, ,
Area (1973), 16.40, ,
Coordinates, 792.0, 143.0,
Exposition, N, ,
  , , ,
Length variation measurements between 1878 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1878, 1881, -41, -41, 
1881, 1883, -16, -57, 
1883, 1884, -16, -73, 
1884, 1885, -24, -97, 
1885, 1886, -12, -109, 
1886, 1887, -20, -129, 
1887, 1888, -38, -167, 
1888, 1889, -14, -181, 
1889, 1890, -18, -199, 
1890, 1891, -18, -217, 
1891, 1892, -10, -227, 
1892, 1893, -24, -251, 
1894, 1895, -12, -263, 
1895, 1897, -37, -300, 
1897, 1898, -12, -312, 
1898, 1899, +2, -310, 
1899, 1900, -5, -315, 
1900, 1901, -9, -324, 
1901, 1902, -8, -332, 
1902, 1903, -6, -338, 
1903, 1904, -6, -344, 
1904, 1905, 0, -344, 
1905, 1906, -3, -347, 
1906, 1907, -7, -354, 
1907, 1908, -20, -374, 
1908, 1909, -30, -404, 
1909, 1910, -9, -413, 
1910, 1911, -20, -433, 
1911, 1912, +5, -428, 
1912, 1913, -10, -438, 
1913, 1916, -12, -450, 
1916, 1917, -6, -456, 
1917, 1918, -10, -466, 
1918, 1919, -5, -471, 
1919, 1920, -16, -487, 
1920, 1921, -6, -493, 
1921, 1922, -9, -502, 
1922, 1923, -10, -512, 
1923, 1924, -12, -524, 
1924, 1925, -6, -530, 
1925, 1926, -9, -539, 
1926, 1927, -9, -548, 
1927, 1928, -8, -556, 
1928, 1929, -11, -567, 
1929, 1930, -11, -578, 
1930, 1931, -12, -590, 
1931, 1932, -15, -605, 
1932, 1933, -4, -609, 
1933, 1934, -15, -624, 
1934, 1935, -14, -638, 
1935, 1936, -7, -645, 
1936, 1937, -12, -657, 
1937, 1938, -26, -683, 
1938, 1939, -34, -717, 
1939, 1940, -42, -759, 
1940, 1941, -22, -781, 
1941, 1942, -22, -803, 
1942, 1943, -20, -823, 
1943, 1944, -34, -857, 
1944, 1945, -22, -879, 
1945, 1946, -20, -899, 
1946, 1947, -48, -947, 
1947, 1948, -12, -959, 
1948, 1949, -19, -978, 
1949, 1950, -20, -998, 
1950, 1951, -26, -1024, 
1951, 1953, -48, -1072, 
1953, 1954, -36, -1108, 
1954, 1955, -16, -1124, 
1955, 1956, -20, -1144, 
1956, 1957, -31, -1175, 
1957, 1958, -46, -1221, 
1958, 1959, -39, -1260, 
1959, 1960, -35, -1295, 
1960, 1961, -33, -1328, 
1961, 1962, -45, -1373, 
1962, 1963, -38, -1411, 
1963, 1964, -44, -1455, 
1964, 1965, -38, -1493, 
1965, 1966, -41, -1534, 
1966, 1967, -31, -1565, 
1967, 1968, -5, -1570, 
1968, 1969, -8, -1578, 
1969, 1970, -24, -1602, 
1970, 1971, -4, -1606, 
1971, 1972, -12, -1618, 
1972, 1973, -11, -1629, 
1973, 1974, -14, -1643, 
1974, 1975, -16, -1659, 
1975, 1976, -27, -1686, 
1976, 1977, -5, -1691, 
1977, 1978, -5, -1696, 
1978, 1979, -23, -1719, 
1979, 1981, -56, -1775, 
1981, 1982, -2, -1777, 
1982, 1983, -10, -1787, 
1983, 1984, -5, -1792, 
1984, 1985, +8, -1784, 
1985, 1986, -6, -1790, 
1986, 1987, -9, -1799, 
1987, 1988, +2, -1797, 
1988, 1989, -7, -1804, 
1989, 1990, -11, -1815, 
1990, 1991, -5, -1820, 
1991, 1992, -6, -1826, 
1992, 1993, -24, -1850, 
1993, 1994, -12, -1862, 
1994, 1995, -24, -1886, 
1995, 1996, -26, -1912, 
1996, 1997, -11, -1923, 
1997, 1998, -7, -1930, 
1998, 1999, -39, -1969, 
1999, 2000, -29.6, -1999, 
2000, 2001, -26.4, -2025, 
2001, 2002, -30.2, -2055, 
2002, 2003, -76.5, -2132, 
2003, 2004, +10.3, -2121, 
2004, 2005, -22.2, -2144, 
2005, 2006, -32.7, -2176, 
2006, 2007, -19.3, -2196, 
2007, 2008, -35.0, -2231, 
2008, 2009, -32.8, -2263, 
2009, 2010, -50.6, -2314, 
2010, 2011, -44.9, -2359, 
2011, 2012, -81.6, -2440, 
2012, 2013, -22.4, -2463, 
2013, 2014, -22.3, -2485, 
2014, 2015, -163.9, -2649, 
2015, 2016, -135.2, -2784, 
