col1,col2,col3,col4
Glacier, Muttgletscher, ,
Community, Oberwald, ,
Canton, VS, ,
Number, , ,
Length (1973), 1.00, ,
Area (1973), 0.58, ,
Coordinates, 675.4, 155.7,
Exposition, NW, ,
  , , ,
Length variation measurements between 1918 and 2012, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1918, 1919, +32, 32, 
1919, 1920, +12, 44, 
1920, 1921, +53, 97, 
1921, 1922, -51, 46, 
1922, 1923, 0, 46, 
1927, 1928, -10, 36, 
1928, 1929, 0, 36, 
1929, 1930, -4, 32, 
1930, 1931, +6, 38, 
1931, 1932, -10, 28, 
1932, 1933, -4, 24, 
1933, 1934, -16, 8, 
1934, 1935, -7, 1, 
1935, 1938, -14, -13, 
1938, 1939, -8, -21, 
1939, 1940, -3, -24, 
1940, 1942, -27, -51, 
1943, 1944, -25, -76, 
1945, 1946, -17, -93, 
1946, 1947, -46, -139, 
1948, 1949, -32, -171, 
1949, 1950, -12, -183, 
1950, 1951, -10, -193, 
1951, 1952, -41, -234, 
1952, 1953, -19, -253, 
1954, 1955, -19, -272, 
1955, 1956, 0, -272, 
1956, 1957, -14, -286, 
1957, 1958, -10, -296, 
1958, 1961, +5, -291, 
1961, 1962, -14, -305, 
1962, 1963, -4, -309, 
1963, 1964, -8, -317, 
1964, 1966, +12, -305, 
1966, 1967, -5, -310, 
1967, 1968, -4, -314, 
1968, 1969, +2, -312, 
1969, 1970, +2, -310, 
1970, 1971, -2, -312, 
1971, 1972, +3, -309, 
1972, 1973, 0, -309, 
1973, 1974, +2, -307, 
1974, 1975, +3, -304, 
1975, 1976, -2, -306, 
1976, 1978, +19, -287, 
1978, 1979, +31, -256, 
1979, 1980, +10, -246, 
1980, 1981, +13, -233, 
1981, 1982, +19, -214, 
1982, 1983, +11, -203, 
1983, 1984, +18, -185, 
1984, 1985, +12, -173, 
1985, 1986, +4, -169, 
1986, 1987, -1, -170, 
1987, 1988, +2, -168, 
1988, 1989, -2, -170, 
1989, 1990, +4, -166, 
1990, 1991, -5, -171, 
1991, 1992, -7, -178, 
1992, 1994, 0, -178, 
1994, 2000, -111.8, -290, 
2000, 2001, -4.75, -295, 
2001, 2002, -2.2, -297, 
2002, 2003, -7.6, -304, 
2003, 2004, -11.7, -316, 
2004, 2005, -6.8, -323, 
2005, 2006, -30.0, -353, 
2006, 2007, -9.4, -362, 
2007, 2008, -17.6, -380, 
2008, 2009, -21.8, -402, 
2009, 2011, -17.0, -419, 
2011, 2012, -22.9, -442, 
