col1,col2,col3,col4
Glacier, Oberaargletscher, ,
Community, Guttannen, ,
Canton, BE, ,
Number, , ,
Length (1973), 4.95, ,
Area (1973), 5.82, ,
Coordinates, 659.0, 153.7,
Exposition, E, ,
  , , ,
Length variation measurements between 1858 and 2013, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1858, 1880, -220, -220, 
1920, 1921, -4, -224, 
1926, 1927, -15, -239, 
1927, 1928, 0, -239, 
1928, 1930, -27, -266, 
1930, 1931, -4, -270, 
1931, 1932, -16, -286, 
1932, 1933, -31, -317, 
1933, 1934, -25, -342, 
1934, 1935, -13, -355, 
1935, 1936, -18, -373, 
1936, 1937, -18, -391, 
1937, 1938, -17, -408, 
1938, 1939, -14, -422, 
1939, 1940, -11, -433, 
1940, 1941, -7, -440, 
1941, 1942, -22, -462, 
1942, 1943, -18, -480, 
1943, 1944, -22, -502, 
1944, 1945, -13, -515, 
1945, 1946, -20, -535, 
1946, 1947, -23, -558, 
1947, 1948, -13, -571, 
1948, 1949, -27, -598, 
1949, 1950, -26, -624, 
1950, 1951, -27, -651, 
1951, 1952, -36, -687, 
1952, 1953, -6, -693, 
1953, 1954, -91, -784, 
1954, 1955, -98, -882, 
1955, 1956, -75, -957, 
1956, 1957, -44, -1001, 
1957, 1958, -37, -1038, 
1958, 1959, -60, -1098, 
1959, 1960, -36, -1134, 
1960, 1961, -34.2, -1168, 
1961, 1962, -24.6, -1193, 
1962, 1963, -26.5, -1219, 
1963, 1964, -36.3, -1256, 
1964, 1965, -29.5, -1285, 
1965, 1966, -5.8, -1291, 
1966, 1967, -21.1, -1312, 
1967, 1968, -18.4, -1330, 
1968, 1969, -13.7, -1344, 
1969, 1970, -18.8, -1363, 
1970, 1971, -12.1, -1375, 
1971, 1972, -17.6, -1393, 
1972, 1973, 1.2, -1391, 
1973, 1974, -24.0, -1415, 
1974, 1975, -6.9, -1422, 
1975, 1976, 0.0, -1422, 
1976, 1977, +7.0, -1415, 
1977, 1978, +6.2, -1409, 
1978, 1979, -2.1, -1411, 
1979, 1980, -8.2, -1419, 
1980, 1981, -27.0, -1446, 
1981, 1982, -1.5, -1448, 
1982, 1983, -24.4, -1472, 
1983, 1984, +10.0, -1462, 
1984, 1985, +5.0, -1457, 
1985, 1986, -20.9, -1478, 
1986, 1987, -4.9, -1483, 
1987, 1988, -21.4, -1505, 
1988, 1989, -4.7, -1509, 
1989, 1990, +2.3, -1507, 
1990, 1991, -4.1, -1511, 
1991, 1992, -18.1, -1529, 
1992, 1993, -3.2, -1532, 
1993, 1994, -20.4, -1553, 
1994, 1995, -10.0, -1563, 
1995, 1996, -0.8, -1564, 
1996, 1997, -5.4, -1569, 
1997, 1998, -32.9, -1602, 
1998, 2000, -25.1, -1627, 
2000, 2001, -16.3, -1643, 
2001, 2004, -29.8, -1673, 
2004, 2005, -3.8, -1677, 
2005, 2008, -63.5, -1740, 
2008, 2009, -19.8, -1760, 
2009, 2012, -47.5, -1808, 
2012, 2013, -9.1, -1817, 
