col1,col2,col3,col4
Glacier, Oberaletschgletscher, ,
Community, Naters, ,
Canton, VS, ,
Number, , ,
Length (1973), 9.05, ,
Area (1973), 22.81, ,
Coordinates, 640.5, 141.5,
Exposition, SE, ,
  , , ,
Length variation measurements between 1870 and 2007, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1870, 1881, -275, -275, 
1881, 1906, -325, -600, 
1906, 1927, -300, -900, 
1927, 1957, -240, -1140, 
1957, 1964, -15, -1155, 
1964, 1965, -9, -1164, 
1965, 1966, -8, -1172, 
1966, 1967, -19, -1191, 
1967, 1968, -8, -1199, 
1968, 1969, -5, -1204, 
1969, 1970, 0, -1204, 
1970, 1971, -8, -1212, 
1971, 1972, -7, -1219, 
1972, 1973, -14, -1233, 
1973, 1974, -8, -1241, 
1974, 1975, 0, -1241, 
1975, 1976, -7, -1248, 
1976, 1977, 0, -1248, 
1977, 1978, -2, -1250, 
1978, 1979, 0, -1250, 
1979, 1980, -3, -1253, 
1980, 1981, +3, -1250, 
1981, 1982, -12, -1262, 
1982, 1983, -8, -1270, 
1983, 1984, -6, -1276, 
1984, 1985, -10, -1286, 
1985, 1986, -13, -1299, 
1986, 1987, -6, -1305, 
1987, 1988, -6, -1311, 
1988, 1989, -39, -1350, 
1989, 1990, +24, -1326, 
1990, 1997, -25, -1351, 
1997, 1998, -33, -1384, 
1998, 1999, -22, -1406, 
1999, 2001, -14.4, -1420, 
2001, 2003, -25.7, -1446, 
2003, 2004, -3.3, -1449, 
2004, 2005, -5.8, -1455, 
2005, 2007, -5.7, -1461, 
