col1,col2,col3,col4
Glacier, Oberer Grindelwaldgletscher, ,
Community, Grindelwald, ,
Canton, BE, ,
Number, , ,
Length (1973), 6.65, ,
Area (1973), 9.52, ,
Coordinates, 652.0, 162.5,
Exposition, NW, ,
  , , ,
Length variation measurements between 1879 and 2016, , ,
reference year, survey year, Length Change (m), Cum. Length Change (m),
1879, 1880, -1, -1, 
1880, 1881, +30, 29, 
1893, 1894, +51, 80, 
1894, 1895, +10, 90, 
1895, 1896, -3, 87, 
1896, 1897, +24, 111, 
1897, 1898, +5, 116, 
1898, 1899, -3, 113, 
1899, 1900, +12, 125, 
1900, 1901, -6, 119, 
1901, 1902, 0, 119, 
1902, 1903, +18, 137, 
1903, 1904, -12, 125, 
1904, 1905, -32, 93, 
1905, 1906, -13, 80, 
1906, 1907, -43, 37, 
1907, 1908, -34, 3, 
1908, 1909, -16, -13, 
1909, 1910, -11, -24, 
1910, 1911, 0, -24, 
1911, 1912, +20, -4, 
1912, 1913, +17, 13, 
1913, 1914, +38, 51, 
1914, 1916, +62, 113, 
1916, 1917, +30, 143, 
1917, 1918, +63, 206, 
1918, 1919, +20, 226, 
1919, 1920, +45, 271, 
1920, 1921, +13, 284, 
1921, 1922, +5, 289, 
1922, 1923, +2, 291, 
1923, 1924, -2, 289, 
1924, 1925, -15, 274, 
1925, 1926, -10, 264, 
1926, 1927, -6, 258, 
1927, 1928, -10, 248, 
1928, 1929, -10, 238, 
1929, 1930, -41, 197, 
1930, 1931, -19, 178, 
1931, 1932, -29, 149, 
1932, 1933, -12, 137, 
1933, 1935, -68, 69, 
1935, 1936, -14, 55, 
1936, 1937, -17, 38, 
1937, 1938, -30, 8, 
1938, 1942, -38, -30, 
1942, 1943, -4, -34, 
1943, 1945, -24, -58, 
1945, 1946, -6, -64, 
1946, 1947, -23, -87, 
1947, 1948, -6, -93, 
1948, 1950, -51, -144, 
1950, 1951, 0, -144, 
1951, 1953, -67, -211, 
1953, 1954, -11, -222, 
1954, 1959, -142, -364, 
1959, 1960, +9, -355, 
1960, 1961, +16, -339, 
1961, 1962, -4, -343, 
1962, 1963, +11, -332, 
1963, 1964, +4, -328, 
1964, 1965, +10, -318, 
1965, 1966, +15, -303, 
1966, 1967, +30, -273, 
1967, 1968, +30, -243, 
1968, 1969, +25, -218, 
1969, 1970, +40, -178, 
1970, 1971, +50, -128, 
1971, 1972, +68, -60, 
1972, 1973, +40, -20, 
1973, 1974, +35, 15, 
1974, 1975, +17, 32, 
1975, 1976, 0, 32, 
1976, 1977, +12, 44, 
1977, 1978, +6, 50, 
1978, 1979, +7, 57, 
1979, 1980, +7, 64, 
1980, 1981, +22, 86, 
1981, 1982, +65, 151, 
1982, 1983, +36, 187, 
1983, 1984, 0, 187, 
1984, 1985, +25, 212, 
1985, 1986, -15, 197, 
1986, 1987, +16, 213, 
1987, 1988, -2, 211, 
1988, 1989, -20, 191, 
1989, 1990, -9, 182, 
1990, 1991, -53, 129, 
1991, 1992, -50, 79, 
1992, 1993, -60, 19, 
1993, 1994, -62, -43, 
1994, 1995, -7, -50, 
1995, 1996, -70, -120, 
1996, 1997, -10, -130, 
1997, 1998, -15, -145, 
1998, 1999, -25, -170, 
1999, 2000, -50, -220, 
2003, 2009, -250, -470, 
2009, 2012, -275, -745, 
2012, 2013, -1850, -2595, 
2013, 2014, -11.6, -2607, 
2014, 2015, +2.0, -2605, 
2015, 2016, -42.0, -2647, 
